,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
0,Entenvögel (Anatidae),Brandgans,Tadorna tadorna (L.),VU,,Vögel,Enten und Taucher
1,Entenvögel (Anatidae),Schnatterente,Anas strepera L.,EN,,Vögel,Enten und Taucher
2,Entenvögel (Anatidae),Krickente,Anas crecca L.,VU,,Vögel,Enten und Taucher
3,Entenvögel (Anatidae),Stockente,Anas platyrhynchos L.,LC,,Vögel,Enten und Taucher
4,Entenvögel (Anatidae),Knäkente,Anas querquedula L.,EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Enten und Taucher
5,Entenvögel (Anatidae),Löffelente,Anas clypeata L.,EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Enten und Taucher
6,Entenvögel (Anatidae),Kolbenente,Kolbenente Netta rufina (Pall.),NT,"Rückstufung im zweiten Schritt, da keine SPEC-Art mehr.",Vögel,Enten und Taucher
7,Entenvögel (Anatidae),Tafelente,Aythya ferina (L.),EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Enten und Taucher
8,Entenvögel (Anatidae),Reiherente,Aythya fuligula (L.),VU,Änderung des SPEC-Status 2004 führt neu nicht mehr zur Rückstufung,Vögel,Enten und Taucher
9,Entenvögel (Anatidae),Eiderente,Somateria mollissima (L.),VU,,Vögel,Enten und Taucher
10,Entenvögel (Anatidae),Schellente,Bucephala clangula (L.),VU,,Vögel,Enten und Taucher
11,Entenvögel (Anatidae),Mittelsäger,Mergus serrator L.,VU,,Vögel,Enten und Taucher
12,Entenvögel (Anatidae),Gänsesäger,Mergus merganser L.,VU,,Vögel,Enten und Taucher
13,Hühner (Phasianidae),Haselhuhn,Bonasa bonasia (L.),NT,,Vögel,Hühner
14,Hühner (Phasianidae),Alpenschneehuhn,Lagopus muta (Montin),NT,,Vögel,Hühner
15,Hühner (Phasianidae),Birkhuhn,Tetrao tetrix L.,NT,,Vögel,Hühner
16,Hühner (Phasianidae),Auerhuhn,Tetrao urogallus L.,EN,,Vögel,Hühner
17,Hühner (Phasianidae),Steinhuhn,Alectoris graeca (Meisn.),NT,,Vögel,Hühner
18,Hühner (Phasianidae),Rothuhn,Alectoris rufa (L.),RE,Letzter Brutnachweis: vor 1900,Vögel,Hühner
19,Hühner (Phasianidae),Rebhuhn,Perdix perdix (L.),CR,,Vögel,Hühner
20,Hühner (Phasianidae),Wachtel,Coturnix coturnix (L.),LC,,Vögel,Hühner
21,Lappentaucher (Podicipedidae),Zwergtaucher,Tachybaptus ruficollis (Pall.),VU,,Vögel,Enten und Taucher
22,Lappentaucher (Podicipedidae),Haubentaucher,Podiceps cristatus (L.),LC,,Vögel,Enten und Taucher
23,Lappentaucher (Podicipedidae),Schwarzhalstaucher,Podiceps nigricollis Brehm,VU,,Vögel,Enten und Taucher
24,Kormorane (Phalacrocoracidae),Kormoran,Phalacrocorax carbo (L.),LC,,Vögel,Kormorane
25,Reiher (Ardeidae),Zwergdommel,Ixobrychus minutus (L.),EN,,Vögel,Schreitvögel
26,Reiher (Ardeidae),Nachtreiher,Nycticorax nycticorax (L.),EN,,Vögel,Schreitvögel
27,Reiher (Ardeidae),Graureiher,Ardea cinerea L.,LC,,Vögel,Schreitvögel
28,Reiher (Ardeidae),Purpurreiher,Ardea purpurea L.,CR,,Vögel,Schreitvögel
29,Störche (Ciconiidae),Weissstorch,Ciconia ciconia (L.),VU,,Vögel,Schreitvögel
30,Habichtartige (Accipitridae),Wespenbussard,Pernis apivorus (L.),NT,,Vögel,Greifvögel
31,Habichtartige (Accipitridae),Schwarzmilan,Milvus migrans (Bodd.),LC,,Vögel,Greifvögel
32,Habichtartige (Accipitridae),Rotmilan,Milvus milvus (L.),LC,,Vögel,Greifvögel
33,Habichtartige (Accipitridae),Bartgeier,Gypaetus barbatus (L.),CR,Wiedereinbürgerungsprogramm mit guten Prognosen,Vögel,Greifvögel
34,Habichtartige (Accipitridae),Rohrweihe,Circus aeruginosus (L.),VU,,Vögel,Greifvögel
35,Habichtartige (Accipitridae),Wiesenweihe,Circus pygargus (L.),VU,,Vögel,Greifvögel
36,Habichtartige (Accipitridae),Habicht,Accipiter gentilis (L.),LC,,Vögel,Greifvögel
37,Habichtartige (Accipitridae),Sperber,Accipiter nisus (L.),LC,,Vögel,Greifvögel
38,Habichtartige (Accipitridae),Mäusebussard,Buteo buteo (L.),LC,,Vögel,Greifvögel
39,Habichtartige (Accipitridae),Steinadler,Aquila chrysaetos (L.),VU,,Vögel,Greifvögel
40,Fischadler (Pandionidae),Fischadler,Pandion haliaetus (L.),RE,Letzter Brutnachweis: 1911,Vögel,Greifvögel
41,Falkenartige (Falconidae),Turmfalke,Falco tinnunculus L.,NT,,Vögel,Greifvögel
42,Falkenartige (Falconidae),Baumfalke,Falco subbuteo L.,NT,,Vögel,Greifvögel
43,Falkenartige (Falconidae),Wanderfalke,Falco peregrinus Tunst.,NT,,Vögel,Greifvögel
44,Rallen (Rallidae),Wasserralle,Rallus aquaticus L.,LC,,Vögel,Rallen
45,Rallen (Rallidae),Tüpfelsumpfhuhn,Porzana porzana (L.),VU,,Vögel,Rallen
46,Rallen (Rallidae),Kleines Sumpfhuhn,Porzana parva (Scop.),VU,,Vögel,Rallen
47,Rallen (Rallidae),Zwergsumpfhuhn,Porzana pusilla (Pall.),EN,,Vögel,Rallen
48,Rallen (Rallidae),Wachtelkönig,Crex crex (L.),CR,,Vögel,Rallen
49,Rallen (Rallidae),Teichhuhn,Gallinula chloropus (L.),LC,,Vögel,Rallen
50,Rallen (Rallidae),Blässhuhn,Fulica atra L.,LC,,Vögel,Rallen
51,Regenpfeifer (Charadriidae),Flussregenpfeifer,Charadrius dubius Scop.,EN,,Vögel,Watvögel
52,Regenpfeifer (Charadriidae),Kiebitz,Vanellus vanellus (L.),CR,,Vögel,Watvögel
53,Schnepfen (Scolopacidae),Bekassine,Gallinago gallinago (L.),CR,,Vögel,Watvögel
54,Schnepfen (Scolopacidae),Waldschnepfe,Scolopax rusticola L.,VU,,Vögel,Watvögel
55,Schnepfen (Scolopacidae),Grosser Brachvogel,Numenius arquata (L.),CR,,Vögel,Watvögel
