family,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
Landschnecken,Acicula lineolata,Gekritzte Nadelschnecke,EN,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Alinda biplicata,Gemeine Schliessmundschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Argna ferrari,Ferraris Puppenschnecke,VU,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Arion intermedius Normand,Kleine Wegschnecke,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Arion rufus,Rote Wegschnecke,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Balea perversa,Zahnlose Schliessmundschnecke,VU,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Bulgarica cana,Graue Schliessmundschnecke,CR,Wälder,Weichtiere,Landschnecken
Landschnecken,Candidula unifasciata,Quendelschnecke,VU,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Causa holosericea,Genabelte Maskenschnecke,VU,"Säume, Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Cecilioides veneta,Bauchige Blindschnecke,CR,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Charpentieria dyodon,Simplon-Schliessmundschnecke,CR,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Charpentieria thomasiana studeri,Studers Schliessmundschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Chilostoma achates achates,Fischäugige Felsenschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chilostoma adelozona adelozona,Bergamasker Felsenschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chilostoma adelozona rhaeticum,Engadiner Felsenschnecke,VU,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chilostoma cingulatum cingulatum,Grosse Felsenschnecke,CR,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chilostoma cingulatum tigrinum,Chilostoma cingulatum tigrinum  Getigerte Felsenschnecke,CR,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Chilostoma glaciale,Kar-Felsenschnecke,RE,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Chondrina generosensis,Südtessiner Haferkornschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chondrina megacheilos,Weitmündige Haferkornschnecke,CR,"Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Chondrula tridens,Dreizahn-Turmschnecke,EN,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Ciliella ciliata,Gewimperte Laubschnecke,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Clausilia bidentata,Zweizähnige Schliessmundschnecke,NT,Wälder,Weichtiere,Landschnecken
Landschnecken,Cochlicopa nitens,Glänzende Glattschnecke,CR,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Cochlodina comensis,Südalpen-Schliessmundschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Cochlodina orthostoma,Geradmund-Schliessmundschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Daudebardia brevipes,Kleine Daudebardie,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Daudebardia rufa,Rötliche Daudebardie,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Deroceras juranum,Heller Schnegel,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Deroceras laeve,Wasserschnegel,NT,"Wälder, Ufer und Feuchtgebiete",Weichtiere,Landschnecken
Landschnecken,Drepanostoma nautiliforme,Turbanschnecke,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Eucobresia glacialis,Gletscher-Glasschnecke,VU,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Eucobresia nivalis,Alm-Glasschnecke,VU,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,,Gipfel-Glasschnecke,EN,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,,Dunkles Kegelchen,NT,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,,Grosse Laubschnecke,NT,"Wälder, Siedlungsgebiete, Wiesen und Weiden,Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Wulstige Kornschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Illyrische Kornschnecke,EN,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Grosse Kornschnecke,EN,"Felsen und Steinschutt, Siedlungsgebiete, Wiesen und Weiden",Weichtiere,Landschnecken
Landschnecken,,Puppenkornschnecke,EN,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Gemeine Heideschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden",Weichtiere,Landschnecken
Landschnecken,,Südliche Riemenschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Maskenschnecke,NT,Wälder,Weichtiere,Landschnecken
Landschnecken,,Vierzahn-Turmschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Faltenrandige Schliessmundschnecke,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Genabelte Puppenschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Südliche Puppenschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Gebirgsschnegel,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,,Bierschnegel,CR,Siedlungsgebiete,Weichtiere,Landschnecken
Landschnecken,,Südalpen-Glanzschnecke,CR,Wälder,Weichtiere,Landschnecken
Landschnecken,,Flache Glanzschnecke,NT,"Säume, Wälder, Wiesen und Weiden",Weichtiere,Landschnecken
Landschnecken,,Glatte Glanzschnecke,NT,Wälder,Weichtiere,Landschnecken
Landschnecken,,Kalkfelsen-Schliessmundschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Strobels Schliessmundschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Alpen-Glasschnecke,EN,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Grosse Fässchenschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Knoblauch-Glanzschnecke,NT,Wälder,Weichtiere,Landschnecken
Landschnecken,,Farblose Glanzschnecke,CR,Wälder,Weichtiere,Landschnecken
Landschnecken,,Mortillets Glanzschnecke,VU,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Schlanke Bernsteinschnecke,NT,Ufer und Feuchtgebiete,Weichtiere,Landschnecken
Landschnecken,,Südalpen-Pagodenschnecke,EN,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Einzähnige Haarschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Grosse Glasschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,,Schöne Landdeckelschnecke,VU,"Säume, Wälder",Weichtiere,Landschnecken
Landschnecken,,Alpen-Puppenschnecke,EN,"Wiesen und Weiden, Ufer und Feuchtgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Zweizähnige Puppenschnecke,CR,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Gestreifte Puppenschnecke,NT,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,,Dreizähnige Puppenschnecke,NT,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Retinella hiulca,Südalpen-Wachsschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Ruthenica filograna,Zierliche Schliessmundschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Semilimax kotulae,Berg-Glasschnecke,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Semilimax semilimax,Weitmündige Glasschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Solatopupa similis,Bläuliche Kornschnecke,CR,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
