Art,CH
Acrocordia cavata (Ach.) R.C.Harris 1974,NT
Acrocordia gemmata (Ach.) A. Massal. 1854,NT
Agonimia allobata  (Stizenb.) P.James 1992,LC
Agonimia octospora Coppins & P.James 1978,EN
Agonimia tristicula (Nyl.) Zahlbr. 1909,LC
Alectoria sarmentosa (Ach.) Ach. 1810,NT
Amandinea punctata (Hoffm.) Coppins & Scheid. 1993,LC
Anaptychia ciliaris (L.) A. Massal. 1853,VU
Anaptychia crinalis (Schleich.) Ve˘ zda 1977,VU
Anisomeridium polypori (Ellis & Everhart) M.E.Barr 1996,LC
Arthonia apatetica (A. Massal.) Th.Fr. 1866,EN
Arthonia byssacea (Weigel) Almq. 1880,VU
Arthonia cinereopruinosa Schaerer 1850,RE
Arthonia cinnabarina (DC.) Wallr. 1831,NT
Arthonia didyma Körber 1853,LC
Arthonia dispersa (Schrader) Nyl. 1861,EN
Arthonia elegans (Ach.) Almq. 1880,RE
Arthonia faginea Müll.Arg.,CR
Arthonia fuliginosa (Turner & Borrer) Flotow 1850,EN
Arthonia helvola (Nyl.) Nyl. 1867,RE
Arthonia leucopellaea (Ach.) Almq. 1880,VU
Arthonia mediella Nyl. 1859,LC
Arthonia medusula (Pers.) Nyl. 1857,RE
Arthonia muscigena Th.Fr. 1865,NT
Arthonia pruinata (Pers.) A.L.Sm. 1911,RE
Arthonia radiata (Pers.) Ach. 1808,LC
Arthonia reniformis (Pers.) Nyl. 1813,CR
Arthonia spadicea Leighton 1854,LC
Arthonia vinosa Leighton 1856,EN
Arthothelium ruanum (A. Massal.) Körber 1861,LC
Arthothelium spectabile A. Massal. 1852,RE
Arthrosporum populorum A. Massal. 1853,EN
Bacidia absistens (Nyl.) Arnold 1870,NT
Bacidia arceutina (Ach.) Arnold 1869,LC
Bacidia arnoldiana Körber 1860,LC
Bacidia auerswaldii (Stiz.) Migula 1929,RE
Bacidia beckhausii Körber 1860,NT
Bacidia biatorina (Körber) Vainio 1922,CR
Bacidia chloroticula (Nyl.) A.L.Sm. 1911,LC
Bacidia circumspecta (Vainio) Malme 1895,EN
Bacidia delicata (Leigthon) Coppins 1980,LC
Bacidia fraxinea Lonnr. 1858,CR
Bacidia friesiana (Hepp) Körber 1860,RE
Bacidia globulosa (Flörke) Hafellner & V.Wirth 1987,NT
Bacidia hegetschweileri (Hepp) Vainio 1922,EN
Bacidia incompta (Hooker) Anzi 1860,VU
Bacidia laurocerasi (Duby) Zahlbr. 1926,EN
Bacidia naegelii (Hepp) Zahlbr. 1909,LC
Bacidia neosquamulosa Aptroot & Herk 1999,LC
Bacidia phacodes (Körber) Ve˘ zda 1860,LC
Bacidia polychroa (Th.Fr.) Körber  1860,RE
Bacidia rosella (Pers.) De Not. 1846,EN
Bacidia rubella (Hoffm.) A. Massal. 1852,LC
Bacidia sp.1,EN
Bacidia subincompta (Nyl.) Arnold 1870,LC
Bactrospora dryina (Ach.) A. Massal. 1852,VU
Biatora chrysantha (Zahlbr.) Printzen 1994,LC
Biatora efflorescens (Hedl.) Räsänen 1935,LC
Biatora fallax Hepp 1860,NT
Biatora flavopunctata (Tønsberg) Hinteregger & Printzen 1994,LC
Biatora helvola Hellbom 1867,NT
Biatora ocelliformis (Nyl.) Arnold 1870,EN
Biatora porphyroplaca Hinteregger & Poelt 1994,NT
Biatora rufidula (Graewe) S.Ekman & Printzen 1995,EN
Biatora subduplex (Nyl.) Printzen 1995,LC
Biatora vacciniicola (Tønsberg) Printzen 1995,LC
Biatoridium delitescens (Arnold) Hafellner 1994,CR
Biatoridium monasteriense J.Lahm 1860,LC
Bryoria bicolor (Ehrh.) Brodo & D.Hawksw. 1977,VU
Bryoria capillaris (Ach.) Brodo & D.Hawksw. 1977,NT
Bryoria fuscescens (Gyelnik) Brodo & D.Hawksw. 1977,LC
Bryoria implexa (Hoffm.) Brodo & D.Hawksw. 1977,NT
Bryoria nadvornikiana (Gyelnik) Brodo & D.Hawksw. 1977,EN
Bryoria simplicior,RE
Bryoria sp. 1,EN
Bryoria subcana (Stizenb.) Brodo & D.Hawksw. 1977,DD
Buellia alboatra (Hoffm.) Th.Fr. 1861,EN
Buellia arborea Coppins & Tønsberg1992,LC
Buellia arnoldii Servit 1931,RE
Buellia disciformis (Fr.) Mudd 1861,NT
Buellia erubescens Arnold 1873,VU
Buellia griseovirens (Sm.) Almb. 1952,LC
Buellia poeltii Schauer 1965,NT
Buellia schaereri De Not. 1846,LC
Buellia triphragmioides Anzi 1868,CR
Byssoloma marginatum (Arnold) Sérus. 1991,EN
Calicium abietinum Pers. 1797,NT
Calicium adaequatum Nyl. 1869,EN
Calicium adspersum Pers. 1798,VU
Calicium glaucellum Ach. 1803,LC
Calicium lenticulare Ach. 1816,VU
Calicium montanum Tibell 1999,LC
Calicium parvum Tibell 1975,VU
Calicium quercinum Pers. 1797,VU
Calicium salicinum Pers. 1794,LC
Calicium trabinellum (Ach.) Ach. 1803,LC
Calicium viride Pers. 1794,LC
"Caloplaca alnetorum Giralt, Nimis & Poelt 1992",VU
Caloplaca assigena (Arnold) DT. & Sarnth. 1902,VU
Caloplaca cerina (Hedwig) Th.Fr. 1860,LC
Caloplaca cerinella (Nyl.) Flagey 1896,NT
Caloplaca cerinelloides (Erichsen) Poelt 1993,NT
Caloplaca chlorina (Flotow) Oliv. 1912,LC
Caloplaca chrysophthalma Degel. 1944,EN
Caloplaca ferruginea aggr.,LC
Caloplaca flavorubescens (Hudson) Laundon 1976,EN
Caloplaca herbidella (Hue) H.Magn. 1932,LC
Caloplaca holocarpa (Ach.) Wade 1965,LC
Caloplaca isidiigera Ve˘ zda 1978,LC
Caloplaca lobulata (Flörke) Hellbom 1897,RE
Caloplaca lucifuga G. Thor 1988,EN
Caloplaca obscurella (Körber) Th.Fr.  1880,VU
Caloplaca pollinii (A. Massal.) Jatta 1900,EN
Caloplaca sorocarpa (Vain.) Zahlbr. 1932,LC
Caloplaca sp.1,LC
Caloplaca ulcerosa Coppins & P.James 1979,DD
Candelaria concolor (Dickson) B.Stein 1879,LC
Candelariella lutella (Vain.) Räsänen 1939,DD
Candelariella reflexa (Nyl.) Lettau 1912,LC
Candelariella subdeflexa (Nyl.) Lettau 1912,EN
Candelariella viae-lacteae G. Thor & V.Wirth 1995,VU
Candelariella vitellina (Hoffm.) Müll.Arg. 1894,LC
Candelariella xanthostigma (Ach.) Lettau 1912,LC
Catapyrenium psoromoides (Borrer) R.Sant. 1980,RE
Catillaria alba Coppins & Ve˘ zda 1993,EN
Catillaria nigroclavata (Nyl.) Schuler 1902,LC
Catillaria pulverea (Borrer) Lettau 1912,VU
Catinaria atropurpurea (Schaerer) Ve˘ zda & Poelt 1981,NT
Catinaria papillosa Coppins ined.,CR 
Cetraria chlorophylla (Willd.) Vainio 1896,LC
Cetraria laureri Krempelh. 1851,VU
Cetraria oakesiana Tuck. 1841,EN
Cetraria sepincola (Ehrh.) Ach. 1803,EN
Cetrelia cetrarioides (Duby) W.Culb. & C.F. Culb. 1968,NT
Cetrelia chicitae (W.Culb.) W. Culb. & C.F. Culb. 1968,CR
Cetrelia olivetorum (Nyl.) W.Culb. & C.F. Culb. 1968,EN
Chaenotheca brachypoda (Ach.) Tibell 1987,NT
Chaenotheca brunneola (Ach.) Müll.Arg. 1862,NT
Chaenotheca chlorella (Ach.) Müll.Arg. 1862,EN
Chaenotheca chrysocephala (Ach.) Th.Fr. 1860,LC
Chaenotheca cinerea (Pers.) Tibell 1980,RE
Chaenotheca ferruginea (Turner & Borrer) Migula 1930,LC
Chaenotheca furfuracea (L.) Tibell 1984,LC
Chaenotheca gracilenta (Ach.) Mattsson & Middelborg 1987,NT
Chaenotheca hispidula (Ach.) Zahlbr. 1922,EN
Chaenotheca laevigata Nadv. 1934,EN
Chaenotheca phaeocephala (Turner) Th.Fr. 1860,VU
Chaenotheca stemonea (Ach.) Müll.Arg. 1862,LC
Chaenotheca subroscida (Eitner) Zahlbr. 1922,VU
Chaenotheca trichialis (Ach.) Th.Fr. 1860,LC
Cheiromycina flabelliformis B. Sutton 1985,CR
Chromatochlamys muscorum (Fr.) H.Mayrhofer & Poelt 1985,CR
