ORDER,FAMILY,scientific name,N,S,CH,Bemerkungen
COLEOPTERA (KÄFER),Cicindelidae (Sandlaufkäfer),Cicindela arenaria Fuesslin,1,1,1,"breite, sandige Flussufer"
COLEOPTERA (KÄFER),Cicindelidae (Sandlaufkäfer),C. flexuosa Fabr.,-,0,0,"sandige Seeufer, Genf"
COLEOPTERA (KÄFER),Cicindelidae (Sandlaufkäfer),C. germanica L.,1,2,2,Trockenrasen
COLEOPTERA (KÄFER),Cicindelidae (Sandlaufkäfer),C. silvatica L.,-,0,0,sandige Kiefernwälder
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),Abax oblongus Dejean,-,1,1,"Endemit, Sottoceneri"
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),Acupalpus brunnipes (Sturm),-,1,1,"Moore, Feuchtgebiete"
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. dubius Schilsky,4,4,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. exiguus (Dejean),,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. luteatus (Duft.),,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. maculatus Schaum,,,2,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. parvulus (Sturm),,,2,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),Agonum antennarium (Duft.),,,1,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. atratum (Duft.),,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. ericeti (Panzer),,,1,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. gracile (Gyllh.),,,2,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. gracilipes (Duft.),,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. impressum (Panzer),,,1,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. scitulum Dejean,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. versutum Sturm,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. viridicupreum (Goeze),,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),Amara alpestris Villa,,,1,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. anthobia Villa,,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. apricaria (Payk.),,,3,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. brunnea (Gyllenhal),,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. concinna Zimmermann,,,0,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. cursitans Zimmermann,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. fulva (Müller),,,1,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. infuscata Putzeys,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. kulti Fassati,,,2,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. littorea Thomson,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. messae Baliani,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. proxima Putzeys,,,4,
COLEOPTERA (KÄFER),Carabidae (Laufkäfer),A. sabulosa Serville,,,1,
