ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Hypoponera eduardi (Forel),-,4,4,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Anergates atratulus (Schenk),3,3,3,Wiesen und Weiden
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Aphaenogaster gibbosa (Latreille),-,4,4,Strassenränder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),A. italica Santschi,-,4,4,Strassenränder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),A. subterranea (Latreille),3,n,3,Flaumeichenwälder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Chalepoxenus muellerianus (Finzi),-,2,2,Eichenwälder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Epimyrma ravouxi Andre,2,2,2,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),E. stumperi Kutter,2,-,2,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Formicoxenus nitidulus (Nylander),3,3,3,in  Waldameisennestern
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Harpagoxenus sublaevis (Nylander),3,3,3,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Leptothorax buschingeri Kutter,2,-,2,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. corticalis (Schenk),4,4,4,Eichenwälder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. flavicornis Emery,-,4,4,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. goesswaldi Kutter,2,-,2,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. interruptus Schenk,2,n,3,Trockenrasen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. kutteri Buschinger,2,-,2,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. luteus Forel,-,4,4,
