Wissenschaftlicher Name,Deutscher Name,Kat.,Kriterien der IUCN,Lebensraumtyp,Wassertiefe (m),Höhenstufen,Bemerkungen
Chara aspera Willd.,Rauhe Armleuchteralge,VU,"B1ab(iv), B2ab(iv)",,"1,9 (0,1–8)",C – S,
Chara contraria A. Braun,Gegensätzliche Armleuchteralge,LC,"B1ab(iv), B2ab(iv)",v. a. Seen,"3,6 (0,1–12)",C – A,
Chara delicatula C. Agardh,Feine Armleuchteralge,VU,"B1ab(iv), B2ab(iv)",,"3,3 (0,1–9)",C – S,
Chara denudata A. Braun,Nackte Armleuchteralge,DD,,Seen,"3,5 (0,5–7)",C – S,Unsicherer Status
Chara filiformis Hertzsch,Feine Armleuchteralge,DD,,Seen,"3,7 (1–5)",C,Vermutlich häufiger als beobachtet
Chara globularis Thuill.,"Zerbrechliche Armleuchteralge,",LC,"B1ab(iv), B2ab(iv)",alle,"3,3 (0,1–12)",C – S,
Chara hispida L.,Steifhaarige Armleuchteralge,VU,"B1ab(iv), B2ab(iv)",,"2,7 (0,1–20)",C – S,
Chara intermedia A. Braun,Kurzstachelige Armleuchteralge,EN,"B1ab(iv), B2ab(iv)",,"1,3 (0,1–4)",C – S,
Chara polyacantha A.Braun,Vielstachelige Armleuchteralge,CR,"B2ab(iv), D2",,"2,75 (0,2–4)",C – M,
Chara strigosa A. Braun,Striemen-Armleuchteralge,EN,"B1ab(iv), B2ab(iv)",,"4,0 (0,1–7)",C – S,Glazialrelikt
Chara tenuispina A. Braun,Dünnstachelige Armleuchteralge,CR,"B2ab(iv), D2",,-,S,
Chara tomentosa L.,Geweih-Armleuchteralge,VU,"B1ab(iv), B2ab(iv)",v. a. Seen,"4,0 (0,2–6)",C – S,
Chara vulgaris L.,Gewöhnliche Armleuchteralge,VU,"B1ab(iv), B2ab(iv)",alle,"1,3 (0,1–20)",C – A,
Nitella capillaris (Krock.),Haarfeine Glanzleuchteralge,RE,,,-,C,Letzter CH-Nachweis
J.Groves & Bull.-Webst. Nitella batrachosperma (Reich.),Kleinste Glanzleuchteralge,RE,,,-,C,Letzter CH-Nachweis 1920; gegenwärtig in F bei Genf
Nitella flexilis (L.) C. Agardh,Biegsame Glanzleuchteralge,CR,"B2ab(iv), D2",,"0,9",C – S,Bisher 1 einziger Nachweis
Nitella gracilis (Sm.) C. Agardh,Zierliche Glanzleuchteralge,EN,B2ab(iv),,"0,5 (0,2–1,0)",C – A,
Nitella hyalina (DC.) C. Agardh,Vielästige Glanzleuchteralge,RE,,Seelittoral,-,C,Letzter CH-Nachweis 1922
Nitella mucronata (A. Braun) Miq.,Stachelspitzige Glanzleuchteralge,EN,"B2ab(iv), D2",,"0,5 (0,1–10)",C,
Nitella opaca (Bruzelius) C. Agardh,Dunkle Glanzleuchteralge,VU,"B1ab(iv), B2ab(iv)",,"4,1 (0,1–15)",C – A,
Nitella syncarpa (Thuill.) Chevall.,Verwachsenfrüchtige Glanzleuchteralge,EN,B2ab(iv),,"2,2 (0,1–10)",C – S,
Nitella tenuissima (Desv.) Kütz.,Schirmförmige Glanzleuchteralge,CR,B2ab(iv),,-,C,Letzter CH-Nachweis 1992; gegenwärtig in F bei Genf
Nitellopsis obtusa (Desv.) J. Groves,Stern-Armleuchteralge*,NT,"B1ab(iv), B2ab(iv)",v. a. Seen,"6,8 (0,6–12)",C – M,
Tolypella glomerata (Desv.) Leonh.,Knäuel-Armleuchteralge,EN,"B1ab(iv), B2ab(iv)",v. a. Seen,"4,0 (0,2–6)",C – M,
Tolypella intricata (Roth.) Leonh.,Verworrene Armleuchteralge,RE,,-,-,C,Letzter CH-Nachweis 1880
