ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Colletes carinatus gallicus RAD.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. collaris DOURS.,0,-,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. cunicularius (L.),2,2,2,"Sandbewohner, auf Salix"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. dimidiatus GIST.,-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. floralis EV.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. fodiens (FOUR.),0,3,3,"Sandbewohner, auf Asteraceae"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. ligatus hylaeiformis EV.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. marginatus SM.,-,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. sierrensis FG.,-,4,4,"Sandbewohner, auf Odontites"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. similis SCHCK.,2,3,3,"Sandbewohner, auf Asteraceae"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),C. succinctus (L.),-,2,2,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Hylaeus bifasciatus (JUR.),0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. clypearis (SCHCK.),4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. conformis FOERST.,4,-,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. cornutus CURT.,3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. crassanus Wa,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. difformis (EV.),3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. duckei (ALFK.),0,-,0,früher Kt. Neuenburg
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. euryscapus spilotus FOERST.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. kahri FOERST.,4,4,4,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. meridionalis FOERST.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. pectoralis FOERST.,3,3,3,Nest in Schilfgallen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. pfankuchi (ALFK.),2,2,2,Schilfgebiete
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. pictipes NYL.,3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. punctulatissimus SM.,3,n,3,auf Allium
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. tyrolensis (FOERST.),3,-,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. variegatus (F.),0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Fant. Andrenidae,,,,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Andrena aeneiventris MOR.,-,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. agilissima (SCOP.),2,2,2,auf Cruciferae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. alfkenella PERK.,0,-,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. anthrisci BLUE.,2,-,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. apicata SM.,3,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. argentata SM.,0,1,1,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. barbilabris (K.),3,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. bimaculata (K.),3,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. bucephala STEPH.,3,3,3,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. carbonaria (L.),0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. chrysopus PER.,-,3,3,auf Asparagus
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. cineraria (L.),3,3,3,
