FAMILY,Deutscher Name,Scientific name,CAT,Criteria,Bemerkungen
Entenvögel (Anatidae),Brandgans,Tadorna tadorna (L.),VU,D**,
Entenvögel (Anatidae),Schnatterente,Anas strepera L.,EN,D*,
Entenvögel (Anatidae),Krickente,Anas crecca L.,VU,D**,
Entenvögel (Anatidae),Stockente,Anas platyrhynchos L.,LC,,
Entenvögel (Anatidae),Knäkente,Anas querquedula L.,EN,D*,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie
Entenvögel (Anatidae),Löffelente,Anas clypeata L.,EN,D*,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie
Entenvögel (Anatidae),Kolbenente,Kolbenente Netta rufina (Pall.),NT,D1*,"Rückstufung im zweiten Schritt, da keine SPEC-Art mehr."
Entenvögel (Anatidae),Tafelente,Aythya ferina (L.),EN,D*,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie
Entenvögel (Anatidae),Reiherente,Aythya fuligula (L.),VU,D1,Änderung des SPEC-Status 2004 führt neu nicht mehr zur Rückstufung
Entenvögel (Anatidae),Eiderente,Somateria mollissima (L.),VU,D**,
Entenvögel (Anatidae),Schellente,Bucephala clangula (L.),VU,D**,
Entenvögel (Anatidae),Mittelsäger,Mergus serrator L.,VU,D**,
Entenvögel (Anatidae),Gänsesäger,Mergus merganser L.,VU,D1,
Hühner (Phasianidae),Haselhuhn ,Bonasa bonasia (L.),NT,(C1),
Hühner (Phasianidae),Alpenschneehuhn,Lagopus muta (Montin),NT,"(A2ac, B1ab)",
Hühner (Phasianidae),Birkhuhn,Tetrao tetrix L.,NT,(B1),
Hühner (Phasianidae),Auerhuhn,Tetrao urogallus L.,EN,C1,
Hühner (Phasianidae),Steinhuhn,Alectoris graeca (Meisn.),NT,"(B1b(iv), C2b)",
Hühner (Phasianidae),Rothuhn,Alectoris rufa (L.),RE,,Letzter Brutnachweis: vor 1900
Hühner (Phasianidae),Rebhuhn,Perdix perdix (L.),CR,"A2ac, B1ab, C2a(ii), D",
Hühner (Phasianidae),Wachtel,Coturnix coturnix (L.),LC,,
Lappentaucher (Podicipedidae),Zwergtaucher,Tachybaptus ruficollis (Pall.),VU,C1,
Lappentaucher (Podicipedidae),Haubentaucher,Podiceps cristatus (L.),LC,(C1)*,
Lappentaucher (Podicipedidae),Schwarzhalstaucher,Podiceps nigricollis Brehm,VU,D**,
Kormorane (Phalacrocoracidae),Kormoran ,Phalacrocorax carbo (L.),LC,"(D1, D2)*",
Reiher (Ardeidae),Zwergdommel ,Ixobrychus minutus (L.),EN,D,
Reiher (Ardeidae),Nachtreiher,Nycticorax nycticorax (L.),EN,D*,
Reiher (Ardeidae),Graureiher,Ardea cinerea L.,LC,,
Reiher (Ardeidae),Purpurreiher ,Ardea purpurea L.,CR,D,
Störche (Ciconiidae),Weissstorch,Ciconia ciconia (L.),VU,D1,
Habichtartige (Accipitridae),Wespenbussard,Pernis apivorus (L.),NT,D1*,
Habichtartige (Accipitridae),Schwarzmilan,Milvus migrans (Bodd.),LC,,
Habichtartige (Accipitridae),Rotmilan,Milvus milvus (L.),LC,,
Habichtartige (Accipitridae),Bartgeier,Gypaetus barbatus (L.),CR,D,Wiedereinbürgerungsprogramm mit guten Prognosen
Habichtartige (Accipitridae),Rohrweihe,Circus aeruginosus (L.),VU,D**,
Habichtartige (Accipitridae),Wiesenweihe,Circus pygargus (L.),VU,D**,
Habichtartige (Accipitridae),Habicht,Accipiter gentilis (L.),LC,,
Habichtartige (Accipitridae),Sperber,Accipiter nisus (L.),LC,,
Habichtartige (Accipitridae),Mäusebussard,Buteo buteo (L.),LC,,
Habichtartige (Accipitridae),Steinadler,Aquila chrysaetos (L.),VU,D1,
Fischadler (Pandionidae),Fischadler,Pandion haliaetus (L.),RE,,Letzter Brutnachweis: 1911
Falkenartige (Falconidae),Turmfalke,Falco tinnunculus L.,NT,cd,
Falkenartige (Falconidae),Baumfalke,Falco subbuteo L.,NT,D1*,
Falkenartige (Falconidae),Wanderfalke,Falco peregrinus Tunst.,NT,D1*,
Rallen (Rallidae),Wasserralle ,Rallus aquaticus L.,LC,,
Rallen (Rallidae),Tüpfelsumpfhuhn,Porzana porzana (L.),VU,D**,
Rallen (Rallidae),Kleines Sumpfhuhn,Porzana parva (Scop.),VU,D**,
Rallen (Rallidae),Zwergsumpfhuhn,Porzana pusilla (Pall.),EN,D*,
Rallen (Rallidae),Wachtelkönig,Crex crex (L.),CR,D,
Rallen (Rallidae),Teichhuhn,Gallinula chloropus (L.),LC,,
Rallen (Rallidae),Blässhuhn,Fulica atra L.,LC,,
Regenpfeifer (Charadriidae),Flussregenpfeifer,Charadrius dubius Scop.,EN,D,
Regenpfeifer (Charadriidae),Kiebitz,Vanellus vanellus (L.),CR,A2a,
