SPECIES SSP,CAT,Criteria
,,
Acarospora nodulosa (Duf.) Hue,RE,"R0, SP+, 60-"
Acarospora schleicheri (Ach.) A.Massal.,VU,"B, EXP(+)"
Agonimia gelatinosa (Ach.) Brand & Diederich,DD,DI
Agonimia opuntiella (Buschardt & Poelt) Vĕzda,DD,"60+, SP+, DI"
Agonimia vouauxii (de Lesd.) Brand & Diederich,DD,DI
Alectoria nigricans (Ach.) Nyl.,LC,AB
Alectoria ochroleuca (Hoffm.) A.Massal.,LC,AB
Anaptychia bryorum Poelt,CR,"R0, SP+, 60+, VI"
Aphanopsis coenosa (Ach.) Coppins & N.James,DD,DI
Arthrorhaphis alpina (Schaer.) R.Sant.,LC,A
Arthrorhaphis citrinella (Ach.) Poelt,LC,"AB, MM"
Arthrorhaphis vacillans Th.Fr.,RE,"R0, SP+, 60-"
Aspicilia verrucosa (Ach.) Körb.,LC,"AB, MM"
Bacidia bagliettoana (A.Massal. & De Not.) Jatta,DD,"A, MM, DI"
Bacidia herbarum (Stizenb.) Arnold,DD,DI
Bacidia illudens (Nyl.) Lange,DD,DI
Bacidia microcarpa (Th.Fr.) Lettau,DD,DI
Baeomyces placophyllus Ach.,LC,AB
Baeomyces rufus (Huds.) Rebent.,LC,"AB, MM"
Biatorella hemisphaerica Anzi,DD,DI
Bryonora castanea (Hepp) Poelt,DD,DI
Bryonora curvescens (Mudd) Poelt,DD,"SP+, 60-, DI"
Bryonora pruinosa (Th.Fr.) Holt.-Hartw.,DD,"SP+, 60-, DI"
Bryonora rhypariza (Nyl.) Poelt,DD,"SP+, 60+, DI"
Buellia asterella Poelt & Sulzer,RE,"R0, SP+, 60-"
Buellia elegans Poelt,VU,"B, EXP(+)"
Buellia epigaea (Pers.) Tuck.,EN,"AB, MM"
Buellia geophila (Sommerf.) Lynge,DD,DI
Buellia hypophana (Nyl.) Zahlbr.,DD,DI
Buellia insignis (Hepp) Th.Fr.,DD,DI
Buellia papillata (Sommerf.) Tuck.,DD,"A, DI"
Caloplaca ammiospila (Wahlenb.) H.Olivier,LC,AB
Caloplaca aurea (Schaer.) Zahlbr.,NT,B
Caloplaca epiphyta Lynge,NT,B
Caloplaca jungermanniae (Vahl) Th.Fr.,NT,B
Caloplaca livida (Hepp) Jatta,LC,AB
Caloplaca saxifragarum Poelt,LC,AB
Caloplaca sinapisperma (Lam & DC.) Maheu & Gillet,LC,"AB, MM"
Caloplaca tetraspora (Nyl.) H.Olivier,NT,B
Caloplaca tiroliensis Zahlbr.,LC,B
Catapyrenium cinereum (Pers.) Körb.,LC,AB
Catapyrenium daedaleum (Kremp.) Stein,VU,"AB, MM"
Catapyrenium lachneum (Ach.) R.Sant.,DD,DI
Catapyrenium lacinulatum (Ach.) Breuss,DD,DI
Catapyrenium michelii (A.Massal.) R.Sant.,DD,DI
Catapyrenium norvegicum Breuss,DD,DI
Catapyrenium pilosellum Breuss,DD,DI
Catapyrenium radicescens (Nyl.) Breuss,DD,DI
Catapyrenium rufescens (Ach.) Breuss,DD,DI
