Scientific name,Deutscher Name,Kat.,IUCN-Kriterien,Bemerkungen
Barbastella barbastellus,Mopsfledermaus,EN,"B2ab(iii,iv)",
Eptesicus nilssonii,Nordfledermaus,VU,"B2ab(iii,iv)",
Eptesicus serotinus,Breitflügelfledermaus,VU,"B2ab(iii,iv)",
Hypsugo savii,Alpenfledermaus,NT,,"Unterschätzte Verbreitung, möglicherweise in Ausbreitung begriffen"
Miniopterus schreibersii,Langflügelfledermaus,EN,B2ac(iv);D,"Keine Fortpflanzung, stark abhängig von der Dynamik in der Franche-Comté im angrenzenden Frankreich"
Myotis alcathoe,Nymphenfledermaus,DD,,
Myotis bechsteinii,Bechsteinfledermaus,VU,B2ab(iii),
Myotis blythii,Kleines Mausohr,CR,"B2ab(iii,iv);D1",Starke Gefährdung der Jagdlebensräume (Trockenwiesen und Steppenrasen) und Quartiere
Myotis brandtii,Brandtfledermaus,VU,"B2ab(iii,iv)",
Myotis capaccinii,Langfussfledermaus,DD,,
Myotis daubentonii,Wasserfledermaus,NT,,Im Siedlungsraum Gefährdung der Quartiere und der Flugkorridore
Myotis emarginatus,Wimperfledermaus,EN,"B2ab(ii,iii)",Starke Gefährdung der Quartier- und Jagdlebensräume
Myotis myotis,Grosses Mausohr,VU,"B2b(iii,iv)",Stark von Dachstöcken und Schutzmassnahmen der Koordinationsstellen für Fledermausschutz abhängig
Myotis mystacinus,Bartfledermaus,LC,,
Myotis nattereri,Fransenfledermaus,NT,B2b(iv),
Nyctalus leisleri,Kleiner Abendsegler,NT,B2b(iii),
Nyctalus noctula,Grosser Abendsegler,NT,B2b(iii),
Pipistrellus kuhlii,Weissrandfledermaus,LC,,
Pipistrellus nathusii,Rauhautfledermaus,LC,,
Pipistrellus pipistrellus,Zwergfledermaus,LC,,
Pipistrellus pygmaeus,Mückenfledermaus,NT,B2ab(iv),Gefährdung der Quartiere im Siedlungsraum
Plecotus auritus,Braunes Langohr,VU,B2ab(iii),Gefährdung der Quartiere in Dachstöcken
Plecotus austriacus,Graues Langohr,CR,"B2ab(iii,iv)",Starke Gefährdung der Quartier- und Jagdlebensräume
Plecotus macrobullaris,Alpenlangohr,EN,"B2ab(iii,iv)",Gefährdung der Quartiere im Siedlungsraum
Rhinolophus euryale,Mittelmeer-Hufeisennase,DD,,
Rhinolophus ferrumequinum,Grosse Hufeisennase,CR,"A2(c);B2ab (iii,iv); C1; D",Starke Gefährdung der Quartier- und Jagdlebensräume
Rhinolophus hipposideros,Kleine Hufeisennase,EN,"A1(c);B2ab (iii,iv)",Starke Gefährdung der Quartier- und Jagdlebensräume
Tadarida teniotis,Bulldoggfledermaus,NT,B2ac(iii),
