Scientific Name,deutscher name,CAT,Criteria,NHV,Bemerkungen
Abortiporus biennis (Bull.: Fr.) Singer,Rötender Saftwirrling,VU,B1ab(iv),,
Agaricus altipes (F.H. Moeller) Pilat,Langstieliger Stink-Egerling,EN,D1,,
Agaricus benesii Pilat,Rötender Riesenchampignon,VU,D1,,
Agaricus comtulus Fr.,Wiesen-Zwergchampignon,NT,,,in Wiesen
Agaricus excellens (F.H. Moeller) F.H. Moeller,Schneeweißer Riesenchampignon,VU,D1,,
Agaricus lanipes (F.H. Moeller et Jul. Schaeff.),Wollfuß-Champignon,VU,D1,,
Agaricus leucotrichus (F.H. Moeller) F.H. Moeller,Weißhaariger Anis-Champignon,EN,D1,,
Agaricus luteomaculatus (F.H. Moeller) F.H. Moeller,Ockerbrauner Zwerg-Champignon,VU,D1,,
Agaricus lutosus (F.H. Moeller) F.H. Moeller,Ockerfarbener Zwerg-Egerling,EN,B1ab(iii),,Grasland-Art
Agaricus macrocarpus (F.H. Moeller) F.H. Moeller,Großer Anis-Champignon,VU,D1,,
Agaricus maleolens F.H. Moeller,Übelriechender Champignon,VU,D1,,"in Gärten, Parks, Nadelstreu"
Agaricus nivescens (F.H. Moeller) F.H. Moeller,Schneeweißer Champignon,VU,"B1ab(iv,iii)",,Grasland
Agaricus porphyrizon P.D. Orton,Purpurfarbiger Champignon,VU,D1,,auch Parkanlagen
Agaricus subperonatus (J.E. Lange) Singer,Gegürtelter Champignon,EN,"B1ab(iii,iv)",,in Trockenwiesen und schwach gedüngtem Grasland
Agaricus vaporarius (Pers.) Cappelli,Kompost-Champignon,NT,,,"Grasland, ruderale Standorte"
Agrocybe elatella (P. Karst.) Vesterholt,Sumpfwiesen-Ackerling,VU,"B1ab(iii,iv)",,Sümpfe
Agrocybe firma (Peck) Kuehner,Samtiger Ackerling,VU,D1,,
Agrocybe vervacti (Fr.: Fr.) Singer,Hohlstieliger Ackerling,VU,D1,,"Aecker, Grasland"
Aleurocystidiellum disciformis (DC.: Fr.) Telleria,Schüsselförmige Mehlscheibe,NT,,,
