FAMILY,Scientific name,CAT,Kriterien IUCN,NHV,Bemerkungen
Hornmoose – Anthocerotae,Anthoceros agrestis Paton,LC,,,abhängig von ökologischen Ausgleichsmassnahmen
Hornmoose – Anthocerotae,Phaeoceros laevis (L.) Prosk.,NE,,,
Hornmoose – Anthocerotae,Phaeoceros laevis (L.) Prosk. subsp. carolinianus (Michx.) Prosk.,EN,A2b; B1ab(iv)+2ab(iv),CH §,abhängig von ökologischen Ausgleichsmassnahmen
Lebermoose – Hepaticae,Anastrepta orcadensis (Hook.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Anastrophyllum assimile (Mitt.) Steph.,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Anastrophyllum hellerianum (Lindenb.) Schust.,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Anastrophyllum minutum (Schreb.) Schust.,LC,,,
Lebermoose – Hepaticae,Aneura pinguis (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Anthelia julacea (L.) Dum.,NE,,,
Lebermoose – Hepaticae,Anthelia julacea (L.) Dum. subsp. julacea,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Anthelia julacea (L.) Dum. subsp. juratzkana (Limpr.) Meyl.,LC,,,
Lebermoose – Hepaticae,Apometzgeria pubescens (Schrank) Kuw.,LC,,,
Lebermoose – Hepaticae,Asterella gracilis (Web.) Underw.,VU,D2,,
Lebermoose – Hepaticae,Asterella lindenbergiana (Corda) H. Arnell,LC,,,
Lebermoose – Hepaticae,Asterella saccata (Wahlenb.) Evans,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Athalamia hyalina (Sommerf.) Hatt.,VU,D2,,
Lebermoose – Hepaticae,Barbilophozia atlantica (Kaal.) K. Müll.,VU,D2,,
Lebermoose – Hepaticae,Barbilophozia attenuata (Mart.) Loeske,LC,,,
Lebermoose – Hepaticae,Barbilophozia barbata (Schreb.) Loeske,LC,,,
Lebermoose – Hepaticae,Barbilophozia floerkei (Web. & Mohr) Loeske,LC,,,
Lebermoose – Hepaticae,Barbilophozia hatcheri (Evans) Loeske,LC,,,
Lebermoose – Hepaticae,Barbilophozia kunzeana (Hüb.) K. Müll.,LC,,,
Lebermoose – Hepaticae,Barbilophozia lycopodioides (Wallr.) Loeske,LC,,,
Lebermoose – Hepaticae,Barbilophozia quadriloba (Lindb.) Loeske,NT,D2,,
Lebermoose – Hepaticae,Bazzania flaccida (Dum.) Grolle,LC,,,im Mittelland ausgestorben
Lebermoose – Hepaticae,Bazzania tricrenata (Wahlenb.) Lindb.,LC,,,
Lebermoose – Hepaticae,Bazzania trilobata (L.) S. Gray,LC,,,
Lebermoose – Hepaticae,Blasia pusilla L.,VU,A2b; D2,,
Lebermoose – Hepaticae,Blepharostoma trichophyllum (L.) Dum.,NE,,,
Lebermoose – Hepaticae,Blepharostoma trichophyllum (L.) Dum. subsp. trichophyllum,LC,,,
Lebermoose – Hepaticae,Calypogeia arguta Nees & Mont.,NT,D2,,
Lebermoose – Hepaticae,Calypogeia azurea Stotl. & Crotz,LC,,,
Lebermoose – Hepaticae,Calypogeia fissa (L.) Raddi,LC,,,
Lebermoose – Hepaticae,Calypogeia integristipula Steph.,LC,,,
Lebermoose – Hepaticae,Calypogeia muelleriana (Schiffn.) K. Müll.,LC,,,
Lebermoose – Hepaticae,Calypogeia neesiana (Mass. & Carest.) Loeske,LC,,,
Lebermoose – Hepaticae,Calypogeia sphagnicola (H. Arnell & J. Perss.),VU,D2,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Calypogeia suecica (H. Arnell & J. Perss.) K.,LC,,,
Lebermoose – Hepaticae,Cephalozia bicuspidata (L.) Dum.,NE,,,
Lebermoose – Hepaticae,Cephalozia bicuspidata (L.) Dum. subsp. ambigua,NT,D2,,
Lebermoose – Hepaticae,Cephalozia bicuspidata (L.) Dum. subsp. bicuspidata,LC,,,
Lebermoose – Hepaticae,Cephalozia catenulata (Hüb.) Lindb.,LC,,,
Lebermoose – Hepaticae,Cephalozia connivens (Dicks.) Lindb.,NT,,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Cephalozia lacinulata Spruce,DD,,,Vorkommen in der Schweiz unsicher
Lebermoose – Hepaticae,Cephalozia leucantha Spruce,EN,B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Cephalozia loitlesbergeri Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Cephalozia lunulifolia (Dum.) Dum.,LC,,,
Lebermoose – Hepaticae,Cephalozia macrostachya Kaal.,VU,D2,,
Lebermoose – Hepaticae,Cephalozia pleniceps (Aust.) Lindb.,LC,,,
Lebermoose – Hepaticae,Cephaloziella arctica Bryhn & Douin,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella divaricata (Sm.) Schiffn.,LC,,,
Lebermoose – Hepaticae,Cephaloziella elachista (Gott. & Rabenh.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella elegans (Heeg) Schiffn.,CR,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Cephaloziella grimsulana (Gott. & Rabenh.) Lac.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella hampeana (Nees) Schiffn.,EN,B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Cephaloziella integerrima (Lindb.) Warnst.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella massalongi (Spruce) K. Müll.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella phyllacantha (Mass. & Carest.) K.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella rubella (Nees) Warnst.,LC,,,
Lebermoose – Hepaticae,Cephaloziella stellulifera (Spruce) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Cephaloziella subdentata Warnst.,VU,D2,,
Lebermoose – Hepaticae,Chiloscyphus polyanthos (L.) Corda,NE,,,
Lebermoose – Hepaticae,Chiloscyphus polyanthos (L.) Corda subsp. pallescens (Hoffm.) Meyl.,LC,,,
Lebermoose – Hepaticae,Chiloscyphus polyanthos (L.) Corda subsp. polyanthos,LC,,,
Lebermoose – Hepaticae,Cladopodiella fluitans (Nees) Buch,NT,,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Cladopodiella francisci (Hook.) Jørg.,VU,D2,,
Lebermoose – Hepaticae,Cololejeunea calcarea (Lib.) Schiffn.,LC,,,
Lebermoose – Hepaticae,Cololejeunea rossettiana (Mass.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Conocephalum conicum (L.) Underw.,LC,,,
Lebermoose – Hepaticae,Corsinia coriandrina (Spreng.) Lindb.,VU,D2,,
Lebermoose – Hepaticae,Diplophyllum albicans (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Diplophyllum obtusifolium (Hook.) Dum.,LC,,,
Lebermoose – Hepaticae,Diplophyllum taxifolium (Wahlenb.) Dum.,LC,,,
Lebermoose – Hepaticae,Eremonotus myriocarpus (Carring.) Pears.,LC,,,
Lebermoose – Hepaticae,Fossombronia angulosa (Dicks.) Raddi,VU,D2,,
Lebermoose – Hepaticae,Fossombronia caespitiformis Rabenh.,DD,,,Vorkommen in der Schweiz unsicher
Lebermoose – Hepaticae,Fossombronia foveolata Lindb.,RE,,,"einziger Fund 1909,  Nachsuche erfolglos"
Lebermoose – Hepaticae,Fossombronia incurva Lindb.,VU,D2,,einziger Fund 1990
Lebermoose – Hepaticae,Fossombronia pusilla (L.) Nees,VU,D2,,
Lebermoose – Hepaticae,Fossombronia wondraczekii (Corda) Lindb.,VU,D2,,
Lebermoose – Hepaticae,Frullania cesatiana De Not.,VU,D2,§REG,
Lebermoose – Hepaticae,Frullania dilatata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Frullania fragilifolia (Tayl.) Gott. & al.,LC,,,
Lebermoose – Hepaticae,Frullania inflata Gott.,VU,D2,,
Lebermoose – Hepaticae,Frullania jackii Gott.,NT,A2b,,
Lebermoose – Hepaticae,Frullania parvistipula Steph.,CR,"B2ab(iii,iv)",§CH,
Lebermoose – Hepaticae,Frullania tamarisci (L.) Dum.,NT,A2b,,
Lebermoose – Hepaticae,Geocalyx graveolens (Schrad.) Nees,CR,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Gymnocolea inflata (Huds.) Dum.,LC,,,
Lebermoose – Hepaticae,Gymnomitrion apiculatum (Schiffn.) K. Müll.,VU,D2,,
Lebermoose – Hepaticae,Gymnomitrion concinnatum (Lightf.) Corda,LC,,,
Lebermoose – Hepaticae,Gymnomitrion corallioides Nees,NT,A2b,,
Lebermoose – Hepaticae,Gymnomitrion obtusum (Lindb.) Pears.,VU,D2,,
Lebermoose – Hepaticae,Haplomitrium hookeri (Sm.) Nees,VU,D2,,
Lebermoose – Hepaticae,Harpalejeunea ovata (Hook.) Steph.,VU,D2,,
Lebermoose – Hepaticae,Harpanthus flotovianus (Nees) Nees,VU,D2,,
Lebermoose – Hepaticae,Harpanthus scutatus (Web. & Mohr) Spruce,EN,"B1ab(i,iv)+2ab(iv)",,
Lebermoose – Hepaticae,Hygrobiella laxifolia (Hook.) Spruce,VU,D2,,
Lebermoose – Hepaticae,Jamesoniella autumnalis (DC.) Steph.,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Jamesoniella undulifolia (Nees) K. Müll.,CR,B1ab(iv)+2ab(iv),§REG,
Lebermoose – Hepaticae,Jungermannia atrovirens Dum.,LC,,,
Lebermoose – Hepaticae,Jungermannia borealis Damsh. & Vána,VU,D2,,
Lebermoose – Hepaticae,Jungermannia caespiticia Lindenb.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia confertissima Nees,NT,D2,,
Lebermoose – Hepaticae,Jungermannia exsertifolia Steph.,NE,,,
Lebermoose – Hepaticae,Jungermannia exsertifolia Steph. subsp. cordifolia (Dum.) Vána,VU,D2,,
Lebermoose – Hepaticae,Jungermannia gracillima Sm.,LC,,,
Lebermoose – Hepaticae,Jungermannia hyalina Lyell,LC,,,
Lebermoose – Hepaticae,Jungermannia leiantha Grolle,VU,A2b,,
Lebermoose – Hepaticae,Jungermannia obovata Nees,LC,,,
Lebermoose – Hepaticae,Jungermannia polaris Lindb.,LC,,,
Lebermoose – Hepaticae,Jungermannia pumila With.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia sphaerocarpa Hook.,LC,,,
Lebermoose – Hepaticae,Jungermannia subelliptica (Kaal.) Lev.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia subulata Evans,DD,,,
Lebermoose – Hepaticae,Kurzia pauciflora (Dicks.) Grolle,EN,B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Kurzia trichoclados (K. Müll.) Grolle,VU,D2,,
Lebermoose – Hepaticae,Lejeunea cavifolia (Ehrh.) Lindb.,LC,,,
Lebermoose – Hepaticae,Lejeunea lamacerina (Steph.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Lejeunea ulicina (Tayl.) Gott. & al.,LC,,,
Lebermoose – Hepaticae,Lepidozia reptans (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea bidentata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea heterophylla (Schrad.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea minor Nees,LC,,,
Lebermoose – Hepaticae,Lophozia ascendens (Warnst.) Schust.,LC,,,
Lebermoose – Hepaticae,Lophozia badensis (Gott.) Schiffn.,LC,,,
Lebermoose – Hepaticae,Lophozia bantriensis (Hook.) Steph.,LC,,,
Lebermoose – Hepaticae,Lophozia bicrenata (Hoffm.) Dum.,VU,A2b,,
Lebermoose – Hepaticae,Lophozia capitata (Hook.) Mac.,NE,,,
Lebermoose – Hepaticae,Lophozia capitata (Hook.) Mac. subsp. laxa (Lindb.) Bisang,EN,B1ab(iv)+2ab(iv),,abhängig vom Moorschutz
Lebermoose – Hepaticae,Lophozia collaris (Nees) Dum.,LC,,,
Lebermoose – Hepaticae,Lophozia decolorans (Limpr.) Steph.,LC,,,
Lebermoose – Hepaticae,Lophozia excisa (Dicks.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophozia gillmanii (Aust.) Schust.,VU,D2,,
Lebermoose – Hepaticae,Lophozia grandiretis (Kaal.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Lophozia heterocolpos (Hartm.) Howe,LC,,,
Lebermoose – Hepaticae,Lophozia incisa (Schrad.) Dum.,NE,,,
