ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
NEUROPTEROIDEA (NETZFLÜGLER),MEGALOPTERA (SCHLAMMFLIEGEN),Sialis nigripes Pictet,3,3,3,Ufervegetation
NEUROPTEROIDEA (NETZFLÜGLER),RAPHlDlOPTERA (KAMELHALSFLIEGEN),Raphidia aloysiana Costa,-,3,3,Föhrenwald VS
NEUROPTEROIDEA (NETZFLÜGLER),RAPHlDlOPTERA (KAMELHALSFLIEGEN),R. ligurica Albarda,-,3,3,Föhrenwald VS
NEUROPTEROIDEA (NETZFLÜGLER),RAPHlDlOPTERA (KAMELHALSFLIEGEN),R. maculicollis Stephens,-,3,3,FöhrenwaldVS
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Aleuropteryx loewii Klapalek,,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Coniopteryx lentiae Aspöck et Aspöck,,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Helicoconis eglini Ohm,,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Parasemidalis fuscipennis (Reuter),,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Osmylus fulvicephalus (Scopoli),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Sisyra fuscata (Fabricius),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",S. terminalis Curtis,,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Mantispa styriaca (Poda),,,2,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Megalomus tineoides Rambur,,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Psectra diptera (Burmeister),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Wesmaelius helveticus (Aspöck et A.),,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",W. mortoni (McLachlan),,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Chrysopa formosa Brauer,,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",C. nigricostata Brauer,,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",C. viridana Schneider,,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Chtysoperla mediterranea (Hölzel),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Cunctochrysa baetica (Hölzel),,,2,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",ltalochrysa italica (Rossi),,,1,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Mallada zelleri (Schneider),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",M. clathratus (Schneider),,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Nineta inpunctata (Reuter),,,4,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Acanthaclisis occitanica (Villers),,,2,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Dendroleon pantherinus (Fabricius),,,1,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Distoleon tetragrammicus (Fabricius),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Megistopus flavicornis (Rossi),,,2,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",Libelloides coccajus (Denis et Schiff.),,,3,
NEUROPTEROIDEA (NETZFLÜGLER),"PLANIPENNIA, NETZFLÜGLER)",L. longicornis (Linnaeus),,,2,
