FAMILY,Scientific name,Deutscher Name,Kat.,IUCN-Kriterien,Bemerkungen
Landschnecken,Acicula lineolata,Gekritzte Nadelschnecke,EN,"B2a, B2b(iv)","Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Alinda biplicata,Gemeine Schliessmundschnecke,EN,"B2a, B2b(iv)",Wälder
Landschnecken,Argna ferrari,Ferraris Puppenschnecke,VU,"B1,B2b2(ii)","Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Arion intermedius Normand,Kleine Wegschnecke,VU,"B2a, B2b(i-v)",Wälder
Landschnecken,Arion rufus,Rote Wegschnecke,VU,B2b(iv),Wälder
Landschnecken,Balea perversa,Zahnlose Schliessmundschnecke,VU,"B2a, B2b(iv), B2c(iv)","Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Bulgarica cana,Graue Schliessmundschnecke,CR,B2b(iv),Wälder
Landschnecken,Candidula unifasciata,Quendelschnecke,VU,B2b(iv),Wiesen und Weiden
Landschnecken,Causa holosericea,Genabelte Maskenschnecke,VU,"B2a, B2b(iv)","Säume, Wälder, Felsen und Steinschutt"
Landschnecken,Cecilioides veneta,Bauchige Blindschnecke,CR,"B2a, B2b(i, iii, iv)",Felsen und Steinschutt
Landschnecken,Charpentieria dyodon,Simplon-Schliessmundschnecke,CR,"B2a, B2b(iv)",Felsen und Steinschutt
Landschnecken,Charpentieria thomasiana studeri,Studers Schliessmundschnecke,EN,"B2a, C2a(i)",Wälder
Landschnecken,Chilostoma achates achates,Fischäugige Felsenschnecke,EN,"B2a, B2b(iv)","Wälder, Felsen und Steinschutt"
Landschnecken,Chilostoma adelozona adelozona,Bergamasker Felsenschnecke,EN,"B2a, B2b(i, ii, iii, iv)","Wälder, Felsen und Steinschutt"
Landschnecken,Chilostoma adelozona rhaeticum,Engadiner Felsenschnecke,VU,"B1, B2b(iv)","Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Chilostoma cingulatum cingulatum,Grosse Felsenschnecke,CR,"B2a, B2b(iv)","Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Chilostoma cingulatum tigrinum,Chilostoma cingulatum tigrinum  Getigerte Felsenschnecke,CR,"B1a, B2a, B2b(i, ii, iii, v)",Felsen und Steinschutt
Landschnecken,Chilostoma glaciale,Kar-Felsenschnecke,RE,"B2a, B2b(iv)",Felsen und Steinschutt
