ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
ADEPHAGA (Wasserkäfer),Hygrobiidae (Feuchtkäfer),Hygrobia hermanni (Fabricius),2,2,2,schlammige stehende Gewässer
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),Brychius elevatus (Panzer),3,3,3,langsam fliessende Gewässer
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),Halipius obliquus (Fabricius),3,3,3,Kiesgruben
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. confinis Stephens,3,3,3,"Kiesgruben, Wiesengräben"
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. fluviatilis Aube,2,2,2,vegetationsreiche Bäche
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. fulvicollis Erichson,3,3,3,schattigeTümpel
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. fulvus (Fabricius),2,-,2,vegetationsreiche stehende Gewässer
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. immaculatus Gerhardt,4,-,4,laubreiche Waldgewässer
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. laminatus (Schaller),4,4,4,langsam fliessende Gewässer
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. mucronatus Stephens,2,3,3,Tümpel
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. variegatus Sturm,3,3,3,Tümpel
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),H. wehnckei Gerhardt,3,-,3,"Tümpel, laubreiche Waldgewässer"
ADEPHAGA (Wasserkäfer),Haliplidae (Wassertreter),Peltodytes caesus (Duftschmidt),2,4,3,"Tümpel mit Pflanzen, langsame Fliessgewässser"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Acilius canaliculatus (Nicolai),3,3,3,"Moore, Tümpel, Schlammige Waldtümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Agabus affinis (Paykull),3,3,3,"Moore,Torfstiche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. biguttatus (Olivier),3,3,3,"ruhige Fliessgewässer, Bäche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. brunneus (Fabricius),2,-,2,"klare Gewässer, langsam fliessende Bäche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. chalconatus (Panzer),3,3,3,"schattige Gewässer, Gräben mit Laub"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. erichsoni Gemminger & Harold,-,4,4,"alpine Seen, meist an moorigen Stellen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. labiatus (Brahm),3,-,3,temporäre Tümpel
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. melanarius Aube,2,2,2,"Waldtümpel,Populationen meist schwankend"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. neglectus Erichson,2,-,2,"Tümpel, oft Waldtümpel mit Laub"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. paludosus (Fabricius),3,3,3,"klare Gewässer, kleine Bäche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. solieri Aube,3,n,3,"grosse Tümpel, alpine Seen (boreoalpine Art)"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. subtilis Erichson,4,4,4,"Moore, kalte Waldtümpel mit Laubboden"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),A. uliginosus (Linnaeus),3,3,3,schattige Waldtümpel mit Lehmgrund
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Bidessus delicatulus (Schaum),2,-,2,oft fliessende Gewässer
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),B. grossepunctatus Vorbringer,2,-,2,meist tn Mooren
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),B. minutissimus (Germar),2,-,2,"klare Gewässer, Tümpel (v.a. temporäre)"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Coelambus parallelogrammus (Ahr.),4,-,4,stehende oder leicht fliessende Gewässer
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Cybister lateralimarginalis (DeGeer),4,4,4,"stehende Gewässer, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Deronectes aubei (Mulsant),2,2,2,Gebirgsbäche an ruhigen Stellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. latus (Stephens),1,-,1,Bache und Flüsse an ruhigen Stellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. moestus (Fairmaire),-,2,2,Bäche an ruhigen Stellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. platynotus (Germar),1,-,1,Gebirgsbäche
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Dytiscus circumcinctus Ahrens,3,-,3,"Tümpel, Bäche, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. circumflexus Fabricius,2,-,2,"stehende Gewässer, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. dimidiatus Bergsträsser,3,3,3,"stehende oder leicht fliessende Gewässer, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. lapponicus Gyllenhal,1,1,1,"Tümpel, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. latissimus Linnaeus,1,1,1,"Fischteiche, keine neueren Funde"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. marginalis Linnaeus,4,4,4,"Moore, ruhige und kalte Gewässer"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),D. semisulcatus Müller,1,1,1,Tümpel mit Pflanzen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Graphoderus austriacus (Sturm),3,3,3,"temporäre Tümpel, vegetationsreiche Gewässer"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),G. bilineatus (DeGeer),3,3,3,kalte und schattige Tümpel mit Pflanzen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),G. cinereus (Linnaeus),2,2,2,Tümpel mit Pflanzen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),G. zonatus (Hoppe),1,1,1,"Moore, Tümpel an moorigen Stellen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Graptodytes bilineatus (Sturm),3,3,3,"Kleingewässer, zwischen Wasserpflanzen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),G. flavipes (Olivier),-,2,2,Tümpel mit frischem Wasser
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),G. pictus (Fabricius),3,3,3,stehende und langsam fliessende Gewässer
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Hydaticus grammicus Germar,2,2,2,"Tümpel mit Pflanzen, Kiesgruben"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. continentalis Balfour-Browne,2,-,2,"Tümpel, oft Waldtümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Hydaticus transversalis (Pontoppidan),3,-,3,Tümpel mit Laub
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Hydroporus angustatus Sturm,3,3,3,"stehende Gewässer, Hochmoore (acidophile Art)"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. elongatulus Sturm,2,-,2,"Moore, Waldtümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. ferrugineus Stephens,3,3,3,offene Quellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. gyllenhalii Schiödte,3,-,3,"Feldgräben, Waldtümpel, kleine stehende Gewässer"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. incognitus Sharp,2,2,2,"Moore, laubreiche Waldgewässer an moorigen Stellen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. kraatzii Schaum,-,3,3,Gebirgsbäche (kaltstenotherme Art)
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. longicornis Sharp,2,2,2,kalte Kleingewässer in Quellnähe
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. longulus Mulsant,-,2,2,"kalte Tümpel, oft in  Quellnähe"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. marginatus (Duftschmidt),3,3,3,"klare und kalte Gewässer, Bäche an ruhigen Stellen"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. melanarius Sturm,4,4,4,Waldtümpel mit viel Laub
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. morio Aube,2,2,2,"Moore, Gewässer"
