GROUP,ORDER,FAMILY,GENUS,SPECIES,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
Insecta,Ephemeroptera,Baetidae,Acentrella,sinaica,"Acentrella sinaica Bogoescu, 1931",-,CR,"B2a, B2b (ii,iii)",Sehr beschränktes Verbreitungsgebiet
Insecta,Ephemeroptera,Baetidae,Alainites,muticus,"Alainites muticus (Linnaeus, 1758)",-,LC,,
Insecta,Ephemeroptera,Ameletidae,Ameletus,inopinatus,"Ameletus inopinatus Eaton, 1887",-,CR,"B2a, B2b (iii, iv)",Nur 2 Populationen bekannt
Insecta,Ephemeroptera,Baetidae,Baetis,alpinus,"Baetis alpinus (Pictet, 1843)",-,LC,,
Insecta,Ephemeroptera,Baetidae,Baetis,buceratus,"Baetis buceratus Eaton, 1870",-,VU,B2b (iv),
Insecta,Ephemeroptera,Baetidae,Baetis,fuscatus,"Baetis fuscatus (Linné, 1761)",-,LC,,
Insecta,Ephemeroptera,Baetidae,Baetis,liebenauae,"Baetis liebenauae Keffermüller, 1974",-,VU,"B2a, B2b (iv)",
Insecta,Ephemeroptera,Baetidae,Baetis,lutheri,"Baetis lutheri Müller-Liebenau, 1967",-,LC,,
Insecta,Ephemeroptera,Baetidae,Baetis,melanonyx,"Baetis melanonyx (Pictet, 1843)",-,NT,B2b (ii),
Insecta,Ephemeroptera,Baetidae,Baetis,nubecularis,"Baetis nubecularis Eaton, 1898",-,VU,"B2b (iii, iv)",Jura-Endemit
Insecta,Ephemeroptera,Baetidae,Baetis,pentaphlebodes,"Baetis pentaphlebodes Ujhelyi, 1966",-,VU,B2a,Erstnachweis 2002; 3 bekannte Populationen
Insecta,Ephemeroptera,Baetidae,Baetis,rhodani,"Baetis rhodani (Pictet, 1843)",-,LC,,
Insecta,Ephemeroptera,Baetidae,Baetis,scambus,"Baetis scambus Eaton, 1870",-,LC,,
Insecta,Ephemeroptera,Baetidae,Baetis,vardarensis,"Baetis vardarensis IKonomov, 1962",-,NT,B2b (iv),
Insecta,Ephemeroptera,Baetidae,Baetis,vernus,"Baetis vernus Curtis, 1834",-,LC,,
Insecta,Ephemeroptera,Caenidae,Caenis,beskidensis,"Caenis beskidensis Sowa, 1973",-,VU,"B2b (ii, iii, iv)",
Insecta,Ephemeroptera,Caenidae,Caenis,horaria,"Caenis horaria (Linnaeus, 1758)",-,LC,,
Insecta,Ephemeroptera,Caenidae,Caenis,lactea,"Caenis lactea (Burmeister, 1839)",-,VU,B2b (iv),
Insecta,Ephemeroptera,Caenidae,Caenis,luctuosa,"Caenis luctuosa (Burmeister, 1839)",-,LC,,
Insecta,Ephemeroptera,Caenidae,Caenis,macrura,"Caenis macrura Stephens, 1835",-,LC,,
Insecta,Ephemeroptera,Caenidae,Caenis,pusilla,"Caenis pusilla Navas, 1913",-,CR,"B2a, B2b (ii), B2c(ii)",Rezente Abnahme nachgewiesen
Insecta,Ephemeroptera,Caenidae,Caenis,rivulorum,"Caenis rivulorum Eaton, 1884",-,EN,"B2a, B2b (ii, iv)",
Insecta,Ephemeroptera,Caenidae,Caenis,robusta,"Caenis robusta Eaton, 1884",-,NT,B2b (iii),
Insecta,Ephemeroptera,Baetidae,Centroptilum,luteolum,"Centroptilum luteolum (Müller, 1776)",-,LC,,
Insecta,Ephemeroptera,Leptophlebiidae,Choroterpes,picteti,"Choroterpes picteti Eaton, 1871",-,EN,"B2a, B2b (ii, iii,iv)",
Insecta,Ephemeroptera,Baetidae,Cloeon,dipterum,"Cloeon dipterum (Linné, 1761)",-,LC,,
Insecta,Ephemeroptera,Baetidae,Cloeon,simile,"Cloeon simile Eaton, 1870",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,alpinus,"Ecdyonurus alpinus Hefti, Tomka, Zurwerra, 1987",-,NT,B2b (i),
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,dispar,"Ecdyonurus dispar (Curtis, 1834)",-,VU,"B2b (ii, iii)",
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,helveticus,"Ecdyonurus helveticus (Eaton, 1885)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,insignis,"Ecdyonurus insignis (Eaton, 1870)",-,CR,"B2b (ii, iii, iv)","Ausschliesslich Larvennachweise 1910, 1942, 2009"
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,parahelveticus,"Ecdyonurus parahelveticus Hefti, Tomka, Zurwerra, 1986",-,VU,"B2b (i, iv)",Sehr beschränktes Verbreitungsgebiet
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,picteti,"Ecdyonurus picteti (Meyer-Dür, 1864)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis,"Ecdyonurus torrentis Kimmins, 1942",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,venosus,"Ecdyonurus venosus (Fabricius, 1775)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,zelleri,"Ecdyonurus zelleri (Eaton, 1885)",-,DD,,
Insecta,Ephemeroptera,Heptageniidae,Electrogena,lateralis,"Electrogena lateralis (Curtis, 1834)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Electrogena,ujhelyii,"Electrogena ujhelyii (Sowa, 1981)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Epeorus,alpicola,"Epeorus alpicola (Eaton, 1871)",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Epeorus,assimilis,"Epeorus assimilis (Eaton, 1885",-,LC,,
Insecta,Ephemeroptera,Ephemeridae,Ephemera,danica,"Ephemera danica Müller, 1764",-,LC,,
Insecta,Ephemeroptera,Ephemeridae,Ephemera,glaucops,"Ephemera glaucops Pictet, 1843-1845",-,CR,"B2a, B2b (ii,iii, iv)",
Insecta,Ephemeroptera,Ephemeridae,Ephemera,lineata,"Ephemera lineata Eaton, 1870",-,EN,"B2a, B2b (ii, iii)",
Insecta,Ephemeroptera,Ephemeridae,Ephemera,vulgata,"Ephemera vulgata Linnaeus, 1758",-,VU,"B2b (ii, iii, iv)",
Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,mucronata,"Ephemerella mucronata (Bengtsson, 1909)",-,LC,,
Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,notata,"Ephemerella notata Eaton, 1887",-,CR,"B2a, B2b (ii, iii, iv)",
Insecta,Ephemeroptera,Polymitarcyidae,Ephoron,virgo,"Ephoron virgo (Olivier, 1791)",-,RE,,Einziger Nachweis 1870
Insecta,Ephemeroptera,Leptophlebiidae,Habroleptoides,auberti,"Habroleptoides auberti (Biancheri, 1954)",-,LC,,
Insecta,Ephemeroptera,Leptophlebiidae,Habroleptoides,confusa,"Habroleptoides confusa Sartori & Jacob, 1986",-,LC,,
Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,eldae,"Habrophlebia eldae Jacob & Sartori, 1984",-,VU,B2c (ii),Erstnachweis 1989
Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,fusca,"Habrophlebia fusca (Curtis, 1834)",-,CR,"B2a, B2b (iii, iv)",Erstnachweis 1996
Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,lauta,"Habrophlebia lauta Eaton, 1884",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Heptagenia,coerulans,"Heptagenia coerulans Rostock, 1877",-,RE,,Einziger Nachweis 1905
Insecta,Ephemeroptera,Heptageniidae,Heptagenia,longicauda,"Heptagenia longicauda (Stephens, 1836)",-,RE,,Zwei Nachweise 1905–1974
Insecta,Ephemeroptera,Heptageniidae,Heptagenia,sulphurea,"Heptagenia sulphurea (Müller, 1776)",-,LC,,
Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,marginata,"Leptophlebia marginata (Linnaeus, 1767)",-,EN,"B2b (ii, iii, iv)",
Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,vespertina,"Leptophlebia vespertina (Linnaeus, 1758)",-,CR,"B2a, B2b (iii, iv)",
Insecta,Ephemeroptera,Ameletidae,Metreletus,balcanicus,"Metreletus balcanicus (Ulmer, 1920)",-,CR,"B2a, B2b (iii, iv)",Nur 1 Bestand bekannt
Insecta,Ephemeroptera,Baetidae,Nigrobaetis,niger,"Nigrobaetis niger (Linné, 1761)",-,CR,"B2b (ii, iii, iv)",Sehr beschränktes Verbreitungsgebiet in CH
Insecta,Ephemeroptera,Oligoneuriidae,Oligoneuriella,rhenana,"Oligoneuriella rhenana (Imhoff, 1852)",-,CR,"B2a, B2b (ii, iii, iv)",Sehr beschränktes Verbreitungsgebiet in CH
Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,cincta,"Paraleptophlebia cincta (Retzius, 1783)",-,NE,,
Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,submarginata,"Paraleptophlebia submarginata (Stephens, 1835)",-,LC,,
Insecta,Ephemeroptera,Potamanthidae,Potamanthus,luteus,"Potamanthus luteus (Linnaeus, 1767)",-,NT,B2b (ii),
Insecta,Ephemeroptera,Baetidae,Procloeon,bifidum,"Procloeon bifidum (Bengtsson, 1912)",-,EN,B2b (iv),Beschränktes Verbreitungsgebiet in CH
Insecta,Ephemeroptera,Baetidae,Procloeon,pennulatum,"Procloeon pennulatum (Eaton, 1870)",-,VU,"B2cii, B2b( iii, iv)",
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,allobrogica,"Rhithrogena allobrogica Sowa & Degrange, 1987",-,VU,"B2a, B2b (iv)",
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,alpestris,"Rhithrogena alpestris Eaton, 1885",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,beskidensis,"Rhithrogena beskidensis Alba-Tercedor & Sowa, 1987",-,VU,"B2a, B2b (ii, iv)",
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,carpatoalpina,"Rhithrogena carpatoalpina Klonowska, Olechowska, Sartori & Weichselbaumer, 1987",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,degrangei,"Rhithrogena degrangei Sowa, 1969",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,dorieri,"Rhithrogena dorieri Sowa, 1971",-,NT,B2b (iii),Vermutlich eine Waldart
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,germanica,"Rhithrogena germanica Eaton, 1885",-,CR,"B2a, B2b (ii, iii, iv)",Rezente Abnahme nachgewiesen
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,gratianopolitana,"Rhithrogena gratianopolitana Sowa, Degrange & Sartori, 1986",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,grischuna,"Rhithrogena grischuna Sartori & Oswald, 1988",-,NT,B2b (i),Beschränktes Verbreitungsgebiet
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,hybrida,"Rhithrogena hybrida Eaton, 1885",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,landai,"Rhithrogena landai Sowa & Soldan, 1984",-,EN,"B2b (ii, iv)",
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,loyolaea,"Rhithrogena loyolaea Navas, 1922",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,nivata,"Rhithrogena nivata (Eaton, 1871)",-,NT,B2b (i),
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,picteti,"Rhithrogena picteti Sowa, 1971",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,puthzi,"Rhithrogena puthzi Sowa, 1984",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,puytoraci,"Rhithrogena puytoraci Sowa & Degrange, 1987",-,DD,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,savoiensis,"Rhithrogena savoiensis Alba-Tercedor & Sowa, 1987",-,LC,,
Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,semicolorata,"Rhithrogena semicolorata (Curtis, 1834)",-,LC,,
Insecta,Ephemeroptera,Ephemerellidae,Serratella,ignita,"Serratella ignita (Poda, 1761)",-,LC,,
Insecta,Ephemeroptera,Siphlonuridae,Siphlonurus,aestivalis,"Siphlonurus aestivalis (Eaton, 1903)",-,EN,"B2b (ii, iii, iv)",Nur eine grosse Population in CH
Insecta,Ephemeroptera,Siphlonuridae,Siphlonurus,lacustris,"Siphlonurus lacustris (Eaton, 1870)",-,NT,B2b (iii),
Insecta,Ephemeroptera,Ephemerellidae,Torleya,major,"Torleya major (Klapalek, 1905)",-,VU,"B2b (ii, iii,iv)",Starke Abnahme in der Westschweiz
Insecta,Plecoptera,Nemouridae,Amphinemura,standfussi,"Amphinemura standfussi (Ris, 1902)",-,NT,B2a,
Insecta,Plecoptera,Nemouridae,Amphinemura,sulcicollis,"Amphinemura sulcicollis (Stephens, 1836)",-,LC,,
Insecta,Plecoptera,Nemouridae,Amphinemura,triangularis,"Amphinemura triangularis (Ris, 1902)",-,LC,,
