ID_ISFS,GROUP,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
100,Gymnosperma,Pinaceae,Abies,alba,Abies alba,Tanne,LC,,
300,Dicotyledones,Sapindaceae,Acer,campestre,Acer campestre,Feld-Ahorn,LC,,
600,Dicotyledones,Sapindaceae,Acer,opalus,Acer opalus,Schneeballblättriger Ahorn,LC,,
700,Dicotyledones,Sapindaceae,Acer,platanoides,Acer platanoides,Spitz-Ahorn,LC,,
800,Dicotyledones,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,Berg-Ahorn,LC,,
900,Monocotyledones,Orchidaceae,Aceras,anthropophorum,Aceras anthropophorum,Ohnsporn,NT,B2b(iii),"Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
1000,Dicotyledones,Asteraceae,Achillea,atrata,Achillea atrata,Schwarze Schafgarbe,LC,,
1100,Dicotyledones,Asteraceae,Achillea,clavenae,Achillea clavenae,Clavenas Schafgarbe,VU,C2a(i) *,Nur im Südtessin einheimisch (für Einstufung berücksichtigt)
1200,Dicotyledones,Asteraceae,Achillea,collina,Achillea collina,Hügel-Wiesen-Schafgarbe,VU,A2c,
1500,Dicotyledones,Asteraceae,Achillea,erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata,Moschus-Schafgarbe,LC,,
1600,Dicotyledones,Asteraceae,Achillea,macrophylla,Achillea macrophylla,Grossblättrige Schafgarbe,LC,,
1700,Dicotyledones,Asteraceae,Achillea,millefolium,Achillea millefolium,Gewöhnliche Schafgarbe,LC,,
1705,Dicotyledones,Asteraceae,Achillea,millefolium aggr.,Achillea millefolium aggr.,Gewöhnliche Schafgarbe,LC,,"Achtung: Das Aggregat enthält mehrere bewertete Arten, darunter auch gefährdete"
1900,Dicotyledones,Asteraceae,Achillea,nana,Achillea nana,Zwerg-Schafgarbe,LC,,
2000,Dicotyledones,Asteraceae,Achillea,nobilis,Achillea nobilis,Edle Schafgarbe,NT,B2b(iii),
2150,Dicotyledones,Asteraceae,Achillea,pratensis,Achillea pratensis,Wiesen-Schafgarbe,DD,,Vorkommen in der Schweiz bisher nicht sicher belegt
2200,Dicotyledones,Asteraceae,Achillea,ptarmica,Achillea ptarmica,Sumpf-Schafgarbe,VU,A4c,"Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
2300,Dicotyledones,Asteraceae,Achillea,roseoalba,Achillea roseoalba,Blassrote Wiesen-Schafgarbe,LC,,
2400,Dicotyledones,Asteraceae,Achillea,setacea,Achillea setacea,Feinblättrige Wiesen-Schafgarbe,LC,,
2500,Dicotyledones,Asteraceae,Achillea,stricta,Achillea stricta,Steife Wiesen-Schafgarbe,NT,B2b(iii),
2600,Dicotyledones,Asteraceae,Achillea,tomentosa,Achillea tomentosa,Gelbe Schafgarbe,NT,B1b(iii); B2b(iii),
2700,Monocotyledones,Poaceae,Achnatherum,calamagrostis,Achnatherum calamagrostis,Raugras,LC,,
2800,Dicotyledones,Lamiaceae,Acinos,alpinus,Acinos alpinus,Alpen-Steinquendel,LC,,
2900,Dicotyledones,Lamiaceae,Acinos,arvensis,Acinos arvensis,Feld-Steinquendel,LC,,
3100,Dicotyledones,Ranunculaceae,Aconitum,anthora,Aconitum anthora,Giftheil-Eisenhut,VU,D2,
3510,Dicotyledones,Ranunculaceae,Aconitum,lycoctonum,Aconitum lycoctonum,Gelber Eisenhut,LC,,Die Art enthält mehrere bewertete Unterarten
3520,Dicotyledones,Ranunculaceae,Aconitum,lycoctonum subsp. neapolitanum,Aconitum lycoctonum subsp. neapolitanum,Neapolitaner Eisenhut,LC,,
3530,Dicotyledones,Ranunculaceae,Aconitum,lycoctonum subsp. vulparia,Aconitum lycoctonum subsp. vulparia,Gelber Eisenhut,LC,,
3540,Dicotyledones,Ranunculaceae,Aconitum,napellus,Aconitum napellus,Blauer Eisenhut,LC,,"Achtung: Die Art enthält mehrere bewertete Unterarten, darunter auch gefährdete"
3560,Dicotyledones,Ranunculaceae,Aconitum,napellus subsp. lusitanicum,Aconitum napellus subsp. lusitanicum,Portugiesischer Eisenhut,LC,,
3570,Dicotyledones,Ranunculaceae,Aconitum,napellus subsp. tauricum,Aconitum napellus subsp. tauricum,Tauern-Eisenhut,VU,D2,
3580,Dicotyledones,Ranunculaceae,Aconitum,napellus subsp. vulgare,Aconitum napellus subsp. vulgare,Gewöhnlicher Blauer Eisenhut,LC,,
4390,Dicotyledones,Ranunculaceae,Aconitum,variegatum,Aconitum variegatum,Gescheckter Eisenhut,LC,,"Achtung: Die Art enthält mehrere bewertete Unterarten, darunter auch gefährdete"
4400,Dicotyledones,Ranunculaceae,Aconitum,variegatum subsp. variegatum,Aconitum variegatum subsp. variegatum,Gewöhnlicher Scheck-Eisenhut,VU,D2,
4600,Dicotyledones,Ranunculaceae,Aconitum,variegatum subsp. paniculatum,Aconitum variegatum subsp. paniculatum,Rispiger Scheck-Eisenhut,LC,,
4700,Dicotyledones,Ranunculaceae,Aconitum,variegatum subsp. rostratum,Aconitum variegatum subsp. rostratum,Geschnäbelter Scheck-Eisenhut,NT,C2a(i),
4800,Dicotyledones,Ranunculaceae,Aconitum,variegatum subsp. valesiacum,Aconitum variegatum subsp. valesiacum,Walliser Scheck-Eisenhut,LC,,
5200,Dicotyledones,Ranunculaceae,Actaea,spicata,Actaea spicata,Christophskraut,LC,,
5300,Dicotyledones,Campanulaceae,Adenophora,liliifolia,Adenophora liliifolia,Drüsenglocke,CR,D,"Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
5400,Dicotyledones,Asteraceae,Adenostyles,alliariae,Adenostyles alliariae,Grauer Alpendost,LC,,
5450,Dicotyledones,Asteraceae,Adenostyles,alpina,Adenostyles alpina,Kahler Alpendost,LC,,
5600,Dicotyledones,Asteraceae,Adenostyles,leucophylla,Adenostyles leucophylla,Filziger Alpendost,LC,,
5700,Pteridophyta,Pteridaceae,Adiantum,capillus-veneris,Adiantum capillus-veneris,Venushaar,VU,C2a(i),
5800,Dicotyledones,Ranunculaceae,Adonis,aestivalis,Adonis aestivalis,Sommer-Blutströpfchen,VU,"A4cd; B2ab(ii,iii)","Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
6100,Dicotyledones,Ranunculaceae,Adonis,flammea,Adonis flammea,Feuerrotes Blutströpfchen,EN,"A4cd; B1ab(ii,iii,iv); B2ab(ii,iii)","Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
6200,Dicotyledones,Ranunculaceae,Adonis,vernalis,Adonis vernalis,Frühlings-Adonis,VU,B1ab(iii); B2ab(iii); D2,"Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
6300,Dicotyledones,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,Bisamkraut,LC,,
6800,Dicotyledones,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Geissfuss,LC,,
7000,Dicotyledones,Brassicaceae,Aethionema,saxatile,Aethionema saxatile,Steintäschel,VU,B2ab(iii); C2a(i),
7150,Dicotyledones,Apiaceae,Aethusa,cynapioides,Aethusa cynapioides,Wald-Hundspetersilie,NT,C2a(i),
7200,Dicotyledones,Apiaceae,Aethusa,cynapium,Aethusa cynapium,Hundspetersilie,LC,,
7400,Dicotyledones,Rosaceae,Agrimonia,eupatoria,Agrimonia eupatoria,Kleiner Odermennig,LC,,
7600,Dicotyledones,Rosaceae,Agrimonia,procera,Agrimonia procera,Grosser Odermennig,VU,A2c,
8200,Dicotyledones,Caryophyllaceae,Agrostemma,githago,Agrostemma githago,Kornrade,EN,"A4c; B2ab(ii,iii)",
8400,Monocotyledones,Poaceae,Agrostis,alpina,Agrostis alpina,Alpen-Straussgras,LC,,
8500,Monocotyledones,Poaceae,Agrostis,canina,Agrostis canina,Sumpf-Straussgras,NT,B2b(iii),
8600,Monocotyledones,Poaceae,Agrostis,capillaris,Agrostis capillaris,Haar-Straussgras,LC,,
8700,Monocotyledones,Poaceae,Agrostis,gigantea,Agrostis gigantea,Riesen-Straussgras,LC,,
8900,Monocotyledones,Poaceae,Agrostis,rupestris,Agrostis rupestris,Felsen-Straussgras,LC,,
9000,Monocotyledones,Poaceae,Agrostis,schleicheri,Agrostis schleicheri,Schleichers Straussgras,LC,,
9100,Monocotyledones,Poaceae,Agrostis,schraderiana,Agrostis schraderiana,Zartes Straussgras,LC,,
9300,Monocotyledones,Poaceae,Agrostis,stolonifera,Agrostis stolonifera,Kriechendes Straussgras,LC,,
9450,Monocotyledones,Poaceae,Agrostis,vinealis,Agrostis vinealis,Heide-Straussgras,DD,,
9700,Monocotyledones,Poaceae,Aira,caryophyllea,Aira caryophyllea,Nelken-Haferschmiele,VU,A2c,
9900,Monocotyledones,Poaceae,Aira,elegantissima,Aira elegantissima,Zierliche Haferschmiele,EN,B2ab(iii),
10000,Monocotyledones,Poaceae,Aira,praecox,Aira praecox,Frühe Haferschmiele,CR(PE),,Nur alte Literaturangaben aus dem Wallis
10100,Dicotyledones,Lamiaceae,Ajuga,chamaepitys,Ajuga chamaepitys,Gelber Günsel,VU,A3c; B2b(iii)c(iv),"Zukünftige Gefährdung mitberücksichtigt (vgl.Anhang 2, Abschnitt A2-6)"
10200,Dicotyledones,Lamiaceae,Ajuga,genevensis,Ajuga genevensis,Genfer Günsel,LC,,
10300,Dicotyledones,Lamiaceae,Ajuga,pyramidalis,Ajuga pyramidalis,Pyramiden-Günsel,LC,,
10400,Dicotyledones,Lamiaceae,Ajuga,reptans,Ajuga reptans,Kriechender Günsel,LC,,
10600,Dicotyledones,Rosaceae,Alchemilla,acuminatidens,Alchemilla acuminatidens,Zugespitztgezähnter Frauenmantel,DD,,
10800,Dicotyledones,Rosaceae,Alchemilla,acutiloba,Alchemilla acutiloba,Scharflappiger Frauenmantel,LC,,
10900,Dicotyledones,Rosaceae,Alchemilla,aggregata,Alchemilla aggregata,Kleinknäuel-Frauenmantel,LC,,
10950,Dicotyledones,Rosaceae,Alchemilla,alpigena,Alchemilla alpigena,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),LC,,
11000,Dicotyledones,Rosaceae,Alchemilla,alpina,Alchemilla alpina,Gewöhnlicher Silikat-Silbermantel,LC,,
11200,Dicotyledones,Rosaceae,Alchemilla,alpina aggr. sensu Heitz,Alchemilla alpina aggr. sensu Heitz,Alpen-Frauenmantel,LC,,Das Aggregat enthält mehrere bewertete Arten
11300,Dicotyledones,Rosaceae,Alchemilla,amphisericea,Alchemilla amphisericea,Seidenglanz-Silbermantel,LC,,
11450,Dicotyledones,Rosaceae,Alchemilla,argentidens,Alchemilla argentidens,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),LC,,
11600,Dicotyledones,Rosaceae,Alchemilla,atrovirens,Alchemilla atrovirens,Schwarzgrünlicher Frauenmantel,DD,,
11700,Dicotyledones,Rosaceae,Alchemilla,chirophylla,Alchemilla chirophylla,Falten-Silbermantel,LC,,
11800,Dicotyledones,Rosaceae,Alchemilla,colorata,Alchemilla colorata,Gefärbter Frauenmantel,LC,,
11850,Dicotyledones,Rosaceae,Alchemilla,compta,Alchemilla compta,Frauenmantel (ohne gebräuchlichen deutschen Artnamen),LC,,
11900,Dicotyledones,Rosaceae,Alchemilla,conjuncta,Alchemilla conjuncta,Gewöhnlicher Kalk-Silbermantel,DD,,
