classe,ordre,famille,genre,espèce,nom scientifique,D,Cat.,Criteria UICN,Prot.,Bemerkungen
Insecta,orthoptera,Tettigonidae,Anonconotus,"alpinus (Yersin, 1858)","Anonconotus alpinus (Yersin, 1858)",Alpenschrecke,VU,"B2a, B2b(iii,iv)",,Grünlandart
Insecta,orthoptera,Tettigonidae,Antaxius,"difformis (Brunner von Wattenwyl, 1861)","Antaxius difformis (Brunner von Wattenwyl, 1861)",Alpine Bergschrecke,NT,,,
Insecta,orthoptera,Tettigonidae,Antaxius,"pedestris (Fabricius, 1787)","Antaxius pedestris (Fabricius, 1787)",Atlantische Bergschrecke,NT,,,
Insecta,orthoptera,Tettigonidae,Barbitistes,"obtusus Targioni-Tozzetti, 1881","Barbitistes obtusus Targioni-Tozzetti, 1881",Südalpen-Säbelschrecke,LC,,,
Insecta,orthoptera,Tettigonidae,Barbitistes,"serricauda (Fabricius, 1794)","Barbitistes serricauda (Fabricius, 1794)",Laubholz-Säbelschrecke,LC,,,
Insecta,orthoptera,Tettigonidae,Conocephalus,"dorsalis (Latreille, 1804)","Conocephalus dorsalis (Latreille, 1804)",Kurzflüglige Schwertschrecke,EN,"B2a, B2b(iii,iv)",,Sumpfart
Insecta,orthoptera,Tettigonidae,Conocephalus,"fuscus (Fabricius, 1793)","Conocephalus fuscus (Fabricius, 1793)",Langflüglige Schwertschrecke,VU,"B2b(iii,iv)",,Sumpfart
Insecta,orthoptera,Tettigonidae,Decticus,"verrucivorus (Linnaeus, 1758)","Decticus verrucivorus (Linnaeus, 1758)",Warzenbeisser,NT,,,
Insecta,orthoptera,Tettigonidae,Ephippiger,"ephippiger diurnus Dufour, 1841","Ephippiger ephippiger diurnus Dufour, 1841",Westliche Sattelschrecke,EN,"B2a, B2b(iii,iv)",§CH,"Waldrandart, auch verbuschter Flächen"
Insecta,orthoptera,Tettigonidae,Ephippiger,"terrestris bormansi von Wattenwyl, 1882","Ephippiger terrestris bormansi von Wattenwyl, 1882",Südalpen-Sattelschrecke,VU,"B2b(iii,iv)",,Grünlandart
Insecta,orthoptera,Tettigonidae,Ephippiger,"vicheti Harz, 1966","Ephippiger vicheti Harz, 1966",Strauch-Sattelschrecke,VU,"B2b(iii,iv)",,Waldrandart
Insecta,orthoptera,Tettigonidae,Eupholidoptera,"chabrieri (Charpentier, 1825)","Eupholidoptera chabrieri (Charpentier, 1825)",Grüne Strauchschrecke,LC,,,
