classe,ordre,famille,genre,espèce,sous-espèce,D,statut CH,critères,Bemerkungen
Insecta,Odonata,Calopterygidae,Calopteryx,splendens,splendens,Gebänderte Prachtlibelle,LC,,
Insecta,Odonata,Calopterygidae,Calopteryx,splendens,caprai,,NT,"B1,B2",Zunahme in den Südalpen
Insecta,Odonata,Calopterygidae,Calopteryx,splendens,xanthostoma,,DD,,
Insecta,Odonata,Calopterygidae,Calopteryx,virgo,virgo,Blauflügel-Prachtlibelle,LC,,
Insecta,Odonata,Calopterygidae,Calopteryx,virgo,meridionalis,Südliche Prachtlibelle,VU,B2 b,"ihre seltenen Populationen sind stabil, aber ihr Lebensraum ist lokal sehr bedroht"
Insecta,Odonata,Lestidae,Chalcolestes,viridis,,Weidenjungfer,LC,,
Insecta,Odonata,Lestidae,Lestes,barbarus,,Südliche Binsenjungfer,NE,,
Insecta,Odonata,Lestidae,Lestes,dryas,,Glänzende Binsenjungfer,CR,"B2 a, b",starker Rückgang
Insecta,Odonata,Lestidae,Lestes,macrostigma,,Dunkle Binsenjungfer,DD,,
Insecta,Odonata,Lestidae,Lestes,sponsa,,Gemeine Binsenjungfer,NT,A2c,"starker Rückgang, aber noch häufige Populationen, die untereinander verbunden sind"
Insecta,Odonata,Lestidae,Lestes,virens,vestalis,Kleine Binsenjungfer,CR,"B2 a, b",starker Rückgang
Insecta,Odonata,Lestidae,Sympecma,fusca,,Gemeine Winterlibelle,LC,,
Insecta,Odonata,Lestidae,Sympecma,paedisca,,Sibirische Winterlibelle,CR,"B2a, 2b",Rückgang
Insecta,Odonata,Platycnemididae,Platycnemis,pennipes,,Federlibelle,LC,,
Insecta,Odonata,Coenagrionidae,Cercion,lindenii,,Pokal-Azurjungfer,NT,,besiedelt künstliche Lebensräume und erhält sich dort
Insecta,Odonata,Coenagrionidae,Ceriagrion,tenellum,,Späte Adonislibelle,EN,"B2a, 2b","stabilisierte, aber meistens isolierte Populationen; zerstückelter Lebensraum"
Insecta,Odonata,Coenagrionidae,Coenagrion,hastulatum,,Speer-Azurjungfer,NT,"B2a, 2b","stabilisierte Populationen, aber empfindliche Lebensräume"
Insecta,Odonata,Coenagrionidae,Coenagrion,lunulatum,,Mond- Azurjungfer,CR,"B2a, 2b",letzte Beobachtung 1989
Insecta,Odonata,Coenagrionidae,Coenagrion,mercuriale,,Helm-Azurjungfer,CR,"B2a, 2b","stabilisierte Populationen, aber grosse Zerstückelung des Lebensraumes und Isolation der Populationen"
Insecta,Odonata,Coenagrionidae,Coenagrion,ornatum,,Vogel-Azurjungfer,RE,,letzte Beobachtung 1957
Insecta,Odonata,Coenagrionidae,Coenagrion,puella,,Hufeisen-Azurjungfer,LC,,
Insecta,Odonata,Coenagrionidae,Coenagrion,pulchellum,,Fledermaus-Azurjungfer,NT,A2,starker Rückgang
Insecta,Odonata,Coenagrionidae,Coenagrion,scitulum,,Gabel-Azurjungfer,DD,,1 Standort 2001 entdeckt
