GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
4 familles de coléoptères,Coleoptera,Buprestidae,Acmaeodera,degener,"Acmaeodera degener (Scopoli, 1763)",Gefleckter Eichen-Prachtkäfer,CR,"B2ab(i,ii,iii,iv)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Buprestidae,Acmaeoderella,flavofasciata,"Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)",Weissgeschuppter Eichen-Prachtkäfer,VU,"B2ab(ii,iii,iv)","Nur in den Südalpen (Tessin, Graubünden)"
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,angustulus,"Agrilus angustulus (Illiger, 1803)",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,antiquus,"Agrilus antiquus Mulsant & Rey, 1863",Antiker Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",Nur in den Südalpen (Tessin)
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,ater,"Agrilus ater (Linnaeus, 1767)",Gefleckter Pappel-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,auricollis,"Agrilus auricollis Kiesenwetter, 1857",Rotblauer Ulmen-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,betuleti,"Agrilus betuleti (Ratzeburg, 1837)",Kleiner Birken-Prachtkäfer,VU,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,biguttatus,"Agrilus biguttatus (Fabricius, 1777)",Zweigefleckter Eichen--Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,convexicollis,"Agrilus convexicollis L. Redtenbacher, 1849",Schmaler Eschen-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,cuprescens,"Agrilus cuprescens Ménétriés, 1832",Schmaler Brombeer-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,cyanescens,"Agrilus cyanescens (Ratzeburg, 1837)",Heckenkirschen-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,derasofasciatus,"Agrilus derasofasciatus Lacordaire, 1835",Weinreben-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,graecus,"Agrilus graecus Obenberger, 1914",,DD,,Einzige Fundmeldung in der Schweiz von 2005
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,graminis,"Agrilus graminis Kiesenwetter, 1857",Haarstirniger Schmal-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,guerini,"Agrilus guerini Lacordaire, 1835",Blauweisser Weiden-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,hastulifer,"Agrilus hastulifer (Ratzeburg, 1837)",,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,hyperici,"Agrilus hyperici (Creutzer, 1799)",Johanniskraut-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,integerrimus,"Agrilus integerrimus (Ratzeburg, 1837)",Seidelbast-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,laticornis,"Agrilus laticornis (Illiger, 1803)",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,lineola,"Agrilus lineola Kiesenwetter, 1857",,CR,"B2ab(i,ii,iii,iv)",Nur in den Südalpen (Tessin)
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,obscuricollis,"Agrilus obscuricollis Kiesenwetter, 1857",,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,olivicolor,"Agrilus olivicolor Kiesenwetter, 1857",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,pratensis,"Agrilus pratensis (Ratzeburg, 1839)",Rotblauer Pappel-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,pseudocyaneus,"Agrilus pseudocyaneus Kiesenwetter, 1857",,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,ribesi,"Agrilus ribesi Schaefer, 1946",Johannisbeer-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,roscidus,"Agrilus roscidus Kiesenwetter, 1857",Schmaler Obstbaum-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,salicis,"Agrilus salicis J. Frivaldsky, 1877",,DD,,Einzige Fundmeldung in der Schweiz von 1975
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,sinuatus,"Agrilus sinuatus (Olivier, 1790)",Birnbaum-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,subauratus,"Agrilus subauratus (Gebler, 1833)",Goldgrüner Weiden-Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,sulcicollis,"Agrilus sulcicollis Lacordaire, 1835",Blaugrüner Eichen-Prachtkäfer,LC,,
