GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
Insecta,Lepidoptera,Zygaenidae,Adscita,albanica,"Adscita albanica (Naufock, 1926)",Storchschnabel-Grünwidderchen,NT,,Nur im Wallis
Insecta,Lepidoptera,Zygaenidae,Adscita,alpina,"Adscita alpina (Alberti, 1937)",Alpen-Grünwidderchen,NT,,
Insecta,Lepidoptera,Zygaenidae,Adscita,geryon,"Adscita geryon (Hübner, 1813)",Sonnenröschen-Grünwidderchen,NT,,
Insecta,Lepidoptera,Zygaenidae,Adscita,mannii,"Adscita mannii (Lederer, 1853)",Manns Grünwidderchen,CR,"B2ab (i,ii,iii,iv)",Nur in den Südalpen und im Münstertal GR
Insecta,Lepidoptera,Zygaenidae,Adscita,statices,"Adscita statices (Linnaeus, 1758)",Ampfer-Grünwidderchen,NT,,
Insecta,Lepidoptera,Nymphalidae,Aglais,urticae,"Aglais urticae (Linnaeus, 1758)",Kleiner Fuchs,LC,,
Insecta,Lepidoptera,Zygaenidae,Aglaope,infausta,"Aglaope infausta (Linnaeus, 1767)",Schwarzrotes Grünwidderchen,RE,,Letzter Nachweis in der Schweiz 1974
Insecta,Lepidoptera,Pieridae,Anthocharis,cardamines,"Anthocharis cardamines (Linnaeus, 1758)",Aurorafalter,LC,,
Insecta,Lepidoptera,Pieridae,Anthocharis,euphenoides,"Anthocharis euphenoides Staudinger, 1869",Gelber Aurorafalter,NA,,
Insecta,Lepidoptera,Nymphalidae,Apatura,ilia,"Apatura ilia (Denis & Schiffermüller, 1775)",Kleiner Schillerfalter,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Nymphalidae,Apatura,iris,"Apatura iris (Linnaeus, 1758)",Grosser Schillerfalter,NT,,
Insecta,Lepidoptera,Nymphalidae,Aphantopus,hyperantus,"Aphantopus hyperantus (Linnaeus, 1758)",Brauner Waldvogel,LC,,
Insecta,Lepidoptera,Pieridae,Aporia,crataegi,"Aporia crataegi (Linnaeus, 1758)",Baumweissling,NT,,
Insecta,Lepidoptera,Nymphalidae,Araschnia,levana,"Araschnia levana (Linnaeus, 1758)",Landkärtchen,LC,,
