,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
0,Entenvögel (Anatidae),Brandgans,Tadorna tadorna (L.),VU,,Vögel,Vögel2
1,Entenvögel (Anatidae),Schnatterente,Anas strepera L.,EN,,Vögel,Vögel2
2,Entenvögel (Anatidae),Krickente,Anas crecca L.,VU,,Vögel,Vögel2
3,Entenvögel (Anatidae),Stockente,Anas platyrhynchos L.,LC,,Vögel,Vögel2
4,Entenvögel (Anatidae),Knäkente,Anas querquedula L.,EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Vögel2
5,Entenvögel (Anatidae),Löffelente,Anas clypeata L.,EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Vögel2
6,Entenvögel (Anatidae),Kolbenente,Kolbenente Netta rufina (Pall.),NT,"Rückstufung im zweiten Schritt, da keine SPEC-Art mehr.",Vögel,Vögel2
7,Entenvögel (Anatidae),Tafelente,Aythya ferina (L.),EN,Änderung des SPEC-Status 2004 führt neu zur Rückstufung um nur 1 Kategorie,Vögel,Vögel2
8,Entenvögel (Anatidae),Reiherente,Aythya fuligula (L.),VU,Änderung des SPEC-Status 2004 führt neu nicht mehr zur Rückstufung,Vögel,Vögel2
9,Entenvögel (Anatidae),Eiderente,Somateria mollissima (L.),VU,,Vögel,Vögel2
10,Entenvögel (Anatidae),Schellente,Bucephala clangula (L.),VU,,Vögel,Vögel2
11,Entenvögel (Anatidae),Mittelsäger,Mergus serrator L.,VU,,Vögel,Vögel2
12,Entenvögel (Anatidae),Gänsesäger,Mergus merganser L.,VU,,Vögel,Vögel2
13,Hühner (Phasianidae),Haselhuhn ,Bonasa bonasia (L.),NT,,Vögel,Vögel2
14,Hühner (Phasianidae),Alpenschneehuhn,Lagopus muta (Montin),NT,,Vögel,Vögel2
15,Hühner (Phasianidae),Birkhuhn,Tetrao tetrix L.,NT,,Vögel,Vögel2
16,Hühner (Phasianidae),Auerhuhn,Tetrao urogallus L.,EN,,Vögel,Vögel2
17,Hühner (Phasianidae),Steinhuhn,Alectoris graeca (Meisn.),NT,,Vögel,Vögel2
18,Hühner (Phasianidae),Rothuhn,Alectoris rufa (L.),RE,Letzter Brutnachweis: vor 1900,Vögel,Vögel2
19,Hühner (Phasianidae),Rebhuhn,Perdix perdix (L.),CR,,Vögel,Vögel2
20,Hühner (Phasianidae),Wachtel,Coturnix coturnix (L.),LC,,Vögel,Vögel2
21,Lappentaucher (Podicipedidae),Zwergtaucher,Tachybaptus ruficollis (Pall.),VU,,Vögel,Vögel2
22,Lappentaucher (Podicipedidae),Haubentaucher,Podiceps cristatus (L.),LC,,Vögel,Vögel2
23,Lappentaucher (Podicipedidae),Schwarzhalstaucher,Podiceps nigricollis Brehm,VU,,Vögel,Vögel2
24,Kormorane (Phalacrocoracidae),Kormoran ,Phalacrocorax carbo (L.),LC,,Vögel,Vögel2
25,Reiher (Ardeidae),Zwergdommel ,Ixobrychus minutus (L.),EN,,Vögel,Vögel2
26,Reiher (Ardeidae),Nachtreiher,Nycticorax nycticorax (L.),EN,,Vögel,Vögel2
27,Reiher (Ardeidae),Graureiher,Ardea cinerea L.,LC,,Vögel,Vögel2
