,FAMILY,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
0,Landschnecken,Acicula lineolata,Gekritzte Nadelschnecke,EN,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
1,Landschnecken,Alinda biplicata,Gemeine Schliessmundschnecke,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
2,Landschnecken,Argna ferrari,Ferraris Puppenschnecke,VU,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
3,Landschnecken,Arion intermedius Normand,Kleine Wegschnecke,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
4,Landschnecken,Arion rufus,Rote Wegschnecke,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
5,Landschnecken,Balea perversa,Zahnlose Schliessmundschnecke,VU,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
6,Landschnecken,Bulgarica cana,Graue Schliessmundschnecke,CR,Wälder,Weichtiere,"Schnecken,Muscheln"
7,Landschnecken,Candidula unifasciata,Quendelschnecke,VU,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
8,Landschnecken,Causa holosericea,Genabelte Maskenschnecke,VU,"Säume, Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
9,Landschnecken,Cecilioides veneta,Bauchige Blindschnecke,CR,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
10,Landschnecken,Charpentieria dyodon,Simplon-Schliessmundschnecke,CR,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
11,Landschnecken,Charpentieria thomasiana studeri,Studers Schliessmundschnecke,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
12,Landschnecken,Chilostoma achates achates,Fischäugige Felsenschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
13,Landschnecken,Chilostoma adelozona adelozona,Bergamasker Felsenschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
14,Landschnecken,Chilostoma adelozona rhaeticum,Engadiner Felsenschnecke,VU,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
15,Landschnecken,Chilostoma cingulatum cingulatum,Grosse Felsenschnecke,CR,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
16,Landschnecken,Chilostoma cingulatum tigrinum,Chilostoma cingulatum tigrinum  Getigerte Felsenschnecke,CR,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
17,Landschnecken,Chilostoma glaciale,Kar-Felsenschnecke,RE,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
18,Landschnecken,Chondrina generosensis,Südtessiner Haferkornschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
19,Landschnecken,Chondrina megacheilos,Weitmündige Haferkornschnecke,CR,"Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
20,Landschnecken,Chondrula tridens,Dreizahn-Turmschnecke,EN,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
21,Landschnecken,Ciliella ciliata,Gewimperte Laubschnecke,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
22,Landschnecken,Clausilia bidentata,Zweizähnige Schliessmundschnecke,NT,Wälder,Weichtiere,"Schnecken,Muscheln"
23,Landschnecken,Cochlicopa nitens,Glänzende Glattschnecke,CR,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
24,Landschnecken,Cochlodina comensis,Südalpen-Schliessmundschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
25,Landschnecken,Cochlodina orthostoma,Geradmund-Schliessmundschnecke,EN,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
26,Landschnecken,Daudebardia brevipes,Kleine Daudebardie,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
27,Landschnecken,Daudebardia rufa,Rötliche Daudebardie,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
28,Landschnecken,Deroceras juranum,Heller Schnegel,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
29,Landschnecken,Deroceras laeve,Wasserschnegel,NT,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
30,Landschnecken,Drepanostoma nautiliforme,Turbanschnecke,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
31,Landschnecken,Eucobresia glacialis,Gletscher-Glasschnecke,VU,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
32,Landschnecken,Eucobresia nivalis,Alm-Glasschnecke,VU,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
33,Landschnecken,,Gipfel-Glasschnecke,EN,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
34,Landschnecken,,Dunkles Kegelchen,NT,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
35,Landschnecken,,Grosse Laubschnecke,NT,"Wälder, Siedlungsgebiete, Wiesen und Weiden,Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
36,Landschnecken,,Wulstige Kornschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
37,Landschnecken,,Illyrische Kornschnecke,EN,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
38,Landschnecken,,Grosse Kornschnecke,EN,"Felsen und Steinschutt, Siedlungsgebiete, Wiesen und Weiden",Weichtiere,"Schnecken,Muscheln"
39,Landschnecken,,Puppenkornschnecke,EN,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
40,Landschnecken,,Gemeine Heideschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden",Weichtiere,"Schnecken,Muscheln"
41,Landschnecken,,Südliche Riemenschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
42,Landschnecken,,Maskenschnecke,NT,Wälder,Weichtiere,"Schnecken,Muscheln"
43,Landschnecken,,Vierzahn-Turmschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
44,Landschnecken,,Faltenrandige Schliessmundschnecke,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
45,Landschnecken,,Genabelte Puppenschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
46,Landschnecken,,Südliche Puppenschnecke,EN,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
47,Landschnecken,,Gebirgsschnegel,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
48,Landschnecken,,Bierschnegel,CR,Siedlungsgebiete,Weichtiere,"Schnecken,Muscheln"
49,Landschnecken,,Südalpen-Glanzschnecke,CR,Wälder,Weichtiere,"Schnecken,Muscheln"
50,Landschnecken,,Flache Glanzschnecke,NT,"Säume, Wälder, Wiesen und Weiden",Weichtiere,"Schnecken,Muscheln"
51,Landschnecken,,Glatte Glanzschnecke,NT,Wälder,Weichtiere,"Schnecken,Muscheln"
52,Landschnecken,,Kalkfelsen-Schliessmundschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
53,Landschnecken,,Strobels Schliessmundschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
