Restaurantname;Kanton
Restaurant Bären;AG
Pfändler's Gasthof zum Bären GmbH;AG
Hotel Gasthaus Bären;AG
Gasthof Bären;AG
Bären Fisibach AG;AG
Hotel Bären Suhr;AG
Restaurant Hotel Bären;AG
Gasthaus zum Bären;AG
Bären;AG
Bären;AG
Restaurant Engel;AG
Hotel Restaurant Engel;AG
Gasthof Engel;AG
Gasthof Engel;AG
Speisewirtschaft zum Blauen Engel;AG
Gasthaus zum Engel;AG
Besenbeiz Engelhof;AG
Restaurant Hirschen;AG
Restaurant Hirschen/Güggeli Oase;AG
Restaurant Hirschen;AG
Restaurant Hirschen;AG
Restaurant Hirschen;AG
Gasthof Hirschen;AG
Landgasthaus zum Hirschen;AG
Gasthaus Hirschen GmbH;AG
Hirschen;AG
Hirschen Le Cachet Lenzburg;AG
Restaurant Kreuz;AG
Restaurant Brasserie Weisses Kreuz;AG
Landgasthof Weisses Kreuz;AG
Gasthaus zum weissen Kreuz;AG
Kreuz;AG
Gasthof Kreuz Meienberg;AG
Kreuz / Schoren;AG
Gasthaus zum Kreuz;AG
Gasthof Kreuz;AG
Gasthof zum Kreuz;AG
Restaurant LINDE BIRR;AG
Restaurant/ Hotel Linde;AG
Linde Hotel Restaurant Bankette;AG
Hotel Linde Fislisbach;AG
Gasthaus Linde;AG
Gasthof Linde Mühlethal AG;AG
Restaurant Hotel Linde;AG
Linde Rustica;AG
zur Linde;AG
Asia Linde;AG
Restaurant Löwen;AG
Restaurant zum Löwen;AG
Löwen;AG
Restaurant Haus zum Löwen KLG;AG
Hotel Löwen Mellingen;AG
Gasthof zum Roten Löwen;AG
Löwen;AG
Löwen;AG
Gasthof zum Löwen;AG
Gasthof Löwen;AG
Restaurant Post;AG
Restaurant Post;AG
Restaurant Pizzeria Post Sengül;AG
Restaurant Pizzeria Post;AG
Restaurant zur Post;AG
Doppelkegelbahn Restaurant Pizzeria Post;AG
Post;AG
zur Post;AG
Post Restaurant Méditerranée;AG
Fischbeiz Alte Post;AG
Restaurant Rössli Rothrist;AG
Restaurant Rössli;AG
Restaurant Rössli;AG
Restaurant Rössli;AG
Hotel Restaurant Rössli;AG
Restaurant Rössli Pizzeria;AG
Restaurant Tomate Steakhouse by Rössli;AG
Putzi's Weinresidenz zum Rössli;AG
Gasthaus Rössli Rothrist;AG
Rössli;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant & Lounge Sonne;AG
Restaurant Pizzeria Sonne;AG
Gasthof Sonne Uerkheim;AG
Gasthof Sonne;AG
Gasthof zur Sonne;AG
Landgasthof Sonne;AG
Restaurant Sternen;AG
China-Restaurant Sternen;AG
Restaurant Sternen Elfingen;AG
Restaurant Sternen;AG
Hotel Restaurant zum Sternen;AG
Restaurant Sternen;AG
Restaurant zum Sternen;AG
Gasthof Sternen;AG
Romantik Hotel Landgasthof zu den Drei Sternen;AG
Gasthaus Sternen;AG
