Restaurantname;Kanton
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Bären;AG
Engel;AG
Engel;AG
Engel;AG
Engel;AG
Engel;AG
Engel;AG
Engel;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Hirschen;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Kreuz;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Linde;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Löwen;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Post;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Rössli;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sonne;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Sternen;AG
Bären;AI
Bären;AI
Hirschen;AI
Hirschen;AI
Linde;AI
Linde;AI
Löwen;AI
Löwen;AI
Löwen;AI
Rössli;AI
Rössli;AI
Rössli;AI
Rössli;AI
Rössli;AI
Sonne;AI
Sonne;AI
Bären;AR
Bären;AR
Bären;AR
Bären;AR
Bären;AR
Bären;AR
Engel;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Hirschen;AR
Kreuz;AR
Kreuz;AR
Linde;AR
Linde;AR
Linde;AR
Linde;AR
Linde;AR
Löwen;AR
Löwen;AR
Löwen;AR
Löwen;AR
Löwen;AR
Post;AR
Rössli;AR
Rössli;AR
Rössli;AR
Sonne;AR
Sonne;AR
Sonne;AR
Sonne;AR
Sonne;AR
Sonne;AR
Sonne;AR
Sternen;AR
Sternen;AR
Sternen;AR
Sternen;AR
Sternen;AR
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Bären;BE
Cerf;BE
Cerf;BE
Cerf;BE
Cerf;BE
Chaux;BE
Cheval;BE
Cheval;BE
Cheval;BE
Cheval;BE
Cheval;BE
Croix;BE
Croix;BE
Croix;BE
Croix;BE
Engel;BE
Engel;BE
Engel;BE
Ange;BE
Engel;BE
Engel;BE
Etoile;BE
Etoile;BE
Etoile;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Hirschen;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Kreuz;BE
Linde;BE
