Restaurantname;Kanton
Restaurant Bären;AR
Restaurant Bären;AR
Bären;AR
Bären;AR
Bären;AR
Bären;AR
Restaurant Engel;AR
Restaurant Hirschen Teufen;AR
Restaurant Hirschen;AR
Gasthof zum Hirschen;AR
Gasthof Hirschen;AR
Hirschen Wald GmbH;AR
Hirschen;AR
Hirschen;AR
Café Hirschen;AR
Hirschen;AR
Restaurant Kreuz;AR
Urnäscher Kreuz;AR
Restaurant Linde;AR
Genossenschaft Hotel Linde Heiden;AR
Hotel zur Linde AG;AR
Linde;AR
Linde-Trückli;AR
Restaurant Löwen;AR
Café-Restaurant Löwen;AR
Löwen;AR
Löwen Gasthaus;AR
Reha Löwen Schönengrund AG;AR
Gasthaus zur Post;AR
Rössli;AR
Pizza Rössli am Kaien;AR
Rössli;AR
Restaurant Sonne;AR
Restaurant Sonne;AR
Restaurant Sonne;AR
Restaurant Gasthaus Sonne;AR
Gasthaus Sonne;AR
GASTHAUS SONNE;AR
Gasthaus Sonne;AR
Restaurant Sternen;AR
Landgasthof Sternen;AR
Sternen;AR
Buchschachen Sternen;AR
Sternen;AR
