Restaurantname;Kanton
Hotel und Restaurant Bären Oberbottigen GmbH;BE
Restaurant Bären;BE
Restaurant Bären Treiten;BE
Hotel & Restaurant Bären Sigriswil;BE
Restaurant Bären;BE
Restaurant Bären Schüpfen GmbH;BE
Restaurant Bären;BE
Restaurant Bären;BE
Restaurant Bären;BE
Restaurant Bären;BE
Hôtel-Restaurant du Cerf;BE
Restaurant Chinois le Cerf;BE
du Cerf;BE
Rôtisserie du Cerf;BE
Restaurant de La Chaux-d'Abel;BE
Restaurant le Cheval Blanc;BE
Auberge du Cheval-Blanc;BE
du Cheval Blanc;BE
du Cheval-Blanc;BE
Logis de la Licorne dit Cheval Blanc;BE
Restaurant La Croix Fédérale;BE
restaurant de la Croix Fédérale;BE
Restaurant la Croix-Blanche;BE
Weissen Kreuz / de la Croix-Blanche;BE
Blauen Engel;BE
Zum blauen Engel;BE
Café Engel;BE
Cave des Anges;BE
Engelberg;BE
Gasthof Engelberg;BE
Hôtel - Restaurant de l'étoile la Table et Logis SA;BE
de l'Etoile;BE
Pizzeria de l'Etoile Sàrl;BE
Hotel Hirschen;BE
Restaurant Hirschen;BE
Hotel Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen Kapf;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Gasthof Hirschen Sangernboden;BE
Restaurant Kreuz / ILLUSORIA-LAND;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Bäckerei-Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Pizzeria Zur Linde;BE
Restaurant zur Linde;BE
Landgasthof zur Linde;BE
Linde;BE
Linde;BE
Restaurant zur Linde;BE
Restaurant Lion Rouge;BE
Le lion vert Sàrl;BE
Restaurant Loewen Illiswil;BE
Restaurant Löwen;BE
Restaurant Lowen;BE
Restaurant Löwen Lengnau GmbH;BE
Restaurant Löwen;BE
Hotel Restaurant Brienzerburli und Löwen;BE
Hotel Restaurant Pizzeria Löwen;BE
Gasthof zum goldenen Löwen & Hotel Emmental;BE
Landgasthof Löwen;BE
CAFE RESTAURANT DE L'OURS MOUTIER;BE
Restaurant de l'Ours;BE
de l'Ours;BE
Hôtel de l'Ours;BE
Bären Twann Hotel - Restaurant;BE
Café Restaurant Post Zäntrum;BE
Alte Post Restaurant;BE
Restaurant zur alten Post;BE
Restaurant Hof & Post;BE
Gasthof zur Post AG;BE
Gasthof zur Alten Post;BE
Hotel Kreuz & Post;BE
Bäckerei Post;BE
Hotel Post AG Zweisimmen;BE
Post;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Hotel Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli Habstetten;BE
Restaurant Rössli;BE
Restaurant Rössli Wahlendorf;BE
Restaurant Rössli;BE
Le Soleil;BE
Soleil;BE
Café Soleil;BE
Soleil d'Orient;BE
Hotel Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Pizzeria Sonne;BE
Hotel Pizzeria Sonne;BE
Gasthof zur Sonne;BE
Sonne;BE
Sonne Matten;BE
Sonne Scheunenberg;BE
Restaurant Sternen Cala d'or GmbH;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen Detligen;BE
Restaurant Sternen Nidau GmbH;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Hotel Restaurant Sternen;BE
