Restaurantname;Kanton
Le Cerfeuil;GE
Cheval-Blanc;GE
Auberge du Cheval Blanc;GE
Cheval Blanc;GE
Le Cheval Blanc Carouge;GE
Auberge de la Croix-de-Rozon;GE
la Croix Fédérale;GE
Restaurant Etoile Espagnole;GE
Café de l'Etoile Vernier Sàrl;GE
L'Etoile du Liban;GE
Auberge du Lion d'Or;GE
Auberge du Lion d'Or, Versoix;GE
Le Bistrot Le Lion d’Or;GE
Lion d'Or de Carouge;GE
La Perle des Lions;GE
Post'Café;GE
Restaurant de la Poste de Montbrillant;GE
Café de la Poste;GE
Poste;GE
Café de la Poste;GE
Epicerie-Poste de Genthod;GE
Café-Restaurant du Soleil à Corsier Village;GE
Café du Soleil;GE
Du Soleil;GE
Soleil;GE
Soleil Rouge;GE
Café Brasserie Beau-Soleil;GE
Soleil;GE
Au Rayon de Soleil;GE
Oh Soleil;GE
