Restaurantname;Kanton
Ange Bar;JU
Café, restaurant du Cerf;JU
Hôtel du Cerf;JU
Café-Bistrot du Cerf Sàrl;JU
Café, Restaurant du Cheval Blanc;JU
Auberge du Cheval-Blanc;JU
Restaurant du Cheval Blanc;JU
du Cheval-blanc;JU
du Cheval blanc;JU
Fondation pour le Cheval;JU
Le Cheval Blanc Pizzeria Grill;JU
Cheval blanc;JU
du Cheval-Blanc;JU
du Cheval-blanc;JU
Restaurant la Croix Fédérale;JU
la Croix Blanche;JU
Croix Blanche;JU
la Croix blanche;JU
La Croix Fédérale Ancudan Sàrl;JU
de la Croix;JU
Berlincourt La Croix-blanche;JU
de la Croix-Blanche;JU
La Croix d'or;JU
Etoile du Matin;JU
Hôtel Restaurant Lion d'Or;JU
Restaurant du Lion d'or;JU
Le Lion d'Or Restaurant;JU
du Lion d'Or;JU
Lion d'or;JU
Hôtel de l'Ours;JU
l'Auberge de l'ours;JU
Café, Restaurant de la Poste;JU
Restaurant de la Poste;JU
de la Poste;JU
de la Poste;JU
Restaurant du Soleil;JU
Restaurant du Soleil;JU
Café - Restaurant Le Soleil de Châtillon;JU
Hôtel du Soleil;JU
Hôtel du Soleil;JU
