Restaurantname;Kanton
Restaurant l'Angélus;NE
du Cerf;NE
Café du Cerf;NE
La T'Chaux;NE
Hôtel-Restaurant Cheval Blanc;NE
du Cheval-Blanc;NE
Le Cheval Blanc;NE
Restaurant la Croix D'Or SA;NE
Restaurant Pizzeria de La Croix-Blanche;NE
de la Croix-Blanche;NE
Croix-Blanche;NE
Brasserie de l'Etoile;NE
l'Etoile;NE
Restaurant du Lion d'Or;NE
Au Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Restaurant de l'Ours;NE
Hôtel Restaurant de la Poste - Guenat;NE
Restaurant de la Poste Da Costa Maria;NE
Restaurant de la Poste, Gutaj & Cie;NE
Hôtel Restaurant de la Poste ;NE
Le Manoir de la Poste;NE
Brasserie de l'Ancienne Poste;NE
Hotel -Restaurant du Soleil;NE
Trattoria du Soleil;NE
