Restaurantname;Kanton
Hotel Restaurant  Bären;SG
Restaurant Bären;SG
Restaurant Bären;SG
Restaurant zum Bären;SG
Bären;SG
Bären;SG
Kultur im Bären;SG
Bären;SG
Bären;SG
Engel;SG
Engel;SG
Genossenschaftsrestaurant schwarzer Engel;SG
Landgasthof Engel;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Hirschen;SG
Hirschen;SG
Hirschen;SG
Hirschen Restaurant;SG
Hirschen;SG
Restaurant Kreuz;SG
Kreuz;SG
Café Kreuz;SG
Kreuz Bistro;SG
Kreuz;SG
Kreuz;SG
Kreuz;SG
Kreuz Kultur und Gastlichkeit;SG
Weisses Kreuz;SG
Gasthaus Kreuz;SG
Restaurant Linde;SG
Restaurant Linde;SG
Restaurant Linde;SG
Linde;SG
Landgasthof Linde;SG
Hotel Linde;SG
Bierhalle-Linde;SG
Linde;SG
Speiserestaurant Linde;SG
Linde;SG
Restaurant Löwen;SG
Restaurant Löwen;SG
Restaurant Lowen;SG
Restaurant Löwen;SG
Restaurant zum Löwen;SG
Löwen;SG
Löwen;SG
Gasthaus Löwen;SG
Gasthaus zum Löwen;SG
Löwen;SG
Hotel Restaurant Post;SG
Hotel Restaurant Post;SG
Restaurant Post;SG
Hotel Post Sargans AG;SG
Alte Post;SG
Post;SG
Post;SG
Café Post Grabs;SG
Post;SG
Post;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli Balgach;SG
Restaurant Rössli Romenschwand;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rossli;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne Breitemoser;SG
Restaurant Sonne;SG
Restaurant Sonne Sieber Walter;SG
Restaurant Sonne Wolfertswil;SG
Breitemoser Restaurant Sonne;SG
Sonne;SG
Sonnental;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Sternen Restaurant;SG
Restaurant Bar Sternen GmbH;SG
Sternen;SG
Landgasthof Sternen;SG
Sternen;SG
