Restaurantname;Kanton
Restaurant Bären;SZ
Restaurant Bären;SZ
Bären;SZ
Bären by Schefer;SZ
Bären;SZ
Restaurant Engel;SZ
Restaurant Engel Ida Inderbitzin;SZ
Gasthaus Engel;SZ
Gasthaus Engel;SZ
Engelstock;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Gasthaus Hirschen;SZ
Hirschen Backpacker-Hotel & Pub;SZ
Hirschen;SZ
Hirschen;SZ
zum Hirschen;SZ
Hotel zum Hirschen;SZ
Restaurant Kreuz;SZ
Restaurant Kreuz;SZ
Gasthaus Kreuz;SZ
Gasthaus Kreuz;SZ
Kreuz Ibach;SZ
Kreuz & Quer Schwyz GmbH;SZ
Kreuzplatz;SZ
Hotel Restaurant Linde;SZ
Linde;SZ
Linde;SZ
Restaurant Löwen;SZ
Restaurant zum Löwen;SZ
Wirtschaft zum Löwen;SZ
Löwen;SZ
Restaurant Pizzeria „Zur alten Post“;SZ
Hotel Restaurant Pizzeria Post;SZ
Gasthaus Post;SZ
Post Pizzeria;SZ
Restaurant Pöstli;SZ
Spaghetteria-Pizzeria Ovesuvio Poststübli;SZ
Pöstli;SZ
Hotel-Restaurant Rössli;SZ
Restaurant Rössli;SZ
Restaurant Rossli;SZ
Restaurant Rössli;SZ
Joe's Rössli Restaurant;SZ
Wysses Rössli;SZ
Gasthof Rössli;SZ
Weisses Rössli;SZ
Marlies Küng-Kuriger Rössli;SZ
Rössli;SZ
Hotel Restaurant Sonne;SZ
Restaurant Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonnenhütte;SZ
Restaurant Sternen;SZ
Restaurant Sternen Muotathal;SZ
Sternen;SZ
Sternen Bistro;SZ
