Restaurantname;Kanton
Restaurant Bären GmbH;ZH
Restaurant Bären;ZH
Gasthof Zum Bären;ZH
Gasthof zum Bären;ZH
Bären;ZH
Bären;ZH
Bärengasse Restaurant;ZH
Hotel Engel;ZH
Hotel Gasthaus zum Engel;ZH
Gasthaus zum Engel;ZH
Engelgarten;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen zur Tessinerstube;ZH
Restaurant Smokin'Mad by Gasthof Hirschen;ZH
Hirschen am See;ZH
Gasthof zum Hirschen;ZH
Gasthof Hirschen AG;ZH
Gasthof Hirschen;ZH
Alten Hirschen;ZH
Restaurant Kreuz;ZH
Restaurant Kreuz;ZH
Zum weissen Kreuz;ZH
Restaurant Taverne zum Kreuz;ZH
Restaurant Taverne zum Kreuz;ZH
Gasthof zum Kreuz;ZH
Weisses Kreuz;ZH
Gasthof zum goldenen Kreuz;ZH
Kreuz;ZH
Restaurant Kreuzstrasse;ZH
Restaurant Linde;ZH
Restaurant Linde;ZH
Restaurant und Pizzaria Linde;ZH
LINDE OBERSTRASS;ZH
zur Linde;ZH
Linde Weiningen;ZH
Linde;ZH
Zur Linde;ZH
Linde Bakery & Bistro;ZH
Linde;ZH
Gasthof Loewen;ZH
HOTEL RESTAURANT LÖWEN;ZH
Restaurant Löwen;ZH
Restaurant Löwen Andelfingen GmbH;ZH
Restaurant Löwen;ZH
Restaurant Löwen 'u Pabu';ZH
Restaurant Löwen;ZH
Pizzeria Restaurant Löwen;ZH
Restaurant Lowen;ZH
Restaurant Löwen;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Genossenschaft Restaurant Post Rifferswil;ZH
Restaurant zur Post;ZH
Bistro Post da Fabio;ZH
Alte Post;ZH
Post Restaurant daylis;ZH
Restaurant Rössli;ZH
Hotel Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Weisses Rössli;ZH
Rössli;ZH
Rössli zur Vogtei;ZH
Rössli Beiz Stäfa;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Sonne Libanon;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Alte Sonne;ZH
Restaurant zur Sonne AG Winterthur;ZH
Restaurant Hotel Sonne;ZH
Restaurant Pizzeria Sonne;ZH
Hotel Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant zum Sternen;ZH
Restaurant Gasthaus Sternen;ZH
Sternen Grill + Sternen Grill Restaurant im oberen Stock;ZH
Restaurant Pizzeria Sternen;ZH
STERNEN RESTAURANT & BAR;ZH
Sternen Oerlikon;ZH
