"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2012","Confirmed","Abd al-Karim al-Ezzo",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Abdel Aziz Mahmoud Hasoun",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Masar Press","Internet Reporter","Human Rights,Politics,War","Internet","Syria","Jobar, Damascus",,,"Jobar, Damascus",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Abdel Karim Nazir Ismail",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Arbin",,,"Arbin",,"Local","Unknown Fire","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Abdel Sattar Abdel Karim",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Al Ta'akhy","Photographer","Culture,Sports","Print","Iraq","Arbil",,,"Arbil",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Abdelqadir Fassouk",,"Libya",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdelqadir-Fassouk250.jpg","Courtesy Arraed TV","Journalist",,"Crossfire","Killed","Staff","Arraed Satellite TV","Camera Operator,Photographer","War","Print,Television","Libya","Sirte",,,"Sirte",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Abdirisak Mohamed Warsame",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Shabelle","Producer","Politics,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Abdul Aziz Shaheen",,"Pakistan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Azadi","Print Reporter","Politics,War","Print","Pakistan","Swat",,,"Swat",,"Local","Military Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2018","Confirmed","Abdul Rahman Ismael Yassin",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Hammouriyeh Media Office","Photographer,Internet Reporter","War","Internet","Syria","Hammouriyeh",,,"Hammouriyeh","eastern Ghouta","Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2016","Confirmed","Abdul Salam Kanaan",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Jisr TV","Broadcast Reporter","War","Television","Syria","Zafraneh",,,"Zafraneh",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1994","Confirmed","Abdul Shariff",,"South Africa",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Shariff.SouthAfrica.1994.2.jpg","AP","Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","Human Rights,Politics","Print","South Africa","Katlehong Township",,,"Katlehong Township",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2007","Confirmed","Abdulkadir Mahad Moallim Kaskey",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Radio Banadir","Broadcast Reporter","Politics","Radio","Somalia","Bardera",,,"Bardera",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Abdulkhafar Abdulkadir",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","Culture,War","Print","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Abdullah al-Qadry",,"Yemen",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Belqees TV","Camera Operator,Photographer","War","Television","Yemen","Qaniyah",,,"Qaniyah","Bayda","Local","Political Group","Confirmed","No",,,,,,,,,,,,,,
"2016","Confirmed","Abdullah Mohammad Ghannam",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Shahba Press Agency","Photographer,Internet Reporter","Human Rights,War","Internet","Syria","Kafr Hamra, Aleppo",,,"Kafr Hamra, Aleppo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Abdullah Qabil",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Yemen Youth TV, Belqees TV","Broadcast Reporter","Politics,War","Television","Yemen","Dhamar",,,"Dhamar",,"Local","Military Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2007","Confirmed","Abshir Ali Gabre",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Jowhar","Editor","Politics","Radio","Somalia","Jowhar",,,"Jowhar",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1995","Confirmed","Adil Bunyatov",,"Azerbaijan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Reuters TV and Turan News Agency","Camera Operator","War","Television","Azerbaijan","Baku",,,"Baku",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Ahmad Hallak",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Buraq Media Institution","Photographer,Internet Reporter","War","Internet","Syria","Aleppo",,,"Aleppo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2003","Confirmed","Ahmad Kareem",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmad_kareem_iraq_2003.jpg","","Journalist",,"Crossfire","Killed","Staff","Kurdistan TV","Producer","War","Television","Iraq","Mosul",,,"Mosul",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Ahmad Omaid Khpalwak",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Khalpwak.rtr1.jpg","","Journalist",,"Crossfire","Killed","Staff","Pajhwok Afghan News, BBC","Broadcast Reporter,Photographer","War","Print,Television","Afghanistan","Tarin Kot",,,"Tarin Kot",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2015","Confirmed","Ahmed Abu al-Hamza",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","SMART News Agency, Hama Media Center","Camera Operator,Photographer","War","Internet","Syria","Sukayk, Hama province",,,"Sukayk, Hama province","Sukayk, Hama province","Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed Adnan al-Ashlaq",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Shaam News Network","Camera Operator","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed al-Assam",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Ahmed al-Shaibani",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Yaman News, Yemen TV","Camera Operator,Photographer,Internet Reporter","War","Television,Internet","Yemen","Taiz",,,"Taiz",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Ahmed Azize",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Aleppo News Network","Photographer,Camera Operator","War","Internet","Syria","Urum al-Kubra",,"Aleppo Governorate","Urum al-Kubra",,"Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"1993","Confirmed","Ahmed Haidar",,"Lebanon",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Manar Television","Camera Operator","War","Television","Lebanon","Beirut",,,"Beirut",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2007","Confirmed","Ahmed Hassan Mahad",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Jowhar","Broadcast Reporter","Politics","Radio","Somalia","Jowhar",,,"Jowhar",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2005","Confirmed","Ahmed Wael Bakri",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Sharqiyah","Producer","Politics,War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Ahmet Haceroğlu",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Türkmeneli TV","Producer","Politics,War","Television","Iraq","Kirkuk",,,"Kirkuk",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Alaa Abdel-Wahab",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Baghdadia TV","Broadcast Reporter","Sports","Television","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Alaa Abdul-Karim al-Fartoosi",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Forat","Camera Operator","War","Television","Iraq","Balad",,,"Balad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2017","Confirmed","Alaa Kraym (Mohammed al-Qabouni)",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Freelance","Qaboun Media Center","Camera Operator,Photographer,Internet Reporter","War,Human Rights","Internet","Syria","Qaboun",,,"Qaboun",,"Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2000","Confirmed","Aleksandr Yefremov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/yefremov-russia.2000.CJES.jpg","","Journalist",,"Crossfire","Killed","Staff","Nashe Vremya","Photographer","War","Print","Russia","Chechnya",,,"Chechnya",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1994","Confirmed","Alessandro Otta",,,,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","RAI-TV","Broadcast Reporter","War","Television","Bosnia","Mostar",,,"Mostar",,"Foreign","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Alexander Klimchuk",,"Georgia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Caucasus Images","Photographer,Print Reporter","War","Print,Internet","Georgia","Tskhinvali",,,"Tskhinvali",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Alexandra Tuttle",,,,,"Female",,,"Journalist",,"Crossfire","Killed","Staff","The Wall Street Journal","Print Reporter","Business,Culture,Politics","Print","Georgia","Sukhumi",,,"Sukhumi",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Ali Abdel Aziz",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali_abdel_aziz_iraq_2004.jpg","","Journalist",,"Crossfire","Killed","Staff","Al-Arabiya","Camera Operator","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Ali al-Khatib",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali_al_khatib_iraq_2004.jpg","","Journalist",,"Crossfire","Killed","Staff","Al-Arabiya","Broadcast Reporter","War","Television","Iraq","Baghdad",,,"Baghdad",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Ali Hassan al-Jaber",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Al-Jaber.jpg","Al-Jazeera","Journalist",,"Crossfire","Killed","Staff","Al-Jazeera","Camera Operator","War","Television","Libya","an area near Benghazi",,,"an area near Benghazi",,"Foreign","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2005","Confirmed","Ali Ibrahim Issa",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ali_ibrahim_issa_iraq_2005.jpg","","Journalist",,"Crossfire","Killed","Staff","Al-Hurriya","Broadcast Reporter","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
