ID,Name,Kanton,Eintritt BR,Austritt BR,Heimatort,ID Heimatort,Gewählt Wahlgang,Gewählt Stimmen,Absolutes Mehr,Stimmen ü aMehr,Partei
1,"Ochsenbein, Ulrich",BE,16.11.1848,31.12.1854,Nidau,,1,92,67,25,FDP
2,"Naeff, Wilhelm Matthias",SG,16.11.1848,31.12.1875,Altstätten,,1,72,65,7,FDP
3,"Munzinger, Martin J.",SO,16.11.1848,06.02.1855,Olten,,2,71,67,4,FDP
4,"Furrer, Jonas",ZH,16.11.1848,25.07.1861,Winterthur,,2,85,67,18,FDP
5,"Frey-Herosé, Friedrich",AG,16.11.1848,31.12.1866,Aarau,,2,70,66,4,FDP
6,"Franscini, Stefano",TI,16.11.1848,19.07.1857,Bodio,,3,68,67,1,FDP
7,"Druey, Daniel-Henri",VD,16.11.1848,29.03.1855,Faoug,,1,76,67,9,FDP
8,"Stämpfli, Jakob",BE,06.12.1854,31.12.1863,Schwanden,,6,88,73,15,FDP
9,"Fornerod, Constant",VD,11.07.1855,31.10.1867,Avenches,,3,84,75,9,FDP
10,"Knüsel , Melchior Josef Martin",LU,14.07.1855,31.12.1875,Luzern,,2,94,72,22,FDP
11,"Pioda, Giovanni Battista",TI,30.07.1857,26.01.1864,Locarno,,1,64,64,0,FDP
12,"Dubs, Jakob",ZH,30.07.1861,28.05.1872,Affoltern a A.,,1,90,63,27,FDP
13,"Schenk, Karl",BE,12.12.1863,18.07.1895,Signau,,1,84,83,1,FDP
14,"Challet-Venel, Jean-Jacques",GE,12.07.1864,31.12.1872,Genève,,6,86,83,3,FDP
15,"Welti, Emil",AG,08.12.1866,31.12.1891,Zurzach,,1,103,80,23,FDP
16,"Ruffy, Victor",VD,06.12.1867,29.12.1869,Lutry,,1,120,78,42,FDP
17,"Ceresole, Paul",VD,01.02.1870,31.12.1875,Vevey,,2,83,78,5,FDP
18,"Scherer, Johann Jakob",ZH,12.07.1872,23.12.1878,Winterthur,,4,91,74,17,FDP
19,"Borel, Eugène",NE,07.12.1872,31.12.1875,Neuchâtel,,2,90,85,5,FDP
20,"Heer, Joachim",GL,10.12.1875,31.12.1878,Glarus,,1,91,86,5,FDP
21,"Hammer, Bernhard",SO,10.12.1875,31.12.1890,Olten,,5,85,85,0,FDP
22,"Anderwert , Fridolin",TG,10.12.1875,25.12.1880,Emmishofen,,3,91,86,5,FDP
23,"Droz, Numa",NE,18.12.1875,31.12.1892,La Chaux-de-Fonds,,2,85,85,0,FDP
24,"Bavier , Simeon",GR,10.12.1878,05.01.1883,Chur,,1,108,87,21,FDP
25,"Hertenstein, Wilhelm",ZH,21.03.1879,27.11.1888,Kyburg,,1,92,84,8,FDP
26,"Ruchonnet , Antoine Louis John",VD,03.03.1881,14.09.1893,St.-Saphorin,,3,87,84,3,FDP
27,"Deucher, Adolf",TG,10.04.1883,10.07.1912,Steckborn,,1,95,88,7,FDP
28,"Hauser, Walter",ZH,13.12.1888,22.10.1902,Wädenswil+St.Gallen,,1,117,88,29,FDP
29,"Frey, Emil",BL,11.12.1890,31.03.1897,Münchenstein,,1,94,91,3,FDP
30,"Zemp, Joseph",LU,17.12.1891,17.06.1908,Entlebuch,,1,129,78,51,CVP
31,"Lachenal, Adrien",GE,15.12.1892,31.12.1899,Genève,,1,139,85,54,FDP
32,"Ruffy, Eugène",VD,14.12.1893,31.10.1899,Lutry,,1,87,75,12,FDP
33,"Müller, Eduard",BE,16.08.1895,09.11.1919,Nidau,,1,136,83,53,FDP
34,"Brenner, Ernst",BS,25.03.1897,11.03.1911,Basel,,4,96,90,6,FDP
35,"Ruchet, Marc-Emile",VD,14.12.1899,13.07.1912,Bex,,1,124,84,40,FDP
36,"Comtesse , Robert",NE,14.12.1899,04.03.1912,La Sagne+Cernier,,1,148,89,59,FDP
37,"Forrer, Ludwig",ZH,11.12.1902,31.12.1917,Bäretswil+Winterthur,,1,113,100,13,FDP
38,"Schobinger, Josef Anton",LU,17.06.1908,27.11.1911,Luzern,,1,141,90,51,CVP
39,"Hoffmann, Arthur",SG,04.04.1911,19.06.1917,St. Gallen,,1,186,97,89,FDP
40,"Motta, Giuseppe",TI,14.12.1911,23.01.1940,Airolo,,1,184,100,84,CVP
41,"Perrier, Louis",NE,12.03.1912,16.05.1913,"Ste-Croix, Neuchâtel",,1,160,97,63,FDP
42,"Schulthess, Edmund",AG,17.07.1912,15.04.1935,Brugg,,1,128,89,39,FDP
43,"Decoppet, Camille",VD,17.07.1912,31.12.1919,Suscevaz+Yverdon,,1,173,93,80,FDP
44,"Calonder, Felix-Louis",GR,12.06.1913,31.12.1919,Trin,,2,151,100,51,FDP
45,"Ador, Gustave",GE,26.06.1917,31.12.1919,Genève,,1,168,97,71,LIBERALE PARTEI DER SCHWEIZ
46,"Haab, Robert",ZH,13.12.1917,31.12.1929,Wädenswil,,1,163,105,58,FDP
47,"Scheurer, Karl",BE,11.12.1919,14.11.1929,Erlach,,1,155,97,58,FDP
48,"Musy, Jean-Marie",FR,11.12.1919,30.04.1934,Albeuve,,1,144,105,39,CVP
49,"Chuard, Ernest",VD,11.12.1919,31.12.1928,Corcelles s. Payerne,,5,159,109,50,FDP
50,"Häberlin, Heinrich",TG,12.02.1920,30.04.1934,Bissegg+Frauenfeld,,1,124,80,44,FDP
51,"Pilet-Golaz, Marcel",VD,13.12.1928,31.12.1944,Château-d'Oex,,1,151,113,38,FDP
52,"Minger, Rudolf",BE,12.12.1929,31.12.1940,Mülchi+Schüpfen,,1,148,117,31,SVP
53,"Meyer, Albert",ZH,12.12.1929,31.12.1938,Fällanden+Zürich,,4,100,100,0,FDP
54,"Baumann, Johannes",AR,22.03.1934,31.12.1940,Herisau,,3,141,108,33,FDP
55,"Etter, Philipp",ZG,28.03.1934,31.12.1959,Menzingen,,1,115,104,11,CVP
56,"Obrecht, Hermann",SO,04.04.1935,31.07.1940,Grenchen,,1,125,103,22,FDP
57,"Wetter, Ernst",ZH,15.12.1938,31.12.1943,Winterthur,,1,117,108,9,FDP
58,"Celio, Enrico",TI,22.02.1940,15.10.1950,Ambri,,2,118,112,6,CVP
59,"Stampfli, Walther",SO,18.07.1940,31.12.1947,Aeschi,,1,142,109,33,FDP
60,"von Steiger, Eduard",BE,10.12.1940,31.12.1951,Bern+Langnau i. E.,,1,130,114,16,SVP
61,"Kobelt , Karl",SG,10.12.1940,31.12.1954,Marbach,,5,117,108,9,FDP
62,"Nobs, Ernst",ZH,15.12.1943,31.12.1951,"Seedorf, Grindelwald, Zürich",,1,122,91,31,SP
63,"Petitpierre, Max",NE,14.12.1944,30.06.1961,Neuchâtel+Couvet,,1,122,114,8,FDP
64,"Rubattel, Rodolphe",VD,11.12.1947,31.12.1954,Villarzel,,1,138,116,22,FDP
65,"Escher, Josef",VS,14.09.1950,09.12.1954,Simplon-Dorf,,1,165,99,66,CVP
66,"Weber, Max",ZH,13.12.1951,31.01.1954,Zürich,,1,133,106,27,SP
67,"Feldmann, Markus",BE,13.12.1951,03.11.1958,Glarus+Bern,,1,184,102,82,SVP
68,"Streuli, Hans",ZH,22.12.1953,31.12.1959,Wädenswil+Richterswil,,2,113,109,4,FDP
69,"Lepori, Giuseppe",TI,16.12.1954,31.12.1959,Lopagno,,2,128,117,11,CVP
70,"Holenstein, Thomas",SG,16.12.1954,31.12.1959,Bütschwil,,1,182,108,74,CVP
71,"Chaudet, Paul",VD,16.12.1954,31.12.1966,Corsier s. Vevey,,1,135,110,25,FDP
72,"Wahlen, Friedrich Traugott",BE,11.12.1958,31.12.1965,Trimstein+Bern,,2,125,116,9,SVP
73,"von Moos, Ludwig",OW,17.12.1959,31.12.1971,Sachseln,,1,148,114,34,CVP
74,"Tschudi, Hans-Peter",BS,17.12.1959,31.12.1973,Schwanden+Basel,,3,129,116,13,SP
75,"Spühler, Willy",ZH,17.12.1959,31.01.1970,Zürich,,1,149,114,35,SP
76,"Bourgknecht, Jean",FR,17.12.1959,30.09.1962,Fribourg,,1,134,117,17,CVP
77,"Schaffner, Hans",AG,15.06.1961,31.12.1969,Gränichen,,1,175,108,67,FDP
78,"Bonvin, Roger",VS,27.09.1962,31.12.1973,"Icogne-Lens,Chermignon, Nendaz",,5,142,114,28,CVP
79,"Gnägi, Rudolf",BE,08.12.1965,31.12.1979,Schwadernau,,1,176,108,68,SVP
80,"Celio, Nello",TI,14.12.1966,31.12.1973,Quinto,,1,136,117,19,FDP
81,"Graber, Pierre",NE,10.12.1969,31.01.1978,Langenbruck. La Chaux-de-Fonds,,1,188,111,77,SP
82,"Brugger, Ernst",ZH,10.12.1969,31.01.1978,"Möriken, Gossau",,1,160,119,41,FDP
83,"Furgler, Kurt",SG,08.12.1971,31.12.1986,"Valens,Pfäfers",,1,125,115,10,CVP
84,"Ritschard, Willi",SO,05.12.1973,16.10.1983,"Oberhofen, Luterbach",,1,123,121,2,SP
85,"Hürlimann, Hans",ZG,05.12.1973,31.12.1982,Walchwil,,1,132,115,17,CVP
86,"Chevallaz, Georges-André",VD,05.12.1973,31.12.1983,Montherod,,1,137,121,16,FDP
87,"Honegger, Fritz",ZH,07.12.1977,31.12.1982,"Fischenthal,Rüschlikon",,1,173,105,68,FDP
88,"Aubert, Pierre",NE,07.12.1977,31.12.1987,Savagnier,,1,190,117,73,SP
89,"Schlumpf , Leon",GR,05.12.1979,31.12.1987,"Felsberg, Mönchaltdorf",,1,159,121,38,SVP
90,"Friedrich, Rudolf",ZH,08.12.1982,20.10.1984,Winterthur,,1,130,123,7,FDP
91,"Egli, Alphons",LU,08.12.1982,31.12.1986,"Entlebuch,Luzern",,1,125,123,2,CVP
