Jahr,ID,Name,Partei,Departement,Dep kurz,Partei
2018,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2018,117,"Cassis, Ignazio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2018,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2018,116,"Parmelin, Guy",VD,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2018,114,"Schneider-Ammann, Johann N.",BE,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung ",WBF,FDP
2018,111,"Maurer, Ueli",ZH,Eidgenössisches Finanzdepartement ,EFD,SVP
2018,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2017,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2017,117,"Cassis, Ignazio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2017,112,"Burkhalter, Didier",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2017,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2017,116,"Parmelin, Guy",VD,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2017,114,"Schneider-Ammann, Johann N.",BE,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung ",WBF,FDP
2017,111,"Maurer, Ueli",ZH,Eidgenössisches Finanzdepartement ,EFD,SVP
2017,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2016,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2016,112,"Burkhalter, Didier",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2016,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2016,116,"Parmelin, Guy",VD,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2016,114,"Schneider-Ammann, Johann N.",BE,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung ",WBF,FDP
2016,111,"Maurer, Ueli",ZH,Eidgenössisches Finanzdepartement ,EFD,SVP
2016,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2015,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2015,112,"Burkhalter, Didier",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2015,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2015,111,"Maurer, Ueli",ZH,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2015,114,"Schneider-Ammann, Johann N.",BE,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung ",WBF,FDP
2015,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Finanzdepartement ,EFD,BDP
2015,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2014,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2014,112,"Burkhalter, Didier",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2014,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2014,111,"Maurer, Ueli",ZH,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2014,114,"Schneider-Ammann, Johann N.",BE,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung ",WBF,FDP
2014,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Finanzdepartement ,EFD,BDP
2014,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2013,115,"Berset, Alain",FR,Eidgenössisches Departement des Innern ,EDI,SP
2013,112,"Burkhalter, Didier",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,FDP
2013,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
