"Aubert, Pierre",EDA,10
"Berset, Alain",EDI,7
"Blocher, Christoph",EJPD,4
"Bonvin, Roger",EFD,7
"Bonvin, Roger",UVEK,6
"Bourgknecht, Jean",EFD,3
"Brugger, Ernst",WBF,9
"Burkhalter, Didier",EDA,6
"Burkhalter, Didier",EDI,3
"Calmy-Rey, Micheline",EDA,9
"Cassis, Ignazio",EDA,2
"Celio, Nello",EFD,6
"Celio, Nello",VBS,2
"Chaudet, Paul",VBS,8
"Chevallaz, Georges-André",EFD,6
"Chevallaz, Georges-André",VBS,4
"Cotti , Flavio",EDI,7
"Cotti , Flavio",EDA,6
"Couchepin, Pascal",EDI,7
"Couchepin, Pascal",WBF,5
"Deiss, Joseph",EDA,4
"Deiss, Joseph",WBF,4
"Delamuraz, Jean-Pascal",WBF,12
"Delamuraz, Jean-Pascal",VBS,3
"Dreifuss, Ruth",EDI,9
"Egli, Alphons",EDI,4
"Etter, Philipp",EDI,1
"Felber, René",EDA,6
"Friedrich, Rudolf",EJPD,2
"Furgler, Kurt",EJPD,11
"Furgler, Kurt",WBF,4
"Gnägi, Rudolf",VBS,12
"Gnägi, Rudolf",UVEK,3
"Graber, Pierre",EDA,9
"Holenstein, Thomas",WBF,1
"Honegger, Fritz",WBF,5
"Hürlimann, Hans",EDI,9
"Koller, Arnold",EJPD,11
"Koller, Arnold",VBS,3
"Kopp, Elisabeth",EJPD,6
"Lepori, Giuseppe",UVEK,1
"Leuenberger, Moritz",UVEK,16
"Leuthard, Doris",UVEK,9
"Leuthard, Doris",WBF,5
"Maurer, Ueli",VBS,7
"Maurer, Ueli",EFD,3
"Merz, Hans-Rudolf",EFD,7
"Metzler-Arnold, Ruth",EJPD,5
"Ogi , Adolf",UVEK,8
"Ogi , Adolf",VBS,5
"Parmelin, Guy",VBS,3
"Petitpierre, Max",EDA,3
"Ritschard, Willi",UVEK,6
"Ritschard, Willi",EFD,4
"Schaffner, Hans",WBF,9
"Schlumpf , Leon",UVEK,8
"Schmid, Samuel",VBS,8
"Schneider-Ammann, Johann N.",WBF,9
"Sommaruga, Simonetta",EJPD,9
"Spühler, Willy",UVEK,6
"Spühler, Willy",EDA,5
"Stich, Otto",EFD,12
"Streuli, Hans",EFD,1
"Tschudi, Hans-Peter",EDI,14
"Villiger, Kaspar",EFD,8
"Villiger, Kaspar",VBS,7
"Wahlen, Friedrich Traugott",EDA,5
"Wahlen, Friedrich Traugott",WBF,2
"Wahlen, Friedrich Traugott",EJPD,1
"Widmer-Schlumpf, Eveline",EFD,6
"Widmer-Schlumpf, Eveline",EJPD,3
"von Moos, Ludwig",EJPD,12
