"Petitpierre, Max",6042
"Leuenberger, Moritz",5513
"Furgler, Kurt",5502
"Villiger, Kaspar",5446
"Delamuraz, Jean-Pascal",5228
"Gnägi, Rudolf",5136
"Tschudi, Hans-Peter",5128
"Ogi , Adolf",4771
"Leuthard, Doris",4554
"Koller, Arnold",4524
"Cotti , Flavio",4524
"Chaudet, Paul",4398
"von Moos, Ludwig",4397
"Stich, Otto",4346
"Couchepin, Pascal",4252
"Bonvin, Roger",4113
"Spühler, Willy",3698
"Chevallaz, Georges-André",3678
"Aubert, Pierre",3676
"Maurer, Ueli",3644
"Ritschard, Willi",3602
"Dreifuss, Ruth",3583
"Calmy-Rey, Micheline",3314
"Hürlimann, Hans",3313
"Schaffner, Hans",3121
"Schneider-Ammann, Johann N.",2993
"Sommaruga, Simonetta",2993
"Brugger, Ernst",2974
"Graber, Pierre",2974
"Burkhalter, Didier",2967
"Schlumpf , Leon",2948
"Schmid, Samuel",2947
"Widmer-Schlumpf, Eveline",2941
"Deiss, Joseph",2699
"Wahlen, Friedrich Traugott",2577
"Celio, Nello",2574
"Berset, Alain",2545
"Merz, Hans-Rudolf",2517
"Streuli, Hans",2200
"Felber, René",1939
"Honegger, Fritz",1850
"Holenstein, Thomas",1841
"Lepori, Giuseppe",1841
"Metzler-Arnold, Ruth",1756
"Kopp, Elisabeth",1563
"Egli, Alphons",1484
"Blocher, Christoph",1482
"Parmelin, Guy",1089
"Bourgknecht, Jean",1018
"Friedrich, Rudolf",682
"Cassis, Ignazio",438
