Restaurantname;Kanton
Restaurant Bären;BL
Gasthof Restaurant Pizzeria Bären;BL
Bären;BL
gastro-abc Restaurant Engel;BL
Hotel Engel;BL
Landgasthof Hirschen;BL
Hirschen;BL
zum Kreuz;BL
Gasthof Kreuz;BL
Kreuz;BL
Restaurant Linde;BL
Linde;BL
Linde;BL
Restaurant Pizzeria Lindenplatz;BL
Restaurant Löwen;BL
Gasthaus Löwen;BL
Löwen;BL
Restaurant zur Post;BL
zur alten Post;BL
Restaurant zur Post;BL
Post;BL
Restaurant Rössli;BL
Restaurant Rössli;BL
Rössli;BL
Rössli Allschwil AG;BL
Rössli;BL
Rössli;BL
Rössli;BL
Gasthof zum Rössli;BL
Rössli;BL
Rössli;BL
Restaurant Pizzeria Sonne;BL
Restaurant zur Sonne;BL
zur Sonne;BL
Gasthaus zur Sonne;BL
Restaurant Pizzeria Sonneck;BL
Sonnenbad St. Margarethen;BL
Restaurant Sternen;BL
Restaurant Sternen;BL
Restaurant Sternen;BL
Pizzeria Sternen;BL
