Restaurantname;Kanton
Restaurant de l'Ange;FR
Auberge de l'Ange;FR
Auberge de l'Ange;FR
Café de l'Ange Fribourg Sàrl;FR
de l'Ange Sarl;FR
Ange;FR
Café du Cerf;FR
Restaurant du Cheval Blanc;FR
Auberge du Cheval Blanc;FR
Restaurant Croix Blanche;FR
Restaurant de la Croix-Blanche;FR
Restaurant de la Croix Blanche;FR
Restaurant chinois la croix-verte;FR
Restaurant de la Croix-Verte;FR
Restaurant de la Croix-Blanche;FR
Auberge de la Croix-Blanche Villarepos SA;FR
Auberge de la Croix Blanche Villarepos SA;FR
La Croix Blanche Epagny Sàrl;FR
Café de la Croix Fédérale;FR
Hôtel de L'Etoile;FR
Café-Restaurant de l'Etoile;FR
de l'Etoile;FR
de l'Etoile;FR
Etoile d'or;FR
Landgasthof Hirschen Plaffeien;FR
Restaurant zum Goldenen Kreuz;FR
zum Kreuz;FR
Restaurant Weisses Kreuz;FR
Gasthof zum Roten Kreuz;FR
Kreuz Schmitten;FR
zum Goldenen Kreuz;FR
Restaurant zur Linde;FR
Restaurant zur Linde;FR
Hotel Cafe-Restaurant le Lion d'Or;FR
Auberge du Lion d'Or;FR
Auberge du Lion d'Or;FR
Auberge du Lion d'Or;FR
du Lion d'Or;FR
Auberge du Lion d'Or;FR
Le Lion d'Or;FR
Hôtel de l'ours;FR
Auberge du Soleil Blanc;FR
Sonne Beat Schmied;FR
Restaurant Sternen;FR
Restaurant Sternen;FR
Restaurant Sternen;FR
Gasthof Sternen;FR
Sternen;FR
