Restaurantname;Kanton
Restaurant Crusch Alba;GR
Alpengasthof Crusch Alba ed Alvetern;GR
Crusch alva;GR
Hotel Crusch Alba & Crusch Alba Swiss Lodge;GR
Crusch Alva;GR
Stüva im Hotel Crusch Alva;GR
Hotel Crusch Alba;GR
Casa Crusch;GR
CRUSCH ALBA Hotel Restorant;GR
Crusch Alba;GR
Pension Restaurant Hirschen;GR
Hotel-Restaurant Hirschen;GR
Hirschen;GR
Hotel Hirschen;GR
Weiss Kreuz;GR
Hotel Weiss Kreuz Malans GmbH;GR
Hotel Weisses Kreuz;GR
Hotel Weisses Kreuz;GR
Restaurant Weiss-Kreuz;GR
Hotel Alte Herberge Weiss Kreuz;GR
Ristorante italiano Weisses Kreuz;GR
z. Weissen Kreuz;GR
Linde;GR
Restaurant / Ustria Stiva Biala;GR
Restaurant Bäsebeizli Lindengärtli;GR
Bistro Löwen;GR
Hotel Alte Post Restaurant;GR
Yama Restaurant Alte Post;GR
Hotel Post;GR
Hotel Alte Post;GR
Post Hotel Restaurant;GR
Restaurant zur alten Post;GR
Hotel Post;GR
Landgasthaus Post;GR
Post;GR
Restaurant zur alten Post;GR
Restaurant Rössli;GR
Gasthaus Rössli;GR
Hotel-Restaurant Sonne Fex;GR
Sonne St. Moritz;GR
Sonne;GR
Sonne;GR
Restaurant Sonnegg;GR
Restaurant Sonnenhotel Soldanella-Sonneck;GR
Restaurant Sternen;GR
Gartenhotel Sternen;GR
Sternen;GR
Astras Hotel & Restaurant;GR
Stern;GR
