Restaurantname;Kanton
Restaurant Bären;LU
Restaurant Bären;LU
Bären;LU
Hotel Rigi First Restaurant Bärenstube;LU
Gasthaus Engel Hasle;LU
Gasthof Engel mit Sindang Reret;LU
Restaurant Hirschen;LU
HIRSCHEN OBERKIRCH;LU
Gasthaus Hirschen;LU
Gasthaus Hirschen;LU
Hirschen;LU
Gasthof Hirschen;LU
Restaurant Kreuz Inwil GmbH;LU
Hotel Restaurant Kreuz;LU
Restaurant Kreuz;LU
Hotel Restaurant Kreuz;LU
Restaurant Kreuz Bertiswil;LU
Restaurant Pizzeria Kreuz;LU
Ristorante Pizzeria Weisses Kreuz;LU
Weisses Kreuz;LU
Kreuz;LU
Kreuz;LU
Restaurant Linde;LU
Restaurant Linde;LU
Restaurant Linde-Daiwil;LU
Landgasthaus Linde;LU
Restaurant Linden;LU
Lindenstubli;LU
Restaurant Löwen;LU
Gasthaus zum Löwen;LU
Zum roten Löwen;LU
Klostergasthaus Löwen;LU
Gasthof Löwen;LU
Landgasthof zum Löwen;LU
Gasthof Löwen;LU
Löwen;LU
Löwen;LU
Löwen;LU
Post Hotel Weggis;LU
Post;LU
Post;LU
Restaurant Rössli ess-kultur;LU
Restaurant Rössli;LU
Restaurant Rössli;LU
Restaurant Landgasthof Rössli;LU
Restaurant Pizzeria Rössli;LU
Gasthof Rössli;LU
Gasthof Rössli;LU
Gasthaus zum Rössli AG;LU
Gasthaus Rössli;LU
Wellness Hotel Rössli;LU
Restaurant Sonne;LU
Restaurant Sonne;LU
Restaurant Sonne;LU
Restaurant-Pizzeria Sonne;LU
Sonne Seehotel;LU
Sonne;LU
Restaurant Pizzeria Sonne;LU
Gasthof Sonne Zell AG;LU
Sonne;LU
Sonne;LU
Restaurant Sternen;LU
Restaurant Sternen Ballwil;LU
Restaurant Sternen;LU
Seehotel Sternen Horw;LU
Neptun Seehotel Sternen;LU
Venus Seehotel Sternen;LU
Sternen Hotel;LU
Hotel & Restaurant Stern Luzern;LU
Restaurant l'Angélus;NE
du Cerf;NE
Café du Cerf;NE
La T'Chaux;NE
Hôtel-Restaurant Cheval Blanc;NE
du Cheval-Blanc;NE
Le Cheval Blanc;NE
Restaurant la Croix D'Or SA;NE
Restaurant Pizzeria de La Croix-Blanche;NE
de la Croix-Blanche;NE
Croix-Blanche;NE
Brasserie de l'Etoile;NE
l'Etoile;NE
Restaurant du Lion d'Or;NE
Au Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Restaurant de l'Ours;NE
Hôtel Restaurant de la Poste - Guenat;NE
Restaurant de la Poste Da Costa Maria;NE
Restaurant de la Poste, Gutaj & Cie;NE
Hôtel Restaurant de la Poste ;NE
Le Manoir de la Poste;NE
Brasserie de l'Ancienne Poste;NE
Hotel -Restaurant du Soleil;NE
Trattoria du Soleil;NE
