Restaurantname;Kanton
zum Bären;SO
Gasthof Engel;SO
Gasthof Engel Kleinlützel GmbH;SO
Restaurant Hirschen;SO
Hirschen Landhotel;SO
Gasthof Hirschen;SO
Gasthof Hirschen;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Pizzeria Kreuz;SO
Restaurant Weisses Kreuz;SO
Gasthof Kreuz;SO
Kreuz Landgasthof;SO
Gasthof zum Kreuz;SO
Restaurant Linde;SO
Restaurant Linde Steiner Martin;SO
Restaurant Pizza Linde GmbH;SO
zur Linde;SO
Linde;SO
Speiserestaurant zur Linde;SO
Bergrestaurant Linde Brocheten;SO
Lindenhof;SO
Restaurant Löwen;SO
Restaurant Löwen;SO
Restaurant zum Löwen Messen GmbH;SO
Restaurant zum Löwen;SO
Gasthof Löwen;SO
Restaurant Lannathai Goldener Löwe;SO
Gasthof Löwen;SO
Restaurant Post Rüttenen;SO
Restaurant zur Post;SO
Bar-Restaurant zur Alten Post;SO
Bar- Restaurant Zur Alten Post;SO
Restaurant zur alten Post;SO
Post;SO
Bistro Café Post;SO
Café alte Post;SO
Post;SO
Restaurant Pöstli;SO
Restaurant Rossli;SO
Restaurant Rössli Selzach;SO
Restaurant Rössli;SO
Restaurant Rössli;SO
Gasthof zum weissen Rössli;SO
Gasthof Rössli Luterbach;SO
Gasthof zum Rössli;SO
Hong Huang (Rössli);SO
Rössli;SO
Rössli;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Gasthof Sonne;SO
Tessinerstube Sonne;SO
Sonne;SO
Sonne;SO
Sonne;SO
Restaurant Sunnewisen;SO
Restaurant Sternen;SO
Restaurant Sternen;SO
Restaurant Pizzeria Sternen;SO
Romantik Hotel Sternen;SO
Sternen;SO
Ristorante Taverna Romana im Sternen;SO
Ristorante Pizzeria Sternen;SO
