Restaurantname;Kanton
Restaurant Bären;TG
Hotel Bären Amriswil;TG
Bären;TG
Bären;TG
Gasthaus Engel;TG
Gasthof Engel;TG
Engel;TG
Restaurant Hirschen;TG
Restaurant Hirschen;TG
Restaurant Hirschen;TG
Hirschen;TG
Hirschen;TG
Hirschen Gloten;TG
Gasthaus Hirschen;TG
Gasthaus Hirschen;TG
Hirschen;TG
Hirschen;TG
Goldenes Kreuz;TG
Gasthaus zum Kreuz;TG
Gasthof Kreuz;TG
Rotes Kreuz;TG
Wirtschaft zum Kreuz;TG
Hotel-Restaurant-Kreuzstrasse;TG
Hotel Kreuzlingen;TG
JUCKERs Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Linde;TG
Linde;TG
Restaurant Hotel Linde;TG
Linde;TG
Baan Linde;TG
Bio Restaurant Löwen;TG
Restaurant Löwen-Herdern GmbH;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen Nussbaumen;TG
Restaurant, Bäckerei-Konditorei z. Löwen;TG
Landgasthof Löwen Sulgen AG;TG
Braxxas GmbH Restaurant Post;TG
Gasthof / Hotel Post;TG
Alte Post Mettlen GmbH;TG
Bahnhof Post;TG
Restaurant zur Post;TG
Post;TG
Post;TG
Post;TG
Post;TG
Restaurant Pöstli;TG
Restaurant Sonne;TG
Gasthaus Sonne;TG
Sonne;TG
Restaurant Bar- Bistro Sonne;TG
Restaurant Landgasthof Sonne;TG
Gasthaus Sonne;TG
Il ristorantino Sonne Islikon GmbH;TG
Sonne Au;TG
Sonne Gasthaus;TG
Restaurant Rössli Märstetten;TG
Restaurant Rössli;TG
Rössli;TG
Rössli;TG
Rössli;TG
Rössli;TG
Restauarant Rossli;TG
Rössli;TG
Rössli Fetzisloh;TG
Rössli Hemmerswil;TG
Restaurant Sternen;TG
Restaurant Sternen;TG
Brauhaus Sternen AG;TG
Sternen;TG
Sternen;TG
Bistro Sternen;TG
Sternen;TG
Sternen;TG
Sternen;TG
