Restaurantname;Kanton
dell'Angelo Albergo;TI
Osteria Cervo;TI
Grotto Osteria Croce;TI
Osteria Croce Federale;TI
Croce Federale;TI
Leone Nero Hotel e Ristorante;TI
Albergo della Posta;TI
Albergo della Posta;TI
Albergo Ristorante Pizzeria Della Posta;TI
Bar della Posta;TI
Café della Posta;TI
Caffé della Posta;TI
della Posta;TI
Hotel Antica Posta Ascona;TI
Osteria della Posta;TI
Osteria della Posta;TI
Castello del Sole;TI
Ristorante Pizzeria del Sole;TI
del Sole;TI
Osteria del Sole;TI
Sole e luna;TI
Sole;TI
Gelateria Sole;TI
Il Sole;TI
La Baia Del Sole;TI
Osteria del Sole;TI
Hotel Stella Panoramico;TI
Albergo Chalet Stella Alpina;TI
BAR RISTORANTE PIZZERIA STELLA;TI
Stella;TI
Stella Take Away Lugano;TI
Stella Take Away;TI
