Restaurantname;Kanton
Bären Restaurant Rooms;UR
Bären;UR
Restaurant Bärenclub;UR
Hotel Restaurant Hirschen;UR
Joe Epp, Restaurant Hirschen;UR
Kreuz;UR
Restaurant Linde;UR
Zum Schwarzen Lowen;UR
Drei Könige und Post;UR
Restaurant Alten Post M.Pajkovic;UR
Restaurant Alte Post;UR
Restaurant Alte Post;UR
Hotel Stern & Post;UR
Restaurant Posthaus;UR
Postillion;UR
Restaurant Rössli;UR
Rössli- Haus der Gäst;UR
Hotel Sonne;UR
Gasthaus Sonne;UR
Hotel Restaurant Sternen;UR
Hostellerie Sternen;UR
Sternen;UR
zum Sternen;UR
Hotel Stern & Post;UR
