Restaurantname;Kanton
Crêperie L'Ange Bleu;VD
Pizza des Anges Sàrl;VD
Angel's Bar;VD
Hôtel-restaurant du Cerf;VD
C Le Cerf SA;VD
Brasserie du Cerf;VD
du Cerf-d'Or;VD
Cornes de Cerf;VD
du Cerf;VD
le Cerf;VD
Gîte Le Mont des Cerfs;VD
Auberge Communale de La Chaux;VD
La Boille aux Chaux;VD
Auberge du Cheval-Blanc;VD
Auberge du Cheval-Blanc;VD
Au Cheval Blanc;VD
Cheval Blanc;VD
Auberge du Cheval Blanc;VD
Auberge du Cheval Blanc;VD
Cheval-Blanc;VD
du Cheval Blanc;VD
du Cheval-Blanc;VD
Café restaurant de la Croix-Fédérale;VD
Restaurant la Croix-Blanche;VD
La Croix-Verte;VD
La Croix d'Ouchy;VD
Auberge de la croix d'or;VD
Hotel Restaurant de la Croix Verte;VD
La croix Blanche;VD
La Croix Fédérale;VD
Auberge de la Croix Blanche;VD
Restaurant-Pizzeria de la Croix;VD
Café Restaurant de l'Etoile;VD
Café Restaurant de l'Etoile;VD
Restaurant l'Etoile;VD
de l'Etoile;VD
Café de l'Etoile;VD
L'étoile blanche;VD
Auberge de l'Etoile;VD
de l'Etoile;VD
l'Etoile;VD
Auberge de l'Etoile;VD
Auberge du Lion-d'Or;VD
Auberge Au Lion d' Or;VD
Auberge Communale le Lion D' Or;VD
Au lion d'or;VD
du Lion d'Or;VD
Lion D'Or;VD
Lion d'Or;VD
Lion d'Or;VD
Restaurant de l'Ours;VD
Restaurant de l'Ours Sàrl;VD
Brasserie de l'Ours;VD
Hôtel de l'Ours;VD
SV (Schweiz) AG Restaurant La Poste Daylis;
Hôtel Restaurant de la Poste;
Café Restaurant de la Poste;
Restaurant de la poste;
Café Restaurant de la poste;
de la Poste;
de la Poste;
Auberge de la Poste;
Auberge de la Poste;
de la Poste;
Restaurant du Soleil;VD
du Soleil;VD
Restaurant du Soleil;VD
Auberge du Soleil;VD
Auberge du Soleil;VD
Boulangerie du Soleil;VD
Minuit Soleil;VD
Le Soleil;VD
du Soleil;VD
