Restaurantname;Kanton
Le Caveau la part des Anges;VS
le Cerf;VS
Fer à Cheval;VS
Cheval-Blanc;VS
Restaurant de la La Croix de Coeur;VS
Auberge de la Croix Blanche;VS
Croix-de-Culet;VS
Hotel Croix d'Or et Poste;VS
La Croix Fédérale;VS
Croix-de-Coeur;VS
Restaurant de l'Etoile;VS
Restaurant L'Auberge de l'étoile;VS
Etoile;VS
Motel Restaurant 13 Etoiles;VS
Restaurant 13 Etoiles;VS
Brasserie des Etoiles;VS
Kreuzboden;VS
Restaurant Lion d'Or;VS
Lion d'Or;VS
Café Restaurant Quai de l'Ours;VS
Auberge de l'Ours;VS
Hostellerie Pas-de-l'Ours;VS
Pas-de-l'Ours;VS
La broche des ours;VS
Unique Hotel Post Zermatt;VS
Post;VS
Post;VS
Post Office Cafe;VS
Restaurant de la Poste;VS
Restaurant de la Poste;VS
la Poste;VS
Hôtel de la Poste;VS
Pizzeria de la Poste;VS
Auberge de la Poste;VS
Hôtel du Soleil;VS
Auberge de la Grange au Soleil;VS
BEAU SOLEIL;VS
Beau-Soleil;VS
du Soleil;VS
Le Soleil de Dugny;VS
Portes du Soleil;VS
Soleil;VS
Télé Champéry-Crosets Portes du Soleil SA (TCCPS);VS
Centre Soleil;VS
Restaurant zur Sonne;VS
Sonne;VS
Sonne;VS
Restaurant Sonnenhalde;VS
Sonnmatten;VS
Restaurant Sternen;VS
