Restaurantname;Kanton
Bären;ZG
Bären;ZG
Bären;ZG
Restaurant Engel;ZG
Restaurant Engel;ZG
Restaurant Hirschen;ZG
Hirschen;ZG
Restaurant Kreuzegg;ZG
Restaurant zur Linde;ZG
Gasthaus zur Linde;ZG
Lindenhof;ZG
Ristorante Pizzeria Lindenhof Da Rocco;ZG
Hotel Löwen am See;ZG
Brasserie Löwen am See;ZG
Gasthof Löwen;ZG
Löwen;ZG
Löwen kochen für Freunde;ZG
Löwen;ZG
Bar Zur alten Post;ZG
Pizzeria Pöstli;ZG
Restaurant Rössli;ZG
Restaurant Rössli;ZG
Rössli, Restaurant und Bar;ZG
Gasthof Rössli;ZG
zum Rössli;ZG
Rössli;ZG
Sonne;ZG
Alpwirtschaft Sonnegg;ZG
