"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"1998","Confirmed","Abay Hailu",,"Ethiopia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Agiere","Print Reporter","Human Rights,Politics","Print","Ethiopia","Addis Ababa",,,"Addis Ababa",,"Local","Government Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2017","Confirmed","Abdul Hakim Shimul",,"Bangladesh",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Samakal","Print Reporter","Politics","Print","Bangladesh","Shahjadpur",,,"Shahjadpur",,"Local","Government Officials","Confirmed",,,"Complete Impunity",,,,,,,,,,,,
"2006","Confirmed","Abdul Qodus",,"Afghanistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Aryana TV","Camera Operator","War","Television","Afghanistan","Kandahar",,,"Kandahar",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Abdul Raheem Kour Hassan",,"Syria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Watan FM","Broadcast Reporter,Photographer,Publisher / Owner","Human Rights,Politics,War","Radio,Internet","Syria","Damascus",,,"Damascus",,"Local","Government Officials","Confirmed",,,,"Yes","Yes","No",,,,,,,,,
"2010","Confirmed","Abdul Wahab",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Express News","Broadcast Reporter,Camera Operator","Politics,War","Television","Pakistan","Ghalanai",,,"Ghalanai",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2003","Confirmed","Abdullahi Madkeer",,"Somalia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","DMC Radio","Broadcast Reporter","Politics","Radio","Somalia","Baidoa",,,"Baidoa",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2015","Confirmed","Adam Ward",,"USA",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","WDBJ7","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television","USA","Smith Mountain Lake, Virginia",,,"Smith Mountain Lake, Virginia",,"Local","Local Residents","Confirmed",,,,,,,,,,,,,,,
"2001","Confirmed","Adel Zerrouk",,"Algeria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Rai","Print Reporter","Human Rights","Print","Algeria","Algiers",,,"Algiers",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Adlan Khasanov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/adlan_khasanov_russia_2004.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Reuters","Camera Operator","Politics,War","Television","Russia","Grozny",,,"Grozny",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Adrián Silva Moreno",,"Mexico",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Print Reporter","Crime","Print","Mexico","Tehuacán",,,"Tehuacán",,"Local","Criminal Group","Confirmed",,,,"No","No","No",,,,,,,,,
