"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2018","Confirmed","Abadullah Hananzai",,"Afghanistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Radio Azadi,Radio Free Europe/Radio Liberty","Producer","Crime,Politics,War","Radio,Internet","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1996","Confirmed","Abdallah Bouhachek",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Révolution et Travail","Editor","Politics","Print","Algeria","Blida",,,"Blida",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Abdel Karim al-Oqda",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/abuhassan.youtube.cropped.jpg","","Journalist",,"Murder","Killed","Staff","Shaam News Network","Camera Operator","Human Rights,War","Internet","Syria","Hama",,,"Hama",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Abdel Karim al-Rubai",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Sabah","Editor","War","Print","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1993","Confirmed","Abdelhamid Benmeni",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Algérie-Actualité","Print Reporter","War","Print","Algeria","Algiers",,,"Algiers",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Abdelhamid Yahiaoui",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El-Chaab","Editor","War","Print","Algeria","Baraki, Algiers",,,"Baraki, Algiers",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"1994","Confirmed","Abdelkader Hireche",,,,,"Male",,,"Journalist",,"Murder","Killed","Staff","Algerian Television (ENTV)","Broadcast Reporter","Politics","Television","Algeria","Algiers",,,"Algiers",,"Foreign","Unknown Fire","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"1993","Confirmed","Abderrahmane Chergou",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Print Reporter","Politics","Print","Algeria","Algiers",,,"Algiers",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2016","Confirmed","Abdiaziz Ali",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Shabelle","Broadcast Reporter","Corruption,Human Rights,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Abdihared Osman Aden",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdihared%252520Osman%252520Adan%252520%252528Shabelle%252529croppedcap.jpg","","Journalist",,"Murder","Killed","Freelance","Shabelle Media Network","Producer","Culture,Politics","Radio,Television","Somalia","Mogadishu",,,"Mogadishu",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Abdirahman Yasin Ali",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Killed.abdirahman.Yasin%252528SOMJA%252529.jpg","","Journalist",,"Murder","Killed","Staff","Radio Hamar","Editor","Culture,Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2014","Confirmed","Abdirizak Ali Abdi",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Politics","Radio,Television","Somalia","Galkayo, Puntland",,,"Galkayo, Puntland",,"Local","Unknown Fire","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Abdisalan Sheikh Hassan",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdisalan1%252520%252528Horncable%252520TV%252529.jpg","HornCable TV","Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Human Rights,Politics","Radio,Television","Somalia","Mogadishu",,,"Mogadishu",,"Local","Government Officials, Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Abdisatar Daher Sabriye",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/killed.Abdisatar%252520Daher%252520Sabriye%252520%252528SOMJA%252529.jpg","","Journalist",,"Murder","Killed","Staff","Radio Mogadishu","Editor","Culture,Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Abdul Haq Baloch",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","ARY Television","Broadcast Reporter","Crime,Politics,War","Television","Pakistan","Khuzdar",,,"Khuzdar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2018","Confirmed","Abdul Manan Arghand",,"Afghanistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Kabul News","Broadcast Reporter","Politics,War","Television","Afghanistan","Kandahar",,,"Kandahar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Abdul Qadir Hajizai",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","WASH TV","Broadcast Reporter","Politics,War","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
