"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2006","Confirmed"," Ahmad [full name unavailable]",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed"," Khaled Mohammad Nofan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Watan",,,,"Iraq","an area southwest of Kirkuk",,,"an area southwest of Kirkuk",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed"," Sabah Salman",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Iraq Media Network",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2005","Confirmed"," Unidentified",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Hurra",,,,"Iraq","Iskandiriyah",,,"Iskandiriyah",,,,"N/A",,,,,,,,,,,,,,,
"2017","Confirmed","Abdul Latif Amiri",,"Afghanistan",,,"Male",,,"Media Worker","Killed","N/A","Killed",,"Radio Television Afghanistan",,,,"Afghanistan","Jalalabad",,,"Jalalabad",,"Local",,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Abdullah [full name unavailable]",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","freelance",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2012","Confirmed","Abu Yezen al-Hamoui",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","Freelance",,,,"Syria","Hama province",,,"Hama province","Hama province",,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Adel al-Badri",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Radio Dijla",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Agustín López Nolasco ",,,,,,,,"Media Worker",,"N/A","Killed","Staff","El Imparcial del Istmo",,,,"Mexico","Tehuantepec",,,"Tehuantepec",,,,"N/A",,,,,,,,,,,,,,,
"2005","Confirmed","Ahlam Youssef",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Iraqiya",,,,"Iraq","Mosul",,,"Mosul",,,,"N/A",,,,,,,,,,,,,,,
"2004","Confirmed","Ahmed Jassem",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Nineveh Television",,,,"Iraq","Mosul",,,"Mosul",,,,"N/A",,,,,,,,,,,,,,,
"2013","Confirmed","Ahmed Khattab Omar",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Salaheddin TV",,,,"Iraq","Tikrit",,,"Tikrit",,,,"N/A",,,,,,,,,,,,,,,
"2013","Confirmed","Ahmed Sharif Hussein",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Radio Mogadishu",,,,"Somalia","Mogadishu",,,"Mogadishu",,,,"N/A",,,,,,,,,,,,,,,
"2008","Confirmed","Alaa Aasi",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Forat",,,,"Iraq","Balad",,,"Balad",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Alahin Hussein",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Ali Abu Afash",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","Freelance",,,,"Israel and the Occupied Palestinian Territory","Beit Lahiya, Gaza",,,"Beit Lahiya, Gaza",,,,"N/A",,,,,,,,,,,,,,,
"2003","Confirmed","Ali Adnan",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2018","Killed","Ali Aish Mohammad Youssef",,"Yemen",,,"Male",,,"Media Worker","Killed","N/A","Killed","Staff","Al-Maraweah Radio Broadcasting Center",,,,"Yemen","Al-Maraweah District","Hodeidah Governorate",,"Al-Maraweah District",,"Local",,"N/A",,,,,,,,,,,,,,,
"2016","Confirmed","Ali Ghani",,"Iraq",,,"Male",,,"Media Worker",,"N/A","Killed","Staff","Al-Ahad TV","Technician","War","Television","Iraq","Jaziret al-Khalideya",,,"Jaziret al-Khalideya",,"Local","Unknown Fire","N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Ali Hlayel",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Atyaf (Iraqi Media Network)",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Ali Jabber",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Shaabiya",,,,"Iraq","Bahgdad",,,"Bahgdad",,,,"N/A",,,,,,,,,,,,,,,
"2007","Confirmed","Ali Watan Rozouk al-Hassani",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Samawah",,,,"Iraq","Al-Samawah",,,"Al-Samawah",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Allan Enwiyah",,,,,,,,"Media Worker",,"N/A","Killed","Freelance","freelance",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2010","Confirmed","Amira Hatem",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Andrei Mironov",,"Russia",,,"Male",,,"Media Worker",,"N/A","Killed","Staff","Memorial",,,,"Ukraine","Andreyevka",,,"Andreyevka",,"Foreign","Military Officials","N/A","No",,,,,,,,,,,,,,
"2006","Confirmed","Anis Qassem",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Atyaf (Iraqi Media Network)",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Anton Voloshin",,,,,,,,"Media Worker",,"N/A","Killed","Staff","VGTRK",,,,"Ukraine","Metallist",,,"Metallist",,,,"N/A",,,,,,,,,,,,,,,
"2006","Confirmed","Anwar Turki",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Iraqiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
"2015","Confirmed","Arshad Ali Jafri",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Geo TV",,,,"Pakistan","Karachi",,,"Karachi",,,,"N/A",,,,,,,,,,,,,,,
"2014","Confirmed","Ashraf Arain",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Express TV",,,,"Pakistan","Karachi",,,"Karachi",,,,"N/A",,,,,,,,,,,,,,,
"2010","Confirmed","Aysar Mahmoud Hamid Zankana",,,,,,,,"Media Worker",,"N/A","Killed","Staff","Al-Arabiya",,,,"Iraq","Baghdad",,,"Baghdad",,,,"N/A",,,,,,,,,,,,,,,
