,Addresse,Lat,Lng,Name,Rating
0,"Widdergasse 5, 8001 Zürich, Switzerland",47.3721404,8.5399975,Lumière,4.4
1,"Mühlegasse 22, 8001 Zürich, Switzerland",47.3740789,8.544450699999999,Bistrot chez Marion,4.5
2,"Seestrasse 3, 8002 Zürich, Switzerland",47.365497,8.53206,Le Rendez-Vous,4.4
3,"Schaffhauserstrasse 335, 8050 Zürich, Switzerland",47.4085201,8.5463118,Ö,4.5
4,"Uraniastrasse 9, 8001 Zürich, Switzerland",47.374436,8.539437,Brasserie Lipp,4.0
5,"Talstrasse 1, 8001 Zürich, Switzerland",47.3666941,8.5394312,Pavillon,4.5
6,"Aemtlerstrasse 26, 8003 Zürich, Switzerland",47.3718035,8.515921400000002,La Côte,4.2
7,"Bahnhofstrasse 87, 8001 Zürich, Switzerland",47.3763756,8.5389046,Hummer- und Austernbar,4.3
8,"Dufourstrasse 4, 8008 Zürich, Switzerland",47.364186,8.5471445,Quaglinos,4.1
9,"Zypressenstrasse 115, 8004 Zürich, Switzerland",47.37990449999999,8.5163102,Café du Bonheur,4.3
10,"Fröhlichstrasse 39, 8008 Zürich, Switzerland",47.3546047,8.5561407,f39,4.9
11,"Nägelihof 3, 8001 Zürich, Switzerland",47.3707846,8.5437993,Mère Catherine,4.2
12,"Forchstrasse 211, 8032 Zürich, Switzerland",47.3600202,8.5689367,Le Puy,4.6
13,"Limmatquai 138, 8001 Zürich, Switzerland",47.3760698,8.5438553,Franzos,4.5
14,"Limmatstrasse 189, 8005 Zürich, Switzerland",47.3862613,8.5289824,Le Maquis,4.7
15,"Niederdorfstrasse 10, 8001 Zürich, Switzerland",47.373021,8.543823399999999,Brasserie Louis,4.0
16,"Talstrasse 40, 8001 Zürich, Switzerland",47.3699746,8.536732299999999,Vis-à-Vis,4.1
17,"Sechseläutenpl. 10, 8001 Zürich, Switzerland",47.3654459,8.5472918,Brasserie Schiller,3.9
18,"Bahnhofpl. 7, 8001 Zürich, Switzerland",47.37693429999999,8.539397899999999,La Soupière,5.0
19,"Seefeldstrasse 214, 8008 Zürich, Switzerland",47.3529245,8.5589779,Restaurant Musigny,4.6
20,"Confédération centre, Rue de la Confédération 8, 1204 Geneva, Switzerland",46.203286,6.144924,Brasserie Lipp Genève,4.3
21,"Rue Caroline 11, 1227 Geneva, Switzerland",46.1915651,6.138867599999999,Café Brasserie des commerçants - Bistrot Niçois,4.7
22,"Rue de la Chapelle 10, 1207 Genève, Switzerland",46.201086,6.157507,Restaurant L'Envers du Décor,4.3
23,"Rue de Zurich 6, 1201 Genève, Switzerland",46.2113253,6.1485555,Entre Homard&Côte,4.4
24,"Rue Pierre-Fatio 6, 1204 Genève, Switzerland",46.2024865,6.153500999999999,Le Relais de l'Entrecôte,4.4
25,"Rue Micheli-du-Crest 6, 1205 Genève, Switzerland",46.1956009,6.1463762,Le Socrate,4.4
26,"Rue du Mont-Blanc 7, 1201 Genève, Switzerland",46.20773399999999,6.1459905,Intensus,4.9
27,"Place Pierre-Gautier 5, 1223 Cologny, Switzerland",46.216258,6.180435,Auberge du Lion d'Or,4.4
28,"Rue Adhémar-Fabri 8-10, 1201 Genève, Switzerland",46.2089954,6.1488686,"Restaurant Le Jardin | Le Richemond, Hôtel 5 étoiles",4.7
29,"Chemin du Petit-Saconnex 7, 1209 Genève, Switzerland",46.224461,6.132746999999999,Restaurant Woods,4.1
30,"Boulevard James-Fazy 20, 1201 Genève, Switzerland",46.2083443,6.141232599999999,La Bagatelle,3.9
31,"Chemin de Châteauvieux, Peney-Dessus 16, 1242 Satigny, Switzerland",46.20154890000001,6.0386384,Domaine de Châteauvieux,4.7
32,"Avenue de la Paix 12, 1202 Genève, Switzerland",46.226945,6.138072999999999,Restaurant Vieux Bois Genève - Restaurant d’application de l’Ecole Hôtelière de Genève,4.8
33,"Avenue de Frontenex 32, 1207 Genève, Switzerland",46.2014296,6.1587631,Restaurant Le Velours,4.2
