,Addresse,Lat,Lng,Name,Rating
0,"Klingenstrasse 33, 8005 Zürich, Switzerland",47.3820024,8.5336248,Vulkan,4.1
1,"Seefeldstrasse 96, 8008 Zürich, Switzerland",47.35978799999999,8.552527999999999,Tandoori BBQ,4.3
2,"Hofwiesenstrasse 188, 8057 Zürich, Switzerland",47.40194779999999,8.5353165,Kerala,4.4
3,"Schaffhauserstrasse 306, 8050 Zürich, Switzerland",47.4068396,8.5482176,Tamarind Hill,4.5
4,"Wallisellenstrasse 11, 8050 Zürich, Switzerland",47.4105299,8.548490200000002,Malabar,4.3
5,"Schaffhauserstrasse 410, 8050 Zürich, Switzerland",47.4148258,8.5458113,Indian Palace,4.0
6,"Stauffacherstrasse 27, 8004 Zürich, Switzerland",47.3730182,8.5289258,Masala,4.0
7,"Tadka Indisches Restaurant, Quellenstrasse 49, 8005 Zürich, Switzerland",47.38627200000001,8.528704,Tadka,4.3
8,"Zypressenstrasse 52, 8004 Zürich, Switzerland",47.3774745,8.513120899999999,DelhiHouse of Bestcurry,4.2
9,"Schaffhauserstrasse 32, 8006 Zürich, Switzerland",47.39033,8.539215,Thali,4.1
10,"Pfingstweidstrasse 104, 8005 Zürich, Switzerland",47.3908564,8.5090174,naanu Take & Eat,4.4
11,"Seefeldstrasse 7A, 8008 Zürich, Switzerland",47.3650344,8.5487244,Cheti's,4.2
12,"Zollikerstrasse 1, 8008 Zürich, Switzerland",47.3642177,8.5547343,DARBAR INDIAN CUISINE RESTAURANT,4.4
13,"Predigerpl. 34, 8001 Zürich, Switzerland",47.3736152,8.5457459,New Bombay,4.5
14,"Kanzleistrasse 78, 8004 Zürich, Switzerland",47.3757027,8.5243848,Kobal,4.4
15,"Rigipl. 1, 8006 Zürich, Switzerland",47.384879,8.548608,Cheti's Curry,4.5
16,"Langstrasse 213, 8005 Zürich, Switzerland",47.3831319,8.5300976,Thali House,4.0
17,"Uetlibergstrasse 166, 8045 Zürich, Switzerland",47.3592892,8.5162265,Swaad,3.9
18,"Meinrad-Lienert-Strasse 27, 8003 Zürich, Switzerland",47.3751714,8.517364299999999,Namaste india,4.2
19,"Seebacherstrasse 77, 8052 Zürich, Switzerland",47.42244669999999,8.540617,Tandoor Haus,4.2
20,"Witikonerstrasse 375, 8053 Zürich, Switzerland",47.3593305,8.5919606,Crown of India,4.0
21,"Sihlfeldstrasse 45, 8003 Zürich, Switzerland",47.374745,8.516791999999999,Sher-E-Punjab,3.9
22,"Mühlegasse 5, 8001 Zürich, Switzerland",47.3744388,8.5435705,Kormasutra,3.7
23,"Limmattalstrasse 252, 8049 Zürich, Switzerland",47.4027483,8.4925754,Maharani,3.7
24,"Kanonengasse 19, 8004 Zürich, Switzerland",47.377685,8.529520999999999,Cima,4.5
25,"Binzmühlestrasse 104, 8050 Zürich, Switzerland",47.4135237,8.5387735,Kurry World,4.4
26,"Hönggerstrasse 25, 8037 Zürich, Switzerland",47.390972,8.526494999999999,Taj Palace,3.1
27,"Zwinglistrasse 3, 8004 Zürich, Switzerland",47.3778101,8.5295767,Raja Bongo,4.5
28,"Richtipl. 3, 8304 Wallisellen, Switzerland",47.4099182,8.595612899999999,Sahar,4.3
29,"Ellen-Widmann-Weg 6, 8050 Zürich, Switzerland",47.414887,8.5395185,Namaste,4.4
30,"Beckenhofstrasse 16, 8006 Zürich, Switzerland",47.3833231,8.5419053,Curry Corner,4.7
31,"Kalchengasse 12, 8302 Kloten, Switzerland",47.4527826,8.58274,Flavour of India,3.9
32,"Josefstrasse 91, 8005 Zürich, Switzerland",47.383009,8.530692,Ali Baba,4.2
33,"Thurgauerstrasse 32, 8050 Zürich, Switzerland",47.4131832,8.5522026,Kurry World -Hong Kong Food Paradise,4.3
34,"Stauffacherstrasse 27, 8004 Zürich, Switzerland",47.3730128,8.528922399999999,Safran,0.0
35,"Hagenholzstrasse 56, 8050 Zürich, Switzerland",47.4134695,8.5549593,Diwali,3.0
36,"Josefstrasse 146, 8005 Zürich, Switzerland",47.3847974,8.527721999999999,Friends Corner,4.5
37,"Stampfenbachstrasse 32, 8006 Zürich, Switzerland",47.3793334,8.5434762,Bombay Karachi,3.7
38,"Rue de Berne 11, 1201 Genève, Switzerland",46.20925829999999,6.1448206,Restaurant Bombay,3.8
39,"Rue du Prieuré 20, 1202 Genève, Switzerland",46.2141716,6.147269800000001,Little India Restaurant,4.2
40,"Place de la Navigation 6, 1201 Genève, Switzerland",46.2118706,6.1500485,Restaurant Bollywood,3.7
41,"Rue de Carouge 77, 1205 Geneva, Switzerland",46.18993870000001,6.143659899999999,Rajpoute,4.1
42,"Rue de Monthoux 58, 1201 Genève, Switzerland",46.211528,6.145726499999999,Indian Plaza,4.6
43,"Quai Turrettini 1, 1201 Genève, Switzerland",46.2056498,6.1402725,Rasoi by Vineet,4.3
44,"Rue Kléberg 8, 1201 Genève, Switzerland",46.2069029,6.1452825,KIRAN Restaurant,4.0
45,"Rue de la Servette 76, 1202 Genève, Switzerland",46.2123958,6.1327189,INDIAN CURRY HOUSE,4.1
46,"Rue des Eaux-Vives 102, 1207 Genève, Switzerland",46.2056015,6.1609735,bombay palace restaurant,3.7
47,"Rue de Lausanne 29, 1201 Genève, Switzerland",46.2124535,6.144773499999999,Little India Street kitchen & Cocktails,4.1
48,"Avenue de Sainte-Clotilde 21, 1205 Genève, Switzerland",46.198988,6.132406,Jaipur,4.0
49,"Rue de Neuchâtel 18, 1201 Genève, Switzerland",46.2109812,6.145997700000001,Sajna Restaurant,4.1
50,"Rue Docteur-Alfred-Vincent 13, 1201 Genève, Switzerland",46.2099195,6.148666,The Indus,4.0
51,"Rue des Pâquis 18, 1201 Genève, Switzerland",46.2107631,6.1489576,Royal India restaurant,4.1
52,"38, Rue de Lausanne, 1201 Genève, Switzerland",46.213221,6.145713,Shahi Restaurant,3.7
53,"Boulevard Carl-Vogt 16, 1205 Genève, Switzerland",46.200469,6.1314011,Punjabi,4.1
54,"Rue de Neuchâtel 37, 1201 Genève, Switzerland",46.2118196,6.1463537,Café Gandhi,3.4
55,"Rue de la Gabelle 20, 1227 Carouge, Switzerland",46.1885036,6.1344074,Le Maharadja,4.1
56,"Rue de Lyon 67, bis, 1203 Geneva, Switzerland",46.2082934,6.128651,Chandigarh Tandoori,4.2
57,"Rue des Battoirs, 1205 Genève, Switzerland",46.191742,6.143376,Zingy Food Chez Neha,3.7
58,"Rue du Vélodrome 14, 1205 Genève, Switzerland",46.1997668,6.1313488,Shiva,4.5
59,"Rue Henri-Blanvalet 23, 1207 Genève, Switzerland",46.2035653,6.1591963,Inda-Bar,4.3
60,"4, Route de Meyrin, 1202 Genève, Switzerland",46.2141715,6.1288855,King Curry,3.6
61,"125 Rue de Genève, 74240 Gaillard, France",46.1915763,6.211151399999999,Restaurant indien Bollywood,4.6
62,"Boulevard Carl-Vogt 62, 1205 Genève, Switzerland",46.19775,6.13601,Restaurant Le Safran,4.9
63,"Rue de Neuchâtel 37, 1201 Genève, Switzerland",46.2118119,6.146263100000001,Gandhi Indian Business SA,0.0
64,"19 Rue de la Libération, 74240 Gaillard, France",46.1896164,6.2106476,Rameeka Restaurant,4.3
65,"1553 Rue de Genève, 01210 Ornex, France",46.263828,6.102723,Restaurant Le Rajpoute,4.4
66,"4 Rue de Versoix, 01210 Ferney-Voltaire, France",46.2558217,6.111071099999999,Karma Lounge,4.1
67,"Route de Meyrin 375, 1217 Meyrin, Switzerland",46.23209310000001,6.0597359,Restaurant Nirvana,3.9
68,"Rue du Mont-Blanc 10, 1201 Genève, Switzerland",46.20746200000001,6.14716,Hôtel Bristol Genève,4.4
69,"Avenue Louis-Casaï 60, 1216 Cointrin, Switzerland",46.2239294,6.1089803,Restaurant Royal Oriental,4.0
70,"Spalenring 160, 4055 Basel, Switzerland",47.5541267,7.576075599999999,INDIAN RESTAURANT ROYAL PALACE,4.2
71,"Petersgraben 21, 4051 Basel, Switzerland",47.559876,7.584972,Indian Tandoori Palace,4.3
72,"Schützenmattstrasse 2, 4051 Basel, Switzerland",47.55731360000001,7.582575299999999,Mandir Indisches Restaurant,4.1
73,"Spalenring 163, 4055 Basel, Switzerland",47.554265,7.576734,Bayleaf Gourmet Indian Restaurant,4.5
74,"Totentanz 1, 4051 Basel, Switzerland",47.56169939999999,7.586228600000001,New Bombay,4.2
75,"Elisabethenstrasse 41, 4051 Basel, Switzerland",47.5508382,7.5911282,Bajwa Palace,4.0
76,"St. Johanns-Ring 34, 4056 Basel, Switzerland",47.5650375,7.5781863,Johann by Jay,4.7
77,"Markthalle Basel, Viaduktstrasse 10, 4052 Basel, Switzerland",47.549347,7.587129,Dabbawalas Basel,4.2
78,"Klingentalstrasse 67, 4057 Basel, Switzerland",47.5646688,7.596923200000001,Restaurant Spicy,4.2
79,"Postpassage 5, 4051 Basel, Switzerland",47.5467105,7.592540799999999,Spice of India - Indian Restaurant,4.4
80,"60 Avenue Général de Gaulle, 68300 Saint-Louis, France",47.5815101,7.5546034,Maison de l'Inde,4.6
81,"Monbijoustrasse 26, 3011 Bern, Switzerland",46.944076,7.435716999999999,Namaste India,4.1
82,"Länggassstrasse 43, 3012 Bern, Switzerland",46.95393869999999,7.4310708,Royal Punjab Indisches Restaurant,4.4
