Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
0,"Am Münsterhof, Waaggasse 7, 8001 Zürich, Switzerland",47.370115399999996,8.5402376,Orsini,4.6,POINT (8.540237599999999 47.3701154),POINT (8.540237599999999 47.3701154)
1,"Niederdorfstrasse 80, 8001 Zürich, Switzerland",47.3760283,8.5441542,La Pasta,4.4,POINT (8.544154199999999 47.3760283),POINT (8.544154199999999 47.3760283)
2,"Badenerstrasse 275, 8003 Zürich, Switzerland",47.3761366,8.5146914,Taverne da Angelo,4.4,POINT (8.5146914 47.3761366),POINT (8.5146914 47.3761366)
3,"Gertrudstrasse 37, 8003 Zürich, Switzerland",47.37339559999999,8.515301199999998,Da Michelangelo,4.5,POINT (8.515301199999998 47.37339559999999),POINT (8.515301199999998 47.37339559999999)
4,"Forchstrasse 168, 8032 Zürich, Switzerland",47.36020389999999,8.56573,Marcellino,4.8,POINT (8.56573 47.36020389999999),POINT (8.56573 47.36020389999999)
5,"Hohlstrasse 449, 8048 Zürich, Switzerland",47.3869398,8.5014775,Da Angela,4.6,POINT (8.5014775 47.3869398),POINT (8.5014775 47.3869398)
6,"In Gassen 6, 8001 Zürich, Switzerland",47.3707055,8.5407788,Bindella,4.3,POINT (8.5407788 47.3707055),POINT (8.5407788 47.3707055)
7,"Rudolfstrasse 6, 8008 Zürich, Switzerland",47.357036,8.5575,Gandria,4.9,POINT (8.557499999999999 47.357036),POINT (8.557499999999999 47.357036)
8,"Augustinergasse 25, 8001 Zürich, Switzerland",47.372217600000006,8.5387974,Cantinetta Antinori,4.3,POINT (8.5387974 47.37221760000001),POINT (8.5387974 47.37221760000001)
9,"Nordstrasse 182, 8037 Zürich, Switzerland",47.392419,8.531426,Tre Fratelli,4.5,POINT (8.531426 47.392419),POINT (8.531426 47.392419)
10,"Weberstrasse 14, 8004 Zürich, Switzerland",47.370915999999994,8.528327699999998,Il Giglio,4.5,POINT (8.528327699999998 47.37091599999999),POINT (8.528327699999998 47.37091599999999)
11,"Waaggasse 5/7, 8001 Zürich, Switzerland",47.3701028,8.539889500000001,Santa Lucia,4.1,POINT (8.539889500000001 47.3701028),POINT (8.539889500000001 47.3701028)
12,"Langstrasse 215, 8005 Zürich, Switzerland",47.383264000000004,8.530178,Cinque,4.2,POINT (8.530177999999999 47.383264),POINT (8.530177999999999 47.383264)
13,"Zeughausstrasse 61, 8004 Zürich, Switzerland",47.3763708,8.529277699999998,Italia,4.3,POINT (8.529277699999998 47.3763708),POINT (8.529277699999998 47.3763708)
14,"Stampfenbachstrasse 8, 8001 Zürich, Switzerland",47.377759000000005,8.543813,Commihalle,4.1,POINT (8.543813 47.377759),POINT (8.543813 47.377759)
15,"Sternenstrasse 11, 8002 Zürich, Switzerland",47.360042,8.534011300000001,L'altro,4.5,POINT (8.534011300000001 47.360042),POINT (8.534011300000001 47.360042)
16,"Dufourstrasse 161, 8008 Zürich, Switzerland",47.35496,8.55498,Riviera Enoteca con Cucina,4.7,POINT (8.55498 47.35496),POINT (8.55498 47.35496)
17,"Ohmstrasse 11, 8050 Zürich, Switzerland",47.41018520000001,8.545874999999999,Concerto,4.2,POINT (8.545874999999999 47.41018520000001),POINT (8.545874999999999 47.41018520000001)
18,"Luisenstrasse 40, 8005 Zürich, Switzerland",47.384228,8.530403,Cucina,4.2,POINT (8.530403 47.384228),POINT (8.530403 47.384228)
19,"Albisstrasse 25, 8038 Zürich, Switzerland",47.34400249999999,8.5318761,Casa Nostrana,4.7,POINT (8.5318761 47.34400249999999),POINT (8.5318761 47.34400249999999)
20,"Dufourstrasse 1, 8008 Zürich, Switzerland",47.364525,8.547442799999999,Conti,4.3,POINT (8.547442799999999 47.364525),POINT (8.547442799999999 47.364525)
21,"Nansenstrasse 9, 8050 Zürich, Switzerland",47.41071029999999,8.544783899999999,Mamma Mia,3.9,POINT (8.544783899999999 47.41071029999999),POINT (8.544783899999999 47.41071029999999)
22,"Mainaustrasse 23, 8008 Zürich, Switzerland",47.36069129999999,8.549922800000001,Amalfi,4.3,POINT (8.549922800000001 47.36069129999999),POINT (8.549922800000001 47.36069129999999)
23,"Rotwandstrasse 49, 8004 Zürich, Switzerland",47.375514200000005,8.528422599999999,L'Osteria Mamma Leone,4.4,POINT (8.528422599999999 47.3755142),POINT (8.528422599999999 47.3755142)
